德宏,指标单位,时间,韶关,云南电网,云南,大鹏,河池,迪庆,普洱,云浮,曲靖,河源,揭阳,西双版纳,丽江,凯里,汕尾,桂林,保山,红河,罗湖,汕头,百色,瑞丽,大理,昆明,昌江,怒江,屯昌,贵州电网,贵州,来宾,龙华,阳江,坪山,广东电网,广东,三沙,白沙,公司总部,昭通,楚雄,广州,龙岗,佛山,文山,玉林,乐东,五指山,定安,清远,临沧,贺州,贵阳,铜仁,都匀,南方电网,南网,安顺,兴义,六盘水,贵安,毕节,贵港,南宁,东方,防城港,中山,东莞,广西电网,广西,海南电网,海南,琼海,珠海,文昌,盐田,湛江,临高,柳州,陵水,深圳,琼中,万宁,梅州,江门,福田,遵义,肇庆,崇左,北海,潮州,钦州,惠州,三亚,梧州,玉溪,南山,澄迈,海口,保亭,茂名,光明,儋州,深汕特别合作区,宝安
0.55,亿千瓦时,2021-04,0.633,0.97,0.97,,0.622,0.247,0.24,0.5329999999999999,1.129,0.6559999999999999,0.762,0.45399999999999996,0.354,0.098,0.466,0.748,2.265,0.977,,,0.0,0.63,0.8370000000000001,0.86,0.0,0.136,0.0,0.987,0.987,1.234,,0.6659999999999999,,0.8590000000000001,0.8590000000000001,,0.0,0.77,0.614,0.322,0.727,,0.888,2.222,0.9209999999999999,0.0,0.0,0.0,0.841,0.36700000000000005,2.6289999999999996,0.25,,0.149,0.770,0.77,0.258,,0.077,1.911,0.055999999999999994,0.809,0.695,,,0.892,1.115,0.84,0.84,0.667,0.667,0.0,0.8690000000000001,0.0,,0.573,0.0,0.797,0.0,1.0070000000000001,0.0,0.0,0.491,0.71,,0.495,0.74,1.306,1.094,0.6809999999999999,0.746,0.9259999999999999,0.0,1.847,1.005,,0.0,0.0,0.0,0.45399999999999996,,0.0,,
0.455,亿千瓦时,2021-05,0.6659999999999999,1.031,1.031,,0.616,0.21,0.257,0.633,1.062,0.809,1.003,0.514,0.396,0.09300000000000001,0.649,0.777,1.9709999999999999,0.83,,,0.0,0.722,0.82,0.855,0.0,0.159,0.0,1.006,1.006,1.358,,0.775,,1.0659999999999998,1.0659999999999998,,0.0,0.89,0.541,0.3,0.9520000000000001,,1.068,2.072,1.104,0.0,0.0,0.0,0.993,0.35700000000000004,2.42,0.226,,0.135,0.890,0.89,0.258,,0.07200000000000001,1.9140000000000001,0.043,0.958,0.872,,,1.081,1.3419999999999999,0.99,0.99,0.838,0.838,0.0,1.119,0.0,,0.7490000000000001,0.0,0.868,0.0,1.319,0.0,0.0,0.575,0.845,,0.515,0.875,1.518,1.374,0.828,0.8809999999999999,1.136,0.0,1.9669999999999999,1.0,,0.0,0.0,0.0,0.589,,0.0,,
0.5760000000000001,亿千瓦时,2021-06,0.687,1.2329999999999999,1.2329999999999999,,0.637,0.195,0.24100000000000002,0.616,1.041,0.748,0.927,0.447,0.32899999999999996,0.09699999999999999,0.627,0.95,1.51,0.966,,,0.0,0.768,0.746,0.777,0.0,0.263,0.0,1.026,1.026,1.409,,0.782,,1.058,1.058,,0.0,0.97,0.501,0.301,0.934,,1.042,1.7919999999999998,1.1909999999999998,0.0,0.0,0.0,0.934,0.37200000000000005,2.696,0.226,,0.125,0.970,0.97,0.251,,0.07,1.965,0.052000000000000005,1.008,0.948,,,1.075,1.3430000000000002,0.975,0.975,0.8009999999999999,0.8009999999999999,0.0,1.085,0.0,,0.741,0.0,0.932,0.0,1.306,0.0,0.0,0.57,0.826,,0.526,0.8690000000000001,1.505,1.409,0.797,0.9540000000000001,1.105,0.0,2.1,0.9790000000000001,,0.0,0.0,0.0,0.594,,0.0,,
1.17,亿千瓦时,2021-07,0.7340000000000001,1.3619999999999999,1.3619999999999999,,0.684,0.237,0.239,0.6679999999999999,1.067,0.826,1.068,0.44799999999999995,0.316,0.107,0.708,1.051,1.216,0.895,,,4.208,0.6729999999999999,0.74,0.812,0.0,0.499,0.0,1.067,1.067,1.3880000000000001,,0.823,,1.161,1.161,,0.0,0.98,0.532,0.314,1.051,,1.1420000000000001,1.861,1.23,0.0,0.0,0.0,1.0190000000000001,0.349,3.108,0.154,,0.155,0.980,0.98,0.307,,0.071,1.889,0.042,1.1079999999999999,1.04,,,1.149,1.479,1.021,1.021,0.828,0.828,0.0,1.162,0.0,,0.745,0.0,1.051,0.0,1.429,0.0,0.0,0.6459999999999999,0.894,,0.557,0.938,1.666,1.393,0.917,0.9940000000000001,1.24,0.0,2.213,1.073,,0.0,0.0,0.0,0.634,,0.0,,
1.246,亿千瓦时,2021-08,0.706,1.36,1.36,,0.657,0.192,0.247,0.636,1.068,0.775,1.006,0.402,0.322,0.105,0.7090000000000001,1.003,1.0590000000000002,0.872,,,3.4339999999999997,0.625,0.7190000000000001,0.841,0.0,0.73,0.0,0.97,0.97,1.224,,0.7859999999999999,,1.111,1.111,,0.0,0.98,0.555,0.318,1.004,,1.103,1.6280000000000001,1.165,0.0,0.0,0.0,0.983,0.382,3.1189999999999998,0.23800000000000002,,0.13,0.980,0.98,0.32299999999999995,,0.07,1.875,0.065,1.021,0.998,,,1.095,1.422,0.972,0.972,0.78,0.78,0.0,1.102,0.0,,0.682,0.0,1.011,0.0,1.382,0.0,0.0,0.604,0.848,,0.529,0.895,1.453,1.278,0.8740000000000001,0.96,1.17,0.0,1.99,1.042,,0.0,0.0,0.0,0.599,,0.0,,
0.998,亿千瓦时,2021-09,0.7070000000000001,1.383,1.383,,0.609,0.136,0.221,0.5710000000000001,1.104,0.6859999999999999,1.0090000000000001,0.39899999999999997,0.34700000000000003,0.617,0.703,0.9059999999999999,1.3019999999999998,0.9470000000000001,,,3.227,0.579,0.711,0.8240000000000001,0.0,0.20600000000000002,0.0,0.8959999999999999,0.8959999999999999,1.168,,0.642,,1.079,1.079,,0.0,0.98,0.503,0.321,1.005,,1.072,1.706,1.0979999999999999,0.0,0.0,0.0,0.8590000000000001,0.382,2.736,0.212,,0.139,0.980,0.98,0.28,,0.73,1.9609999999999999,0.039,0.966,0.9259999999999999,,,1.062,1.365,0.912,0.912,0.6759999999999999,0.6759999999999999,0.0,1.093,0.0,,0.7020000000000001,0.0,0.983,0.0,1.355,0.0,0.0,0.5660000000000001,0.828,,0.457,0.8320000000000001,1.286,1.315,0.858,0.813,1.123,0.0,2.042,0.843,,0.0,0.0,0.0,0.605,,0.0,,
1.297,亿千瓦时,2021-10,0.556,1.1320000000000001,1.1320000000000001,,0.591,0.161,0.239,0.45799999999999996,1.1059999999999999,0.643,0.8640000000000001,0.41200000000000003,0.327,-0.429,0.579,0.861,1.2790000000000001,0.884,,,2.864,0.647,0.672,0.7509999999999999,0.0,0.5529999999999999,0.0,0.802,0.802,1.067,,0.542,,0.904,0.904,,0.0,1.0,0.499,0.32,0.7909999999999999,,0.91,1.449,0.9390000000000001,0.0,0.0,0.0,0.762,0.331,3.2560000000000002,0.23800000000000002,,0.128,1,1.0,0.35200000000000004,,-0.615,2.1109999999999998,0.048,0.861,0.755,,,0.9159999999999999,1.095,0.8009999999999999,0.8009999999999999,0.636,0.636,0.0,0.912,0.0,,0.7070000000000001,0.0,0.893,0.0,1.0759999999999998,0.0,0.0,0.46799999999999997,0.718,,0.451,0.74,1.255,1.1740000000000002,0.768,0.785,0.985,0.0,1.666,0.821,,0.0,0.0,0.0,0.539,,0.0,,
1.176,亿千瓦时,2021-11,0.64,1.056,1.056,,0.614,0.257,0.23199999999999998,0.462,1.1179999999999999,0.603,0.741,0.379,0.32799999999999996,0.10800000000000001,0.48200000000000004,0.743,1.946,0.963,,,3.062,0.513,0.6609999999999999,0.8170000000000001,0.0,0.616,0.0,0.846,0.846,1.036,,0.49200000000000005,,0.8170000000000001,0.8170000000000001,,0.0,1.01,0.5710000000000001,0.311,0.679,,0.8079999999999999,1.334,0.868,0.0,0.0,0.0,0.732,0.397,2.819,0.298,,0.165,1.010,1.01,0.32799999999999996,,0.10300000000000001,2.367,0.071,0.8170000000000001,0.67,,,0.8370000000000001,1.119,0.7859999999999999,0.7859999999999999,0.594,0.594,0.0,0.7829999999999999,0.0,,0.47700000000000004,0.0,0.8009999999999999,0.0,0.956,0.0,0.0,0.41600000000000004,0.6859999999999999,,0.46,0.6920000000000001,1.315,1.2009999999999998,0.677,0.78,0.895,0.0,1.925,0.99,,0.0,0.0,0.0,0.469,,0.0,,
1.042,亿千瓦时,2021-12,0.634,0.889,0.889,,0.61,0.34600000000000003,0.262,0.546,1.208,0.601,0.72,0.439,0.335,0.128,0.467,0.674,2.282,1.002,,,2.908,0.583,0.736,0.871,0.0,0.574,0.0,0.887,0.887,0.863,,0.7020000000000001,,0.825,0.825,,0.0,1.01,0.649,0.34700000000000003,0.6679999999999999,,0.8759999999999999,1.422,0.773,0.0,0.0,0.0,0.775,0.4,2.8939999999999997,0.32299999999999995,,0.151,1.010,1.01,0.35600000000000004,,0.12,2.156,0.08,0.8190000000000001,0.706,,,0.846,1.061,0.792,0.792,0.5920000000000001,0.5920000000000001,0.0,0.7809999999999999,0.0,,0.6409999999999999,0.0,0.8690000000000001,0.0,0.887,0.0,0.0,0.452,0.6829999999999999,,0.513,0.691,1.034,1.204,0.677,0.775,0.9359999999999999,0.0,1.8330000000000002,1.095,,0.0,0.0,0.0,0.47,,0.0,,
0.655,亿千瓦时,2022-01,0.537,0.853,0.853,,0.672,0.278,0.23800000000000002,0.41600000000000004,1.123,0.47200000000000003,0.632,0.35600000000000004,0.375,0.7959999999999999,0.47100000000000003,0.9229999999999999,2.524,0.951,,,1.4669999999999999,0.531,0.7170000000000001,0.732,0.7829999999999999,0.46299999999999997,0.41700000000000004,0.9059999999999999,0.9059999999999999,0.925,,0.546,,0.6609999999999999,0.6609999999999999,,0.22899999999999998,0.66,0.652,0.33,0.573,,0.608,1.48,1.008,0.75,0.293,0.465,0.579,0.395,1.929,1.359,,0.948,0.660,0.66,0.818,,0.8809999999999999,1.5030000000000001,0.752,0.7190000000000001,0.659,,,0.623,0.7879999999999999,0.722,0.722,0.526,0.526,0.33399999999999996,0.691,0.564,,0.547,0.425,0.828,0.642,0.7709999999999999,0.244,0.49200000000000005,0.42,0.517,,1.183,0.502,1.1909999999999998,1.138,0.5379999999999999,0.782,0.7509999999999999,0.47700000000000004,1.6480000000000001,1.018,,0.687,0.77,0.47,0.45899999999999996,,0.633,,
