德宏,指标单位,时间,韶关,云南电网,云南,大鹏,河池,迪庆,普洱,云浮,曲靖,河源,揭阳,西双版纳,丽江,凯里,汕尾,桂林,保山,红河,罗湖,汕头,百色,瑞丽,大理,昆明,昌江,怒江,屯昌,贵州电网,贵州,来宾,龙华,阳江,坪山,广东电网,广东,三沙,白沙,公司总部,昭通,楚雄,广州,龙岗,佛山,文山,玉林,乐东,五指山,定安,清远,临沧,贺州,贵阳,铜仁,都匀,南方电网,南网,安顺,兴义,六盘水,贵安,毕节,贵港,南宁,东方,防城港,中山,东莞,广西电网,广西,海南电网,海南,琼海,珠海,文昌,盐田,湛江,临高,柳州,陵水,深圳,琼中,万宁,梅州,江门,福田,遵义,肇庆,崇左,北海,潮州,钦州,惠州,三亚,梧州,玉溪,南山,澄迈,海口,保亭,茂名,光明,儋州,深汕特别合作区,宝安
,台,2021-04,,167.0,167.0,,11.0,4.0,,,13.0,,,,,,,32.0,,,,,,,16.0,,,,,,,,,,,7116,7116,,,22478,,,3065.0,,,,,,,,,10.0,,,,,22478,22478,,,,,,38.0,1078.0,,,223.0,,2615.0,2615.0,,,,,,,,,1215.0,,,,,90.0,,,,,,,,,,,5.0,,,,,,,,,,
,台,2021-05,,179.0,179.0,,,,,136.0,,,,,,,,,,,,,,2.0,18.0,33.0,,,,983.0,983.0,,1206.0,,1100.0,7126,7126,,,22835,,,3070.0,,,,,,,,,,,275.0,,,22835,22835,,,,,,,1087.0,,,,,2624.0,2624.0,,,,,,,,,,,11799.0,,,,,,,378.0,,,,,,,,,1073.0,,,,,,,,1658.0
,台,2021-06,,182.0,182.0,,,,,137.0,,,,,,,263.0,,,,924.0,,,,,36.0,,,,1003.0,1003.0,,1247.0,190.0,,7423,7423,,,24064,,,,2028.0,736.0,,36.0,,,,96.0,,,,,,24064,24064,,,,,,,1096.0,,,,,2689.0,2689.0,,,,,,,,,1250.0,,12643.0,,,175.0,,1119.0,136.0,,,,,,,,,,1179.0,,,,,990.0,,,1708.0
,台,2021-07,,202.0,202.0,1254.0,13.0,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,193.0,,7426,7426,,,24321,,74.0,,,,,77.0,,,,,,,,,,24321,24321,,,,,,,1121.0,,,,,2777.0,2777.0,125.0,125.0,,,,,,,1270.0,,12788.0,57.0,,,,1259.0,,,,,,,,,,,,,,,,,,,
,台,2021-08,75.0,249.0,249.0,,,,,140.0,,,,,,,,43.0,,,,,26.0,,,101.0,,,,1014.0,1014.0,82.0,,197.0,,7438,7438,,,24617,,,,,740.0,,,,,,,,21.0,,,93.0,24617,24617,,,,,,40.0,1198.0,,42.0,,,2996.0,2996.0,132.0,132.0,,,,,,,1320.0,,,,,,,,145.0,,11.0,4.0,,,,,24.0,,,,25.0,,,,,,
,台,2021-09,79.0,342.0,342.0,,33.0,,,141.0,15.0,44.0,,,69.0,,273.0,,,,937.0,,32.0,,,124.0,,,,,,,,203.0,,7476,7476,,,24906,,,,,753.0,,85.0,,,,,,35.0,,,,24906,24906,,,,,,,1245.0,,,,502.0,3141.0,3141.0,,,,,,,,,1365.0,,12801.0,,,,378.0,,,,,,,,,,29.0,,,,,,,,,,
,台,2021-10,,361.0,361.0,,43.0,,,,,45.0,,,,,,,,,,,40.0,,,143.0,,,,,,92.0,,204.0,,7581,7581,,,25378,,,3090.0,,814.0,,108.0,,,,,,37.0,,,,25378,25378,,,,,,48.0,1406.0,,45.0,233.0,,3489.0,3489.0,,,,,,,76.0,,1483.0,,,,,,,,,380.0,,9.0,,,455.0,,,,,,,,,,,,
,台,2021-11,87.0,386.0,386.0,,45.0,,,,,,92.0,,,,280.0,,4.0,,939.0,120.0,50.0,,,151.0,,,,1016.0,1016.0,113.0,1252.0,,,8135,8135,,,26463,14.0,,3111.0,2075.0,835.0,,233.0,,,,98.0,,55.0,,,95.0,26463,26463,,,,,,85.0,1479.0,,64.0,411.0,,3885.0,3885.0,167.0,167.0,,,,,78.0,,1496.0,,12874.0,80.0,,176.0,487.0,1278.0,,449.0,29.0,,204.0,155.0,480.0,,,,,,37.0,,123.0,,,,
,台,2021-12,129.0,1333.0,1333.0,,272.0,,24.0,157.0,61.0,49.0,152.0,235.0,121.0,83.0,302.0,52.0,,122.0,,194.0,112.0,,156.0,318.0,,22.0,7.0,1729.0,1729.0,378.0,,226.0,,10544,10544,,,32594,120.0,112.0,4095.0,,869.0,6.0,280.0,,,,130.0,,102.0,985.0,,,32594,32594,,,,,,140.0,1723.0,,129.0,745.0,682.0,5935.0,5935.0,179.0,179.0,21.0,387.0,12.0,,85.0,,2046.0,,,,,,601.0,,,475.0,123.0,145.0,224.0,284.0,738.0,,149.0,,,,,,128.0,,,,
,台,2022-01,,1367.0,1367.0,,,,,159.0,,,,,,,308.0,68.0,,,,,130.0,,,,,,,,,381.0,,,,10668,10668,,,32956,128.0,,4147.0,,,32.0,,,1.0,,,,113.0,,,,32956,32956,,,,,,141.0,,,,753.0,,6070.0,6070.0,222.0,222.0,25.0,,,,89.0,,2120.0,20.0,12900.0,83.0,,206.0,623.0,,,,127.0,153.0,,,,,,,1205.0,,48.0,,,,12.0,,
