德宏,指标单位,时间,韶关,云南电网,云南,大鹏,河池,迪庆,普洱,云浮,曲靖,河源,揭阳,西双版纳,丽江,凯里,汕尾,桂林,保山,红河,罗湖,汕头,百色,瑞丽,大理,昆明,昌江,怒江,屯昌,贵州电网,贵州,来宾,龙华,阳江,坪山,广东电网,广东,三沙,白沙,公司总部,昭通,楚雄,广州,龙岗,佛山,文山,玉林,乐东,五指山,定安,清远,临沧,贺州,贵阳,铜仁,都匀,南方电网,南网,安顺,兴义,六盘水,贵安,毕节,贵港,南宁,东方,防城港,中山,东莞,广西电网,广西,海南电网,海南,琼海,珠海,文昌,盐田,湛江,临高,柳州,陵水,深圳,琼中,万宁,梅州,江门,福田,遵义,肇庆,崇左,北海,潮州,钦州,惠州,三亚,梧州,玉溪,南山,澄迈,海口,保亭,茂名,光明,儋州,深汕特别合作区,宝安
2.6319999999999997,U154,2021-04,27.679000000000002,208.489,208.489,,7.565,1.4569999999999999,3.2569999999999997,6.945,24.505,17.386,13.64,2.117,3.175,8.562999999999999,9.322000000000001,11.642000000000001,,17.105,,27.881,35.183,0.40700000000000003,12.852,29.81,0.6779999999999999,0.9640000000000001,0.35100000000000003,156.642,156.642,10.64,,23.156,,551.225,551.225,0.013000000000000001,0.19899999999999998,1026.1989999999998,13.133,5.5,10.731,,17.256,22.986,8.337,1.012,0.16399999999999998,0.47,9.482999999999999,2.8360000000000003,7.397,25.625,10.302,11.164000000000001,1026.199,1026.1989999999998,6.007999999999999,7.961,8.457,1.001,9.822000000000001,8.173,20.721,1.091,5.23,5.2620000000000005,11.229000000000001,149.429,149.429,28.093000000000004,28.093000000000004,1.306,16.277,1.636,,78.10300000000001,0.536,11.126,0.93,61.778,0.215,1.015,9.342,38.05,,22.839000000000002,11.68,6.6129999999999995,6.896,8.801,7.211,14.309000000000001,4.51,8.596,11.693,,1.3630000000000002,8.171,0.23800000000000002,80.17,,3.77,,
2.1109999999999998,U154,2021-05,32.703,220.18,220.18,,7.797000000000001,1.2409999999999999,3.4610000000000003,8.311,24.195999999999998,22.475,17.496,2.372,3.2689999999999997,8.029,11.067,12.505999999999998,,14.839,,34.173,40.246,0.506,12.743,30.644000000000002,0.8290000000000001,0.835,0.44799999999999995,160.35,160.35,11.815,,25.798000000000002,,687.061,687.061,0.015,0.255,1187.867,11.635,5.082,9.033999999999999,,20.214000000000002,21.555999999999997,10.495999999999999,1.139,0.191,0.594,11.54,2.803,7.51,24.765,8.499,10.482999999999999,1187.867,1187.867,5.752999999999999,8.986,8.351,1.032,9.042,9.804,25.921,1.405,6.409,7.249,13.235,176.183,176.183,35.705999999999996,35.705999999999996,1.66,20.675,2.049,,95.11399999999999,0.721,12.645,1.169,74.782,0.289,1.274,12.22,47.022,,23.029,12.889000000000001,8.007,10.842,10.85,8.627,18.226,5.5360000000000005,9.828,11.767000000000001,,1.6909999999999998,10.99,0.293,105.55,,4.436,,
2.935,U154,2021-06,32.048,264.735,264.735,,6.3870000000000005,1.204,3.29,8.06,21.759,21.928,16.129,2.307,2.8289999999999997,8.017000000000001,10.712,8.232000000000001,,15.332,,33.548,7.996,0.505,11.448,28.45,0.8220000000000001,1.554,0.429,161.091,161.091,9.683,,25.143,,676.512,676.512,0.015,0.255,1172.08,10.575,5.01,7.355,,20.137999999999998,17.912,13.494000000000002,1.02,0.187,0.547,10.648,2.7289999999999996,0.0,24.061999999999998,9.387,9.468,1172.080,1172.08,5.305,9.627,7.915,1.079,8.771,11.569,15.130999999999998,1.3430000000000002,6.76,6.718,13.167,174.38,174.38,34.412,34.412,1.64,20.377,2.023,,94.63600000000001,0.6970000000000001,10.847000000000001,1.101,72.75399999999999,0.271,1.224,12.27,45.681999999999995,,22.866999999999997,13.317,38.696,10.106,10.454,10.218,18.373,5.351,9.347999999999999,11.767000000000001,,1.611,10.702,0.276,103.891,,4.323,,
6.96,U154,2021-07,34.676,295.875,295.875,,8.232000000000001,1.396,3.27,8.88,23.318,25.750999999999998,18.95,2.287,2.782,9.219,12.463,15.130999999999998,,15.823,,36.641999999999996,38.696,0.46399999999999997,11.155999999999999,29.781,0.797,2.912,0.44,171.166,171.166,11.569,,27.531999999999996,,752.904,752.904,0.015,0.249,1292.305,11.63,5.284,5.675,,22.218000000000004,18.55,10.847000000000001,0.995,0.184,0.579,12.182,2.7889999999999997,9.683,24.730999999999998,10.894,10.984000000000002,1292.305,1292.305,6.023,10.095,8.555,1.124,9.74,10.106,27.629,1.2690000000000001,6.3870000000000005,7.986000000000001,14.110999999999999,182.36599999999999,182.36599999999999,35.204,35.204,1.6840000000000002,21.941,2.162,,105.3,0.703,13.494000000000002,1.2109999999999999,80.727,0.287,1.3,13.192,51.68,,25.399,14.505999999999998,7.996,6.76,12.152999999999999,9.347999999999999,18.755,5.4479999999999995,10.218,12.677999999999999,,1.6969999999999998,10.9,0.295,114.30799999999999,,4.391,,
7.247000000000001,U154,2021-08,33.204,295.916,295.916,,8.558,1.188,3.365,8.335,23.391,24.625999999999998,17.774,2.095,2.81,9.833,11.64,15.13,,15.331,,34.78,36.131,0.426,10.927999999999999,29.628,0.7909999999999999,2.8089999999999997,0.40399999999999997,155.622,155.622,10.817,,26.159000000000002,,716.942,716.942,0.015,0.24600000000000002,1241.3419999999999,11.708,5.395,5.305,,20.908,16.723,11.095999999999998,1.0390000000000001,0.17800000000000002,0.551,11.168,2.8760000000000003,9.05,24.959,9.958,11.431,1241.342,1241.3419999999999,6.247999999999999,9.645,8.435,1.129,10.290999999999999,10.6,29.77,1.3430000000000002,6.365,7.716,13.499,175.53799999999998,175.53799999999998,33.686,33.686,1.631,20.919,2.169,,100.525,0.675,15.22,1.188,76.90899999999999,0.276,1.327,12.475,49.108000000000004,,25.416,14.130999999999998,7.98,8.332,11.524000000000001,9.523,16.999000000000002,5.069,10.115,12.389000000000001,,1.5830000000000002,9.965,0.287,110.53399999999999,,4.27,,
6.801,U154,2021-09,32.105,300.39099999999996,300.39099999999996,,7.98,0.8740000000000001,3.074,7.749,23.803,24.247,17.985,2.052,3.002,8.982000000000001,11.061,13.782,,16.338,,34.04,34.400999999999996,0.395,10.952,28.808000000000003,0.685,2.705,0.377,143.17700000000002,143.17700000000002,9.9,,23.524,,703.6,703.6,0.013000000000000001,0.205,1204.424,10.749,5.42,6.3020000000000005,,19.769000000000002,17.735,10.427,0.877,0.17,0.498,10.131,2.804,8.062000000000001,23.061,10.061,10.248,1204.424,1204.424,5.879,8.545,8.221,1.155,9.585,10.017999999999999,27.729,1.137,5.922000000000001,7.803999999999999,11.133,165.342,165.342,30.703000000000003,30.703000000000003,1.527,20.956999999999997,2.009,,97.44,0.556,14.828,0.997,75.47399999999999,0.23399999999999999,1.139,12.574000000000002,47.247,,22.539,13.895999999999999,7.209,8.484,11.440999999999999,8.209,17.549,4.555,9.74,10.123,,1.436,9.533999999999999,0.23399999999999999,110.01299999999999,,4.008,,
7.496,U154,2021-10,12.187999999999999,251.30599999999998,251.30599999999998,,7.437,1.016,3.3310000000000004,6.155,24.837,9.82,15.065999999999999,2.1069999999999998,2.8489999999999998,9.117,6.065,12.880999999999998,,15.812000000000001,,20.901999999999997,33.906,0.43,10.32,29.258000000000003,0.618,3.2,0.335,130.7,130.7,9.256,,9.548,,587.464,587.464,0.013000000000000001,0.18600000000000003,1055.608,10.773,5.303,6.524,,63.746,15.350999999999999,9.163,0.889,0.16899999999999998,0.46,20.648000000000003,2.682,8.165,24.061999999999998,10.031,10.42,1055.608,1055.608,6.381,7.9079999999999995,8.841000000000001,1.261,10.482999999999999,8.752,22.775,1.109,5.297999999999999,28.888,81.16,145.743,145.743,27.565,27.565,1.296,17.382,1.709,,15.440999999999999,0.501,12.674000000000001,0.9279999999999999,86.87,0.217,1.122,9.084,28.363000000000003,,22.788,17.393,7.122999999999999,7.473,10.09,7.807,41.196000000000005,4.256,9.288,9.942,,1.301,7.856,0.217,11.095,,3.762,,
6.864,U154,2021-11,11.407,233.108,233.108,,7.622000000000001,1.525,3.157,6.246,24.666,8.533999999999999,12.745,1.9680000000000002,2.767,10.453,5.197,11.632,,16.473,,17.671,33.917,0.369,10.298,30.910999999999998,0.755,3.33,0.35200000000000004,137.17600000000002,137.17600000000002,8.172,,10.36,,531.8340000000001,531.8340000000001,0.011000000000000001,0.192,1009.177,12.16,5.35,8.845,,58.45,13.892000000000001,8.837,1.013,0.16899999999999998,0.46799999999999997,19.651,3.0180000000000002,8.011000000000001,26.544,11.328,11.69,1009.177,1009.177,7.024,6.49,9.658999999999999,1.422,12.067,8.484,20.044,1.22,5.537999999999999,26.693,76.438,146.96,146.96,26.975,26.975,1.2790000000000001,15.342,1.679,,15.069,0.521,11.934000000000001,0.8909999999999999,77.768,0.221,1.073,8.014,26.615,,24.234,16.393,7.146,7.611000000000001,8.844,7.834,37.827,3.964,9.515,11.606,,1.329,7.439,0.218,9.728,,3.8080000000000003,,
6.405,U154,2021-12,12.440999999999999,201.31799999999998,201.31799999999998,,8.042,1.771,3.591,7.303999999999999,26.78,9.267999999999999,13.654000000000002,2.2359999999999998,2.908,11.15,5.454,11.872,,18.09,,18.129,32.488,0.419,11.632,32.391999999999996,0.763,3.22,0.35100000000000003,148.247,148.247,8.182,,11.24,,546.631,546.631,0.01,0.204,1056.851,14.258,5.94,10.959000000000001,,60.393,15.162,7.744,1.074,0.18100000000000002,0.479,21.726999999999997,3.1060000000000003,7.809,28.962,13.208,12.710999999999999,1056.851,1056.851,7.685,6.814,10.645999999999999,1.561,13.368,8.53,21.754,1.276,4.876,27.459,77.54899999999999,151.15200000000002,151.15200000000002,27.129,27.129,1.2890000000000001,15.944,1.59,,14.805,0.555,13.079,0.893,76.817,0.243,1.05,8.988,26.781,,26.88,16.512999999999998,6.392,8.107000000000001,9.18,7.818,40.343,3.8110000000000004,9.572000000000001,13.325,,1.341,7.202999999999999,0.226,9.98,,3.967,,
3.8280000000000003,U154,2022-01,11.277000000000001,203.095,203.095,,8.543,1.751,3.4,6.103,26.184,7.9270000000000005,11.86,1.985,3.363,12.468,5.078,14.634,,17.868,,15.519,33.589,0.41200000000000003,11.583,30.18,0.696,2.8110000000000004,0.325,158.046,158.046,8.308,,10.584000000000001,,456.981,456.981,0.011000000000000001,0.201,952.602,15.2,6.108,11.937999999999999,,44.571000000000005,17.477,10.931,1.114,0.172,0.43799999999999994,16.584,3.292,6.56,30.214000000000002,12.731,13.245999999999999,952.602,952.602,7.909,8.379,10.409,1.452,14.052,8.154,21.746,1.3159999999999998,4.338,20.855,59.809,140.45,140.45,26.445999999999998,26.445999999999998,1.2890000000000001,14.315999999999999,1.5819999999999999,,14.455,0.56,12.854000000000001,0.9309999999999999,66.585,0.22,1.058,8.577,21.249000000000002,,28.456,12.719000000000001,6.96,8.216000000000001,7.5089999999999995,8.11,33.861999999999995,3.94,9.259,12.638,,1.281,6.835,0.24,9.956,,3.722,,
