德宏,指标单位,时间,韶关,云南电网,云南,大鹏,河池,迪庆,普洱,云浮,曲靖,河源,揭阳,西双版纳,丽江,凯里,汕尾,桂林,保山,红河,罗湖,汕头,百色,瑞丽,大理,昆明,昌江,怒江,屯昌,贵州电网,贵州,来宾,龙华,阳江,坪山,广东电网,广东,三沙,白沙,公司总部,昭通,楚雄,广州,龙岗,佛山,文山,玉林,乐东,五指山,定安,清远,临沧,贺州,贵阳,铜仁,都匀,南方电网,南网,安顺,兴义,六盘水,贵安,毕节,贵港,南宁,东方,防城港,中山,东莞,广西电网,广西,海南电网,海南,琼海,珠海,文昌,盐田,湛江,临高,柳州,陵水,深圳,琼中,万宁,梅州,江门,福田,遵义,肇庆,崇左,北海,潮州,钦州,惠州,三亚,梧州,玉溪,南山,澄迈,海口,保亭,茂名,光明,儋州,深汕特别合作区,宝安
,台,2021-04,,1065.0,1065.0,,39.0,12.0,,,53.0,,,48.0,,277.0,,53.0,,,,,46.0,,60.0,,,,,2431.0,2431.0,,,,,17827,17827,,,39604,,,4438.0,,,,,,,,354.0,32.0,,,104.0,,39604,39604,,,,,,99.0,1575.0,,,940.0,,3770.0,3770.0,,,,2177.0,,,,,1614.0,,,,,398.0,,,,,,,,,,,27.0,,,,,,,,,,
,台,2021-05,,1092.0,1092.0,,,16.0,,374.0,,391.0,,52.0,,321.0,628.0,,,,,,,5.0,66.0,91.0,,,,2511.0,2511.0,,1757.0,,1159.0,17882,17882,,,40173,,,4446.0,,,,,,,,,,,594.0,,223.0,40173,40173,,,154.0,,,,1608.0,,,,,3803.0,3803.0,,,,2195.0,,,,,,,14300.0,,,,,,,1006.0,,,,,,,,,1291.0,,,,,,,,2199.0
,台,2021-06,,1095.0,1095.0,,,,,376.0,,,,,,,662.0,,,,971.0,,,,,94.0,,,,2565.0,2565.0,,1798.0,509.0,,18512,18512,,,41893,,,4462.0,2375.0,2027.0,,51.0,,,,360.0,,27.0,,,,41893,41893,,,164.0,,,,1617.0,,,,,3968.0,3968.0,,,,2215.0,,,,,1711.0,,15168.0,,,574.0,,1229.0,323.0,,34.0,,,,,,,,1421.0,,,,,1365.0,,,2249.0
,台,2021-07,,1155.0,1155.0,1478.0,45.0,38.0,,378.0,,393.0,,,40.0,341.0,,,,,,,,,,114.0,,,,2631.0,2631.0,,,517.0,,18657,18657,,,42565,,194.0,4482.0,,2106.0,,120.0,,,,,,,,,,42565,42565,,,,,331.0,,1656.0,,,,1386.0,4220.0,4220.0,589.0,589.0,,2227.0,51.0,,,,1849.0,,15313.0,108.0,,,,1369.0,357.0,,,,,,967.0,,,,,,,,,,,,
,台,2021-08,305.0,1259.0,1259.0,,,54.0,,386.0,,,,,53.0,349.0,669.0,70.0,,,,,65.0,,68.0,183.0,,,,2734.0,2734.0,110.0,,523.0,,18792,18792,,,43217,,,4522.0,,2154.0,18.0,,,,,,,40.0,,,237.0,43217,43217,382.0,,,,,103.0,1765.0,,68.0,,1395.0,4523.0,4523.0,596.0,596.0,,2242.0,,,,,1902.0,,,,,,,,384.0,,42.0,4.0,,,,,58.0,,,,151.0,,,,,,
,台,2021-09,322.0,1406.0,1406.0,,76.0,70.0,,395.0,57.0,404.0,,,145.0,367.0,691.0,,,,993.0,,81.0,,,210.0,,,,2804.0,2804.0,,1846.0,541.0,,19009,19009,,,43931,,,,,2211.0,26.0,134.0,,,,,,57.0,604.0,,,43931,43931,,,176.0,,351.0,,1838.0,,,,1420.0,4733.0,4733.0,,,,,,,403.0,,1947.0,,15383.0,,,580.0,889.0,,394.0,,,,,,,,72.0,,,,,,,,,,
,台,2021-10,332.0,1470.0,1470.0,,94.0,76.0,,,,407.0,,,,379.0,697.0,,,,,,109.0,,73.0,263.0,,,,2844.0,2844.0,124.0,,564.0,,19323,19323,,,44810,,,4576.0,,2354.0,,160.0,,,,,,59.0,632.0,,,44810,44810,,,,,,115.0,2039.0,,73.0,988.0,,5194.0,5194.0,,,,,,,413.0,,2065.0,,,,,,,,,1008.0,44.0,25.0,,145.0,982.0,,,,,,,,,,,,
,台,2021-11,352.0,1565.0,1565.0,,98.0,,,401.0,,419.0,260.0,54.0,153.0,,719.0,78.0,30.0,,997.0,329.0,126.0,,,281.0,,,,2852.0,2852.0,161.0,1856.0,567.0,,20731,20731,,,47046,42.0,,4630.0,2424.0,2424.0,,325.0,,,,370.0,36.0,82.0,638.0,,239.0,47046,47046,,,,,,176.0,2136.0,,118.0,1271.0,1522.0,5792.0,5792.0,641.0,641.0,,2253.0,,,445.0,,2078.0,,15465.0,131.0,,582.0,1049.0,1388.0,,1203.0,76.0,31.0,516.0,235.0,1073.0,,,,,,173.0,,346.0,,,,
18.0,台,2021-12,500.0,4590.0,4590.0,,465.0,82.0,285.0,504.0,223.0,582.0,430.0,609.0,353.0,412.0,825.0,123.0,,286.0,,542.0,309.0,,460.0,715.0,,38.0,37.0,3999.0,3999.0,564.0,,630.0,,27445,27445,,,61524,470.0,280.0,6509.0,,2577.0,29.0,451.0,,,,545.0,77.0,178.0,1422.0,160.0,331.0,61524,61524,394.0,285.0,,,361.0,326.0,2538.0,,270.0,2044.0,2453.0,9289.0,9289.0,658.0,658.0,62.0,2552.0,54.0,,531.0,,2761.0,,15543.0,,,584.0,1295.0,,458.0,1300.0,257.0,264.0,601.0,453.0,2035.0,,330.0,630.0,,,,,406.0,1381.0,,,2311.0
,台,2022-01,542.0,4680.0,4680.0,,,,,524.0,,590.0,,,,,851.0,163.0,,,,,352.0,,476.0,739.0,,,,4011.0,4011.0,569.0,,638.0,,27817,27817,,,62538,494.0,,6611.0,,,55.0,,,4.0,,,,195.0,1424.0,,341.0,62538,62538,,,,,,340.0,2593.0,,,2055.0,,9699.0,9699.0,756.0,756.0,70.0,2562.0,,,551.0,,2886.0,50.0,15575.0,137.0,,656.0,1336.0,,,,263.0,292.0,,485.0,2047.0,,375.0,,1453.0,,223.0,,,,38.0,,
22.0,台,2022-02,570.0,4808.0,4808.0,,477.0,,307.0,529.0,,606.0,,,365.0,,863.0,171.0,,,,,,,496.0,762.0,,,,4033.0,4033.0,,,,,28462,28462,,,63440,,,6843.0,,,83.0,,,,,564.0,,234.0,1446.0,,,63440,63440,,,,,,,,,,2063.0,2544.0,9796.0,9796.0,766.0,766.0,80.0,2688.0,,,579.0,,2916.0,,,,,666.0,1378.0,,,1322.0,,300.0,607.0,,,,,649.0,,,,,,,,,
32.0,台,2022-03,582.0,5152.0,5152.0,,486.0,,317.0,,,,,619.0,,414.0,866.0,349.0,80.0,307.0,,,,,512.0,969.0,,,,4061.0,4061.0,,,,,28620,28620,,,64177,,,6936.0,,,95.0,,,,,,85.0,,1472.0,,,64177,64177,,,,,,,,,,,,9993.0,9993.0,776.0,776.0,,2712.0,,,,,2926.0,,,,,670.0,1386.0,,,,,,613.0,,,55.0,,,,,,,414.0,,43.0,,
,台,2022-04,,5218.0,5218.0,,493.0,,,,,624.0,,,,418.0,867.0,,,,,550.0,,,,991.0,,46.0,44.0,4180.0,4180.0,579.0,,,,28764,28764,,,64619,524.0,,6965.0,,,,,33.0,,,,91.0,254.0,1484.0,,,64619,64619,422.0,,,,,354.0,,,,,2560.0,10048.0,10048.0,834.0,834.0,90.0,,,,,,,,,,,706.0,,,533.0,,,,,,2079.0,,379.0,,,,256.0,,418.0,,,,
,台,2022-05,,5417.0,5417.0,,,,323.0,,231.0,630.0,455.0,,371.0,453.0,,382.0,,327.0,,552.0,,,536.0,1096.0,,,,4287.0,4287.0,585.0,,,,28953,28953,,,65277,,305.0,7011.0,2444.0,,100.0,,,,,,,,1486.0,172.0,362.0,65277,65277,,,182.0,,,,,,,,,10131.0,10131.0,845.0,845.0,,,,,,,2970.0,,15644.0,141.0,,748.0,,,564.0,1348.0,,,,,2121.0,57.0,,,,,261.0,,,1397.0,,,2344.0
,台,2022-06,,5580.0,5580.0,,,92.0,335.0,,,634.0,468.0,,,500.0,903.0,,,,,582.0,358.0,,552.0,1211.0,,,,4639.0,4639.0,,,644.0,,29118,29118,,,66046,,309.0,,,,106.0,,,,,,,,1539.0,183.0,392.0,66046,66046,428.0,294.0,275.0,,396.0,,2597.0,18.0,,,,10145.0,10145.0,911.0,911.0,108.0,,,1137.0,,,2971.0,,15653.0,,,784.0,,,632.0,1355.0,,,,,2129.0,63.0,382.0,,,,285.0,17.0,443.0,,,,
,台,2022-07,,5620.0,5620.0,1501.0,497.0,,,543.0,,636.0,482.0,,375.0,508.0,,,,,,,,,,1231.0,,,60.0,4863.0,4863.0,610.0,,,,29199,29199,,,66651,532.0,,,,,108.0,,,,14.0,,97.0,269.0,1566.0,229.0,438.0,66651,66651,433.0,,280.0,,413.0,,2699.0,61.0,,,,10291.0,10291.0,1002.0,1002.0,,,,,,,,,15676.0,,,805.0,,,702.0,,,,635.0,,2137.0,,,,,,312.0,,,,,,
,台,2022-08,586.0,5721.0,5721.0,,508.0,102.0,,,,638.0,486.0,,,518.0,1067.0,483.0,,,,603.0,,,,1296.0,,,,5019.0,5019.0,634.0,,,,29487,29487,,,67570,,,7031.0,2558.0,,134.0,,,,,,,293.0,1645.0,241.0,450.0,67570,67570,441.0,297.0,285.0,,,,2750.0,,,,2573.0,10502.0,10502.0,1006.0,1006.0,,,,,,,,,15835.0,,,814.0,,,729.0,1360.0,,,,,2177.0,,,,,,316.0,,449.0,,,,2389.0
,台,2022-09,613.0,5741.0,5741.0,,,,,,241.0,688.0,560.0,,,746.0,1115.0,613.0,,,,632.0,360.0,,,,,,65.0,6323.0,6323.0,,,661.0,,30119,30119,,,69778,,,,,,,,,,,699.0,,295.0,1891.0,318.0,587.0,69778,69778,515.0,425.0,372.0,,479.0,,2766.0,,,,2605.0,10743.0,10743.0,1017.0,1017.0,,2730.0,,,,,3042.0,,,,,838.0,1398.0,,990.0,,,,640.0,493.0,2305.0,,394.0,659.0,,16.0,318.0,,482.0,,,,
,台,2022-10,,5825.0,5825.0,,,112.0,345.0,,,,,,,,,,,,,647.0,380.0,,,1322.0,,,,,,,,669.0,,30527,30527,,,70513,560.0,,7105.0,,2658.0,144.0,,,,,751.0,,,,,,70513,70513,,,,,,374.0,2784.0,,,2069.0,,10889.0,10889.0,1114.0,1114.0,,2780.0,,,632.0,,3115.0,52.0,,,,856.0,1408.0,,,,,,,,2345.0,111.0,409.0,,,,365.0,,483.0,,,,
,台,2022-11,637.0,5885.0,5885.0,,554.0,,,548.0,,,565.0,,,,,641.0,,,,651.0,,,,1372.0,,,67.0,6409.0,6409.0,642.0,,683.0,,31655,31655,,,72463,,313.0,7270.0,2798.0,2697.0,150.0,536.0,,,22.0,776.0,,307.0,1906.0,325.0,,72463,72463,,466.0,,,499.0,449.0,2879.0,70.0,277.0,2574.0,2763.0,11258.0,11258.0,1153.0,1153.0,,2848.0,58.0,1165.0,640.0,,3121.0,,16103.0,,,858.0,1431.0,,993.0,,,,,496.0,2412.0,,413.0,,,,381.0,,499.0,,,,
142.0,台,2022-12,677.0,6606.0,6606.0,,,,363.0,642.0,400.0,739.0,577.0,653.0,473.0,752.0,1152.0,,,333.0,1072.0,761.0,,,686.0,1400.0,,,70.0,6430.0,6430.0,772.0,,773.0,,33157,33157,,,75543,,321.0,7374.0,,2935.0,276.0,572.0,,19.0,28.0,,,341.0,1909.0,,,75543,75543,,,,,511.0,537.0,,73.0,,,2997.0,11924.0,11924.0,1228.0,1228.0,,2860.0,,,660.0,,3316.0,,16198.0,,27.0,870.0,1759.0,,,1370.0,,,728.0,679.0,,,,,,53.0,382.0,21.0,521.0,,,,2409.0
,台,2023-01,687.0,6727.0,6727.0,,,,,646.0,470.0,,,,,,,650.0,,342.0,,763.0,,15.0,,1410.0,13.0,,,6495.0,6495.0,822.0,,,,33298,33298,,,76717,,343.0,7410.0,3122.0,2956.0,,579.0,45.0,20.0,,,,,1916.0,331.0,619.0,76717,76717,,,376.0,,523.0,,2905.0,78.0,,,3018.0,12184.0,12184.0,1305.0,1305.0,,,82.0,,,3.0,3327.0,,16708.0,,,,,1550.0,997.0,1395.0,,438.0,748.0,691.0,,,420.0,,,,409.0,,523.0,,,,2433.0
