德宏,指标单位,时间,韶关,云南电网,云南,大鹏,河池,迪庆,普洱,云浮,曲靖,河源,揭阳,西双版纳,丽江,凯里,汕尾,桂林,保山,红河,罗湖,汕头,百色,瑞丽,大理,昆明,昌江,怒江,屯昌,贵州电网,贵州,来宾,龙华,阳江,坪山,广东电网,广东,三沙,白沙,公司总部,昭通,楚雄,广州,龙岗,佛山,文山,玉林,乐东,五指山,定安,清远,临沧,贺州,贵阳,铜仁,都匀,南方电网,南网,安顺,兴义,六盘水,贵安,毕节,贵港,南宁,东方,防城港,中山,东莞,广西电网,广西,海南电网,海南,琼海,珠海,文昌,盐田,湛江,临高,柳州,陵水,深圳,琼中,万宁,梅州,江门,福田,遵义,肇庆,崇左,北海,潮州,钦州,惠州,三亚,梧州,玉溪,南山,澄迈,海口,保亭,茂名,光明,儋州,深汕特别合作区,宝安
,台,2021-04,,888.0,888.0,,31.0,10.0,,,53.0,,,48.0,,184.0,,49.0,,,,,38.0,,60.0,,,,,1877.0,1877.0,,,,,16067,16067,,,35931,,,4298.0,,,,,,,,318.0,32.0,,,76.0,,35931,35931,,,,,,75.0,1405.0,,,879.0,,3452.0,3452.0,,,,1386.0,,,,,1539.0,,,,,328.0,,,,,,,,,,,27.0,,,,,,,,,,
,台,2021-05,,913.0,913.0,,,12.0,,370.0,,357.0,,52.0,,206.0,420.0,,,,,,,5.0,66.0,88.0,,,,1918.0,1918.0,,1528.0,,1159.0,16107,16107,,,36422,,,4305.0,,,,,,,,,,,482.0,,189.0,36422,36422,,,94.0,,,,1436.0,,,,,3483.0,3483.0,,,,1395.0,,,,,,,13532.0,,,,,,,979.0,,,,,,,,,1182.0,,,,,,,,2103.0
,台,2021-06,,916.0,916.0,,,,,372.0,,,,,,,438.0,,,,960.0,,,,,91.0,,,,1955.0,1955.0,,1569.0,489.0,,16676,16676,,,38029,,,4313.0,2203.0,1936.0,,46.0,,,,322.0,,21.0,,,,38029,38029,,,99.0,,,,1445.0,,,,,3637.0,3637.0,,,,1405.0,,,,,1636.0,,14376.0,,,501.0,,1198.0,258.0,,28.0,,,,,,,,1288.0,,,,,1257.0,,,2153.0
,台,2021-07,,958.0,958.0,1478.0,35.0,23.0,,374.0,,359.0,,,38.0,216.0,,,,,,,,,,110.0,,,,1988.0,1988.0,,,497.0,,16800,16800,,,38606,,156.0,4323.0,,2015.0,,101.0,,,,,,,,,,38606,38606,,,,,229.0,,1477.0,,,,1275.0,3866.0,3866.0,473.0,473.0,,1417.0,34.0,,,,1774.0,,14521.0,87.0,,,,1338.0,275.0,,,,,,930.0,,,,,,,,,,,,
,台,2021-08,285.0,1036.0,1036.0,,,31.0,,382.0,,,,,46.0,220.0,445.0,64.0,,,,,54.0,,68.0,168.0,,,,2045.0,2045.0,105.0,,503.0,,16902,16902,,,39115,,,4343.0,,2061.0,14.0,,,,,,,32.0,,,197.0,39115,39115,285.0,,,,,78.0,1570.0,,56.0,,1280.0,4131.0,4131.0,480.0,480.0,,1425.0,,,,,1826.0,,,,,,,,293.0,,35.0,4.0,,,,,53.0,,,,121.0,,,,,,
,台,2021-09,298.0,1157.0,1157.0,,61.0,39.0,,387.0,57.0,370.0,,,126.0,229.0,457.0,,,,982.0,,65.0,,,193.0,,,,2080.0,2080.0,,1593.0,518.0,,17059,17059,,,39654,,,,,2117.0,18.0,112.0,,,,,,49.0,487.0,,,39654,39654,,,105.0,,239.0,,1630.0,,,,1294.0,4311.0,4311.0,,,,,,,343.0,,1871.0,,14567.0,,,504.0,841.0,,298.0,,,,,,,,63.0,,,,,,,,,,
,台,2021-10,308.0,1203.0,1203.0,,75.0,42.0,,,,373.0,,,,235.0,463.0,,,,,,83.0,,73.0,231.0,,,,2100.0,2100.0,117.0,,541.0,,17337,17337,,,40405,,,4382.0,,2259.0,,138.0,,,,,,51.0,501.0,,,40405,40405,,,,,,88.0,1812.0,,60.0,909.0,,4718.0,4718.0,,,,,,,353.0,,1989.0,,,,,,,,,981.0,36.0,17.0,,125.0,943.0,,,,,,,,,,,,
,台,2021-11,328.0,1266.0,1266.0,,78.0,,,390.0,,385.0,250.0,54.0,130.0,,479.0,68.0,18.0,,985.0,258.0,97.0,,,244.0,,,,2105.0,2105.0,146.0,1603.0,544.0,,18527,18527,,,42289,31.0,,4425.0,2252.0,2313.0,,289.0,,,,328.0,36.0,74.0,504.0,,199.0,42289,42289,,,,,,138.0,1897.0,,92.0,1159.0,1346.0,5225.0,5225.0,518.0,518.0,,1436.0,,,373.0,,2002.0,,14648.0,110.0,,506.0,1001.0,1357.0,,1173.0,61.0,20.0,507.0,200.0,1006.0,,,,,,136.0,,320.0,,,,
13.0,台,2021-12,456.0,3354.0,3354.0,,375.0,45.0,176.0,474.0,165.0,494.0,403.0,449.0,256.0,253.0,554.0,96.0,,236.0,,408.0,222.0,,379.0,570.0,,32.0,31.0,3035.0,3035.0,480.0,,599.0,,23705,23705,,,53381,302.0,218.0,6059.0,,2425.0,21.0,376.0,,,,464.0,69.0,147.0,1251.0,104.0,245.0,53381,53381,291.0,212.0,,,244.0,242.0,2236.0,,201.0,1756.0,1918.0,8072.0,8072.0,532.0,532.0,51.0,1694.0,37.0,,422.0,,2657.0,,14683.0,,,507.0,1226.0,,330.0,1262.0,204.0,205.0,584.0,374.0,1646.0,,257.0,400.0,,,,,354.0,1260.0,,,2185.0
,台,2022-01,477.0,3419.0,3419.0,,,,,488.0,,500.0,,,,,571.0,125.0,,,,,257.0,,387.0,582.0,,,,3041.0,3041.0,484.0,,603.0,,23993,23993,,,54157,321.0,,6148.0,,,47.0,,,2.0,,,,164.0,1252.0,,250.0,54157,54157,,,,,,250.0,2270.0,,,1766.0,,8396.0,8396.0,599.0,599.0,55.0,1702.0,,,434.0,,2766.0,40.0,14709.0,113.0,,575.0,1259.0,,,,209.0,233.0,,406.0,1652.0,,280.0,,1314.0,,167.0,,,,34.0,,
15.0,台,2022-02,505.0,3498.0,3498.0,,387.0,,187.0,493.0,,512.0,,,262.0,,579.0,129.0,,,,,,,401.0,599.0,,,,3062.0,3062.0,,,,,24554,24554,,,54910,,,6380.0,,,66.0,,,,,474.0,,202.0,1273.0,,,54910,54910,,,,,,,,,,1770.0,1976.0,8483.0,8483.0,604.0,604.0,60.0,1809.0,,,457.0,,2791.0,,,,,583.0,1301.0,,,1280.0,,241.0,590.0,,,,,410.0,,,,,,,,,
20.0,台,2022-03,515.0,3737.0,3737.0,,395.0,,192.0,,,,,454.0,,254.0,582.0,290.0,45.0,247.0,,,,,417.0,753.0,,,,3088.0,3088.0,,,,,24696,24696,,,55498,,,6473.0,,,78.0,,,,,,73.0,,1298.0,,,55498,55498,,,,,,,,,,,,8657.0,8657.0,611.0,611.0,,1821.0,,,,,2796.0,,,,,587.0,1309.0,,,,,,596.0,,,51.0,,,,,,,360.0,,37.0,,
,台,2022-04,,3777.0,3777.0,,401.0,,,,,521.0,,,,256.0,583.0,,,,,412.0,,,,766.0,,37.0,35.0,3158.0,3158.0,494.0,,,,24786,24786,,,55774,340.0,,6497.0,,,,,21.0,,,,76.0,218.0,1310.0,,,55774,55774,305.0,,,,,260.0,,,,,1984.0,8703.0,8703.0,641.0,641.0,65.0,,,,,,,,,,,612.0,,,372.0,,,,,,1668.0,,284.0,,,,184.0,,363.0,,,,
,台,2022-05,,3910.0,3910.0,,,,195.0,,169.0,524.0,427.0,,265.0,275.0,,319.0,,257.0,,414.0,,,431.0,848.0,,,,3221.0,3221.0,499.0,,,,24941,24941,,,56248,,231.0,6536.0,2262.0,,82.0,,,,,,,,1311.0,110.0,265.0,56248,56248,,,108.0,,,,,,,,,8773.0,8773.0,648.0,648.0,,,,,,,2832.0,,14755.0,115.0,,651.0,,,391.0,1306.0,,,,,1690.0,53.0,,,,,187.0,,,1263.0,,,2218.0
,台,2022-06,,4014.0,4014.0,,,50.0,202.0,,,527.0,438.0,,,299.0,603.0,,,,,441.0,262.0,,439.0,926.0,,,,3438.0,3438.0,,,609.0,,25064,25064,,,56763,,233.0,,,,86.0,,,,,,,,1347.0,119.0,285.0,56763,56763,308.0,219.0,166.0,,263.0,,2273.0,13.0,,,,8785.0,8785.0,698.0,698.0,81.0,,,1125.0,,,2833.0,,14764.0,,,683.0,,,432.0,1313.0,,,,,1694.0,58.0,287.0,,,,203.0,14.0,376.0,,,,
,台,2022-07,,4036.0,4036.0,1501.0,404.0,,,502.0,,528.0,447.0,,268.0,306.0,,,,,,,,,,936.0,,,43.0,3585.0,3585.0,521.0,,,,25126,25126,,,57218,344.0,,,,,88.0,,,,14.0,,79.0,228.0,1366.0,144.0,319.0,57218,57218,313.0,,169.0,,274.0,,2365.0,56.0,,,,8912.0,8912.0,772.0,772.0,,,,,,,,,14787.0,,,702.0,,,475.0,,,,614.0,,1700.0,,,,,,221.0,,,,,,
,台,2022-08,517.0,4097.0,4097.0,,413.0,56.0,,,,529.0,450.0,,,311.0,767.0,400.0,,,,462.0,,,,977.0,,,,3698.0,3698.0,540.0,,,,25391,25391,,,57993,,,6546.0,2374.0,,102.0,,,,,,,250.0,1437.0,150.0,325.0,57993,57993,317.0,221.0,172.0,,,,2409.0,,,,1992.0,9087.0,9087.0,776.0,776.0,,,,,,,,,14944.0,,,710.0,,,491.0,1317.0,,,,,1740.0,,,,,,225.0,,380.0,,,,2263.0
,台,2022-09,536.0,4107.0,4107.0,,,,,,174.0,554.0,504.0,,,436.0,807.0,504.0,,,,491.0,263.0,,,,,,48.0,4567.0,4567.0,,,626.0,,25882,25882,,,59569,,,,,,,,,,,570.0,,252.0,1666.0,197.0,408.0,59569,59569,361.0,297.0,223.0,,326.0,,2423.0,,,,2011.0,9284.0,9284.0,785.0,785.0,,1835.0,,,,,2897.0,,,,,729.0,1318.0,,653.0,,,,618.0,412.0,1863.0,,293.0,415.0,,8.0,227.0,,403.0,,,,
,台,2022-10,,4153.0,4153.0,,,61.0,208.0,,,,,,,,,,,,,499.0,278.0,,,991.0,,,,,,,,630.0,,26204,26204,,,60131,360.0,,6612.0,,2492.0,107.0,,,,,599.0,,,,,,60131,60131,,,,,,277.0,2437.0,,,1774.0,,9411.0,9411.0,852.0,852.0,,1871.0,,,498.0,,2968.0,41.0,,,,746.0,1327.0,,,,,,,,1903.0,100.0,303.0,,,,251.0,,404.0,,,,
,台,2022-11,556.0,4206.0,4206.0,,453.0,,,507.0,,,509.0,,,,,524.0,,,,501.0,,,,1036.0,,,50.0,4624.0,4624.0,548.0,,644.0,,27078,27078,,,61717,,235.0,6775.0,2614.0,2525.0,113.0,437.0,,,22.0,622.0,,264.0,1676.0,204.0,,61717,61717,,325.0,,,336.0,330.0,2521.0,65.0,207.0,2177.0,2097.0,9708.0,9708.0,889.0,889.0,,1908.0,39.0,1153.0,503.0,,2974.0,,15212.0,,,748.0,1349.0,,655.0,,,,,415.0,1947.0,,307.0,,,,267.0,,414.0,,,,
126.0,台,2022-12,588.0,4774.0,4774.0,,,,226.0,584.0,290.0,583.0,520.0,481.0,348.0,441.0,829.0,,,260.0,1060.0,569.0,,,524.0,1057.0,,,53.0,4638.0,4638.0,647.0,,723.0,,28194,28194,,,64137,,243.0,6870.0,,2740.0,217.0,459.0,,17.0,25.0,,,292.0,1679.0,,,64137,64137,,,,,342.0,406.0,,68.0,,,2231.0,10264.0,10264.0,960.0,960.0,,1920.0,,,515.0,,3161.0,,15307.0,,24.0,758.0,1593.0,,,1322.0,,,676.0,559.0,,,,,,45.0,268.0,18.0,427.0,,,,2283.0
,台,2023-01,595.0,4865.0,4865.0,,,,,587.0,338.0,,,,,,,530.0,,265.0,,571.0,,15.0,,1067.0,12.0,,,4676.0,4676.0,683.0,,,,28292,28292,,,65133,,261.0,6904.0,2938.0,2754.0,,464.0,33.0,18.0,,,,,1686.0,208.0,424.0,65133,65133,,,226.0,,348.0,,2543.0,73.0,,,2242.0,10469.0,10469.0,1026.0,1026.0,,,63.0,,,3.0,3172.0,,15805.0,,,,,1519.0,657.0,1337.0,,349.0,686.0,569.0,,,314.0,,,,284.0,,429.0,,,,2295.0
129.0,台,2023-02,609.0,5178.0,5178.0,1513.0,524.0,,313.0,,360.0,,523.0,482.0,,527.0,,,,,,584.0,,,,,,,55.0,5197.0,5197.0,707.0,,,1233.0,28476,28476,,,67050,,310.0,6915.0,2951.0,2815.0,226.0,571.0,44.0,,,630.0,221.0,,1767.0,286.0,502.0,67050,67050,370.0,340.0,251.0,,490.0,412.0,2668.0,,346.0,,2250.0,11212.0,11212.0,1082.0,1082.0,83.0,,,,,4.0,3389.0,62.0,15905.0,,30.0,,,,664.0,1361.0,,390.0,,,1985.0,,327.0,,1315.0,,288.0,,433.0,,46.0,,
,台,2023-03,617.0,5384.0,5384.0,1533.0,668.0,70.0,,603.0,413.0,588.0,,487.0,,547.0,872.0,549.0,,290.0,1096.0,619.0,535.0,,,1125.0,,,,5299.0,5299.0,709.0,2008.0,727.0,1287.0,30268,30268,,,72047,,362.0,7945.0,3290.0,3072.0,,596.0,,,,,,358.0,1770.0,341.0,523.0,72047,72047,,,254.0,,,,2899.0,,352.0,,2309.0,12343.0,12343.0,1107.0,1107.0,,2009.0,66.0,1159.0,,20.0,3555.0,,17646.0,,36.0,764.0,1616.0,1639.0,,1473.0,309.0,,702.0,,2074.0,,442.0,419.0,1609.0,,,,,1314.0,,,2711.0
,台,2023-04,627.0,5963.0,5963.0,,671.0,90.0,349.0,,415.0,,,489.0,,549.0,,561.0,,347.0,1192.0,,,,,1460.0,,71.0,,5325.0,5325.0,,,,,30420,30420,,,73392,393.0,374.0,8008.0,3387.0,3088.0,231.0,608.0,,,,,,,1778.0,,528.0,73392,73392,,,,,492.0,,,,,,2330.0,12394.0,12394.0,1119.0,1119.0,,2041.0,,,,,3579.0,,18171.0,,44.0,,,,673.0,,,,,,2084.0,,,462.0,1880.0,,292.0,,,1375.0,,,
,台,2023-05,634.0,6978.0,6978.0,,674.0,104.0,351.0,,,,,,,,882.0,,,583.0,,,542.0,,527.0,2012.0,,74.0,,5353.0,5353.0,,,,,30496,30496,,,74678,578.0,387.0,8024.0,,3090.0,,,50.0,,,,,,1781.0,,543.0,74678,74678,,,264.0,,,,,,,,,12404.0,12404.0,1158.0,1158.0,,2056.0,,,,,,,18289.0,,,766.0,1634.0,,,1474.0,,,,,2089.0,102.0,,469.0,1913.0,,296.0,,,,73.0,,2796.0
