德宏,指标单位,时间,韶关,云南电网,云南,大鹏,河池,迪庆,普洱,云浮,曲靖,河源,揭阳,西双版纳,丽江,凯里,汕尾,桂林,保山,红河,罗湖,汕头,百色,瑞丽,大理,昆明,昌江,怒江,屯昌,贵州电网,贵州,来宾,龙华,阳江,坪山,广东电网,广东,三沙,白沙,公司总部,昭通,楚雄,广州,龙岗,佛山,文山,玉林,乐东,五指山,定安,清远,临沧,贺州,贵阳,铜仁,都匀,南方电网,南网,安顺,兴义,六盘水,贵安,毕节,贵港,南宁,东方,防城港,中山,东莞,广西电网,广西,海南电网,海南,琼海,珠海,文昌,盐田,湛江,临高,柳州,陵水,深圳,琼中,万宁,梅州,江门,福田,遵义,肇庆,崇左,北海,潮州,钦州,惠州,三亚,梧州,玉溪,南山,澄迈,海口,保亭,茂名,光明,儋州,深汕特别合作区,宝安
,个,2021-04,,221.0,221.0,,6.0,5.0,,,7.0,,,30.0,,60.0,,8.0,,,,,12.0,,24.0,,,,,479.0,479.0,,,,,2729,2729,,,4625,,,434.0,,,,,,,,56.0,11.0,,,31.0,,4625,4625,,,,,,16.0,248.0,,,176.0,,507.0,507.0,,,,154.0,,,,,156.0,,,,,93.0,,,,,,,,,,,2.0,,,,,,,,,,
,个,2021-05,,230.0,230.0,,,6.0,,103.0,,57.0,,33.0,,62.0,59.0,,,,,,,1.0,27.0,18.0,,,,485.0,485.0,,43.0,,31.0,2741,2741,,,4661,,,436.0,,,,,,,,,,,65.0,,41.0,4661,4661,,,20.0,,,,250.0,,,,,509.0,509.0,,,,157.0,,,,,,,583.0,,,,,,,293.0,,,,,,,,,56.0,,,,,,,,113.0
,个,2021-06,,231.0,231.0,,,,,104.0,,,,,,,61.0,,,,54.0,,,,,19.0,,,,492.0,492.0,,46.0,104.0,,2882,2882,,,4841,,,438.0,99.0,368.0,,10.0,,,,59.0,,3.0,,,,4841,4841,,,21.0,,,,251.0,,,,,522.0,522.0,,,,158.0,,,,,161.0,,601.0,,,175.0,,58.0,60.0,,4.0,,,,,,,,60.0,,,,,44.0,,,115.0
,个,2021-07,,241.0,241.0,51.0,8.0,10.0,,105.0,,58.0,,,11.0,63.0,,,,,,,,,,21.0,,,,496.0,496.0,,,106.0,,2916,2916,,,4917,,42.0,439.0,,394.0,,24.0,,,,,,,,,,4917,4917,,,,,100.0,,258.0,,,,186.0,546.0,546.0,115.0,115.0,,159.0,6.0,,,,162.0,,603.0,35.0,,,,59.0,62.0,,,,,,115.0,,,,,,,,,,,,
,个,2021-08,88.0,250.0,250.0,,,12.0,,108.0,,,,,13.0,64.0,63.0,11.0,,,,,16.0,,28.0,24.0,,,,503.0,503.0,28.0,,107.0,,2937,2937,,,5011,,,440.0,,405.0,6.0,,,,,,,5.0,,,42.0,5011,5011,78.0,,,,,17.0,274.0,,14.0,,187.0,602.0,602.0,116.0,116.0,,160.0,,,,,173.0,,,,,,,,65.0,,6.0,1.0,,,,,9.0,,,,21.0,,,,,,
,个,2021-09,93.0,260.0,260.0,,14.0,15.0,,109.0,8.0,61.0,,,16.0,66.0,65.0,,,,56.0,,21.0,,,26.0,,,,510.0,510.0,,47.0,111.0,,2968,2968,,,5099,,,,,411.0,7.0,27.0,,,,,,7.0,66.0,,,5099,5099,,,22.0,,102.0,,289.0,,,,190.0,639.0,639.0,,,,,,,67.0,,176.0,,606.0,,,176.0,168.0,,66.0,,,,,,,,12.0,,,,,,,,,,
,个,2021-10,94.0,265.0,265.0,,18.0,16.0,,,,62.0,,,,67.0,67.0,,,,,,24.0,,29.0,29.0,,,,513.0,513.0,31.0,,117.0,,3012,3012,,,5200,,,442.0,,435.0,,33.0,,,,,,9.0,68.0,,,5200,5200,,,,,,19.0,309.0,,15.0,180.0,,688.0,688.0,,,,,,,68.0,,180.0,,,,,,,,,294.0,7.0,3.0,,17.0,117.0,,,,,,,,,,,,
,个,2021-11,100.0,275.0,275.0,,19.0,,,110.0,,63.0,65.0,34.0,17.0,,72.0,12.0,2.0,,57.0,85.0,28.0,,,31.0,,,,515.0,515.0,40.0,48.0,118.0,,3262,3262,,,5587,6.0,,451.0,101.0,443.0,,75.0,,,,60.0,12.0,11.0,69.0,,43.0,5587,5587,,,,,,30.0,320.0,,28.0,207.0,203.0,804.0,804.0,120.0,120.0,,161.0,,,73.0,,182.0,,611.0,36.0,,177.0,197.0,60.0,,342.0,14.0,4.0,111.0,29.0,130.0,,,,,,24.0,,94.0,,,,
2.0,个,2021-12,149.0,736.0,736.0,,68.0,17.0,50.0,135.0,31.0,102.0,119.0,97.0,35.0,72.0,89.0,20.0,,33.0,,100.0,68.0,,171.0,75.0,,8.0,6.0,584.0,584.0,85.0,,134.0,,4090,4090,,,7471,44.0,50.0,607.0,,457.0,9.0,94.0,,,,95.0,20.0,19.0,92.0,42.0,50.0,7471,7471,80.0,49.0,,,103.0,57.0,374.0,,59.0,305.0,282.0,1325.0,1325.0,123.0,123.0,12.0,166.0,7.0,,90.0,,251.0,,613.0,,,178.0,249.0,,74.0,368.0,60.0,46.0,131.0,62.0,231.0,,62.0,91.0,,,,,103.0,45.0,,,116.0
,个,2022-01,153.0,760.0,760.0,,,,,140.0,,106.0,,,,,93.0,29.0,,,,,79.0,,172.0,77.0,,,,586.0,586.0,86.0,,135.0,,4150,4150,,,7611,51.0,,614.0,,,23.0,,,1.0,,,,21.0,93.0,,51.0,7611,7611,,,,,,60.0,377.0,,,306.0,,1369.0,1369.0,132.0,132.0,13.0,168.0,,,93.0,,258.0,5.0,614.0,37.0,,200.0,253.0,,,,61.0,48.0,,63.0,234.0,,66.0,,61.0,,26.0,,,,11.0,,
