时间,时间维度,南方电网,广东,广西,云南,海南,贵州,指标单位
2020-01-13,日,38571.00000000,7657.00000000,1442.00000000,17213.00000000,3571.00000000,8688.00000000,MWh
2020-01-31,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,MWh
2020-02-03,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,MWh
2020-02-04,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,MWh
2020-02-12,日,40564.00000000,6962.00000000,1265.00000000,15419.00000000,5012.00000000,11906.00000000,MWh
2020-02-24,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,MWh
2020-03-01,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,MWh
2020-09-05,日,49638.00000000,12463.00000000,5725.00000000,13132.00000000,5426.00000000,12892.00000000,MWh
2020-09-09,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,MWh
2020-12-31,日,39259.00000000,16054.00000000,5488.00000000,11031.00000000,3289.00000000,3397.00000000,MWh
2021-01-02,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,MWh
2021-01-05,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,MWh
2021-01-06,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,MWh
2021-01-09,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,MWh
2021-01-19,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,MWh
2021-01-20,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,MWh
2021-01-22,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,MWh
2021-01-24,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,MWh
2021-01-25,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,MWh
2021-01-26,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,MWh
2021-01-28,日,43593.00000000,14648.00000000,3000.00000000,13005.00000000,4731.00000000,8209.00000000,MWh
2021-01-29,日,50720.00000000,19559.00000000,2611.00000000,15382.00000000,4424.00000000,8744.00000000,MWh
2021-01-30,日,43600.00000000,16355.00000000,2714.00000000,14802.00000000,4342.00000000,5387.00000000,MWh
2021-01-31,日,44934.00000000,18369.00000000,2911.00000000,11915.00000000,4426.00000000,7313.00000000,MWh
2021-02-01,日,53838.00000000,14676.00000000,2067.00000000,16974.00000000,4696.00000000,15425.00000000,MWh
2021-02-02,日,55788.00000000,18300.00000000,3878.00000000,16214.00000000,4517.00000000,12879.00000000,MWh
2021-02-03,日,56914.00000000,14540.00000000,3795.00000000,17275.00000000,4446.00000000,16858.00000000,MWh
2021-02-04,日,64698.00000000,19272.00000000,4379.00000000,17499.00000000,4607.00000000,18941.00000000,MWh
2021-02-05,日,54904.00000000,19270.00000000,5044.00000000,16496.00000000,5097.00000000,8997.00000000,MWh
2021-02-06,日,65612.00000000,19361.00000000,4874.00000000,16843.00000000,4853.00000000,19681.00000000,MWh
2021-02-07,日,42153.00000000,19529.00000000,5043.00000000,6498.00000000,5228.00000000,5855.00000000,MWh
2021-02-08,日,24471.00000000,11896.00000000,1629.00000000,3430.00000000,2972.00000000,4544.00000000,MWh
2021-02-09,日,19141.00000000,5472.00000000,424.00000000,5967.00000000,2862.00000000,4416.00000000,MWh
2021-02-10,日,43955.00000000,6041.00000000,2721.00000000,14593.00000000,3312.00000000,17288.00000000,MWh
2021-02-11,日,55730.00000000,17277.00000000,5465.00000000,17747.00000000,5581.00000000,9660.00000000,MWh
2021-02-12,日,58082.00000000,15887.00000000,5866.00000000,17961.00000000,6121.00000000,12247.00000000,MWh
2021-02-13,日,58611.00000000,19706.00000000,5619.00000000,17877.00000000,5678.00000000,9731.00000000,MWh
2021-02-14,日,66316.00000000,20889.00000000,5327.00000000,16832.00000000,5850.00000000,17418.00000000,MWh
2021-02-15,日,64031.00000000,21200.00000000,5212.00000000,16873.00000000,5958.00000000,14788.00000000,MWh
2021-02-16,日,45843.00000000,17664.00000000,2917.00000000,14582.00000000,5327.00000000,5353.00000000,MWh
2021-02-17,日,50617.00000000,19831.00000000,5408.00000000,12305.00000000,5229.00000000,7844.00000000,MWh
2021-02-18,日,44659.00000000,20695.00000000,3897.00000000,11723.00000000,4508.00000000,3836.00000000,MWh
2021-02-19,日,51614.00000000,21372.00000000,5025.00000000,13877.00000000,5565.00000000,5775.00000000,MWh
2021-02-20,日,55392.00000000,21305.00000000,5500.00000000,12216.00000000,5182.00000000,11189.00000000,MWh
2021-02-21,日,58735.00000000,20714.00000000,5681.00000000,12720.00000000,5387.00000000,14233.00000000,MWh
2021-02-22,日,71985.00000000,19690.00000000,5376.00000000,18765.00000000,5221.00000000,22933.00000000,MWh
