时间,时间维度,南方电网,广东,广西,云南,海南,贵州,指标单位
2020-01-13,日,12278.00000000,2427.00000000,1073.00000000,3245.00000000,873.00000000,4660.00000000,MWh
2020-01-31,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,MWh
2020-02-03,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,MWh
2020-02-04,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,MWh
2020-02-12,日,15232.00000000,5507.00000000,947.00000000,3245.00000000,873.00000000,4660.00000000,MWh
2020-02-24,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,MWh
2020-03-01,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,MWh
2020-09-05,日,21371.00000000,6305.00000000,2219.00000000,3599.00000000,1066.00000000,8183.00000000,MWh
2020-09-09,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,MWh
2020-12-31,日,16495.00000000,5601.00000000,1078.00000000,3403.00000000,1273.00000000,5140.00000000,MWh
2021-01-02,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,MWh
2021-01-05,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,MWh
2021-01-06,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,MWh
2021-01-09,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,MWh
2021-01-19,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,MWh
2021-01-20,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,MWh
2021-01-22,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,MWh
2021-01-24,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,MWh
2021-01-25,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,MWh
2021-01-26,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,MWh
2021-01-28,日,21584.00000000,5770.00000000,1078.00000000,3403.00000000,1273.00000000,10060.00000000,MWh
2021-01-29,日,22055.00000000,5770.00000000,1549.00000000,3403.00000000,1273.00000000,10060.00000000,MWh
2021-01-30,日,22055.00000000,5770.00000000,1549.00000000,3403.00000000,1273.00000000,10060.00000000,MWh
2021-01-31,日,22409.00000000,5870.00000000,1516.00000000,3691.00000000,1272.00000000,10060.00000000,MWh
2021-02-01,日,22409.00000000,5870.00000000,1516.00000000,3691.00000000,1272.00000000,10060.00000000,MWh
2021-02-02,日,21584.00000000,5770.00000000,1078.00000000,3403.00000000,1273.00000000,10060.00000000,MWh
2021-02-03,日,22055.00000000,5770.00000000,1549.00000000,3403.00000000,1273.00000000,10060.00000000,MWh
2021-02-04,日,22061.00000000,5776.00000000,1549.00000000,3403.00000000,1273.00000000,10060.00000000,MWh
2021-02-05,日,22409.00000000,5870.00000000,1516.00000000,3691.00000000,1272.00000000,10060.00000000,MWh
2021-02-06,日,21590.00000000,5776.00000000,1078.00000000,3403.00000000,1273.00000000,10060.00000000,MWh
2021-02-07,日,21590.00000000,5776.00000000,1078.00000000,3403.00000000,1273.00000000,10060.00000000,MWh
2021-02-08,日,17590.00000000,5776.00000000,1078.00000000,3403.00000000,1273.00000000,6060.00000000,MWh
2021-02-09,日,18409.00000000,5870.00000000,1516.00000000,3691.00000000,1272.00000000,6060.00000000,MWh
2021-02-10,日,22376.00000000,5776.00000000,1864.00000000,3403.00000000,1273.00000000,10060.00000000,MWh
2021-02-11,日,21590.00000000,5776.00000000,1078.00000000,3403.00000000,1273.00000000,10060.00000000,MWh
2021-02-12,日,21590.00000000,5776.00000000,1078.00000000,3403.00000000,1273.00000000,10060.00000000,MWh
2021-02-13,日,21590.00000000,5776.00000000,1078.00000000,3403.00000000,1273.00000000,10060.00000000,MWh
