时间,时间维度,南方电网,广东,广西,云南,海南,贵州,广州,深圳,指标单位
2017-04-22,日,2431152.00000000,1483136.00000000,251645.00000000,314589.00000000,70897.00000000,279349.00000000,201328.00000000,205790.00000000,MWh
2017-07-29,日,3177288.00000000,2063221.00000000,355510.00000000,310918.00000000,75945.00000000,320680.00000000,319037.00000000,303368.00000000,MWh
2017-07-31,日,3217574.00000000,2085749.00000000,370179.00000000,312753.00000000,85621.00000000,316456.00000000,332964.00000000,328275.00000000,MWh
2017-08-01,日,3199342.00000000,2080813.00000000,347700.00000000,312725.00000000,89548.00000000,317658.00000000,330971.00000000,335967.00000000,MWh
2017-08-02,日,3135688.00000000,2015573.00000000,344087.00000000,314296.00000000,89395.00000000,320923.00000000,307854.00000000,318338.00000000,MWh
2017-08-03,日,3035452.00000000,1927688.00000000,332833.00000000,316868.00000000,86763.00000000,322307.00000000,289390.00000000,300219.00000000,MWh
2017-08-04,日,3003119.00000000,1911711.00000000,320273.00000000,316757.00000000,83084.00000000,320341.00000000,285383.00000000,297676.00000000,MWh
2017-08-05,日,2994770.00000000,1916489.00000000,315286.00000000,311095.00000000,80543.00000000,318426.00000000,283367.00000000,289591.00000000,MWh
2017-08-06,日,2932278.00000000,1840108.00000000,328861.00000000,312931.00000000,80186.00000000,319846.00000000,283601.00000000,267262.00000000,MWh
2017-08-07,日,3244187.00000000,2104645.00000000,359164.00000000,319088.00000000,81359.00000000,329469.00000000,330164.00000000,321876.00000000,MWh
2017-08-08,日,3344904.00000000,2202387.00000000,365521.00000000,315173.00000000,84690.00000000,320991.00000000,336008.00000000,333503.00000000,MWh
2017-08-09,日,3264943.00000000,2133927.00000000,360654.00000000,313490.00000000,89411.00000000,311143.00000000,331340.00000000,327607.00000000,MWh
2017-08-10,日,3220267.00000000,2097211.00000000,340973.00000000,315989.00000000,91278.00000000,319232.00000000,327457.00000000,320243.00000000,MWh
2017-08-11,日,3162004.00000000,2053384.00000000,344017.00000000,308398.00000000,91330.00000000,311382.00000000,314293.00000000,322328.00000000,MWh
2017-08-12,日,3139570.00000000,2038807.00000000,342579.00000000,313106.00000000,91113.00000000,299113.00000000,302154.00000000,303993.00000000,MWh
2017-08-13,日,2997799.00000000,1900481.00000000,338103.00000000,315764.00000000,91624.00000000,300025.00000000,289124.00000000,270734.00000000,MWh
2017-08-14,日,3192144.00000000,2076267.00000000,335037.00000000,322609.00000000,92235.00000000,312880.00000000,319792.00000000,317041.00000000,MWh
2017-08-15,日,3196474.00000000,2101052.00000000,307333.00000000,323883.00000000,91217.00000000,317992.00000000,316591.00000000,324052.00000000,MWh
2017-08-16,日,3166130.00000000,2077497.00000000,305999.00000000,321382.00000000,87842.00000000,317121.00000000,313206.00000000,321563.00000000,MWh
2017-08-17,日,3174001.00000000,2097179.00000000,310621.00000000,316452.00000000,84252.00000000,313494.00000000,315867.00000000,322865.00000000,MWh
2017-08-18,日,3205513.00000000,2114878.00000000,319355.00000000,319927.00000000,80829.00000000,318805.00000000,320822.00000000,325185.00000000,MWh
2017-08-19,日,3176113.00000000,2077968.00000000,324748.00000000,319388.00000000,79843.00000000,319682.00000000,310267.00000000,308419.00000000,MWh
2017-08-20,日,3072254.00000000,1965117.00000000,336477.00000000,317381.00000000,81828.00000000,320341.00000000,299910.00000000,279452.00000000,MWh
2017-08-21,日,3355463.00000000,2188292.00000000,369616.00000000,323986.00000000,87110.00000000,333091.00000000,343495.00000000,334589.00000000,MWh
2017-08-22,日,3423853.00000000,2228845.00000000,383483.00000000,328085.00000000,89344.00000000,336888.00000000,353477.00000000,339599.00000000,MWh
2017-08-23,日,2983634.00000000,1851726.00000000,355944.00000000,320801.00000000,80020.00000000,334691.00000000,295517.00000000,292361.00000000,MWh
2017-08-24,日,2926714.00000000,1856540.00000000,309618.00000000,320003.00000000,78654.00000000,320999.00000000,289997.00000000,306633.00000000,MWh
2017-08-25,日,3002425.00000000,1917484.00000000,324707.00000000,320292.00000000,80937.00000000,312888.00000000,297277.00000000,308916.00000000,MWh
2017-08-26,日,2903625.00000000,1860723.00000000,292092.00000000,313860.00000000,74352.00000000,317146.00000000,286883.00000000,286875.00000000,MWh
2017-08-27,日,2610071.00000000,1564894.00000000,310071.00000000,309851.00000000,70898.00000000,313490.00000000,234291.00000000,219220.00000000,MWh
2017-08-28,日,2675008.00000000,1630574.00000000,305873.00000000,309160.00000000,70089.00000000,317928.00000000,247893.00000000,251801.00000000,MWh
2017-08-29,日,2819569.00000000,1793927.00000000,298477.00000000,313616.00000000,68572.00000000,291860.00000000,269084.00000000,280205.00000000,MWh
2017-08-30,日,2977755.00000000,1916388.00000000,309930.00000000,314936.00000000,73453.00000000,316007.00000000,292157.00000000,300096.00000000,MWh
2017-08-31,日,3013326.00000000,1929839.00000000,328499.00000000,314926.00000000,77876.00000000,315775.00000000,295649.00000000,300884.00000000,MWh
2017-09-01,日,3005519.00000000,1903110.00000000,341507.00000000,315227.00000000,80996.00000000,309449.00000000,291923.00000000,295765.00000000,MWh
2017-09-02,日,2981070.00000000,1888979.00000000,348003.00000000,315294.00000000,82260.00000000,299654.00000000,295730.00000000,278260.00000000,MWh
2017-09-03,日,2847961.00000000,1756632.00000000,349633.00000000,309694.00000000,84248.00000000,301144.00000000,280382.00000000,245037.00000000,MWh
2017-09-04,日,2915666.00000000,1818078.00000000,345114.00000000,314717.00000000,87281.00000000,301747.00000000,282409.00000000,268000.00000000,MWh
2017-09-05,日,2952365.00000000,1852849.00000000,345506.00000000,314292.00000000,86600.00000000,301960.00000000,283213.00000000,286747.00000000,MWh
2017-09-06,日,3022832.00000000,1921683.00000000,347956.00000000,317708.00000000,82074.00000000,301229.00000000,291352.00000000,298396.00000000,MWh
2017-09-07,日,3003328.00000000,1919062.00000000,330204.00000000,320117.00000000,78081.00000000,303084.00000000,286713.00000000,295659.00000000,MWh
2017-09-08,日,2976890.00000000,1887495.00000000,330769.00000000,321551.00000000,78283.00000000,305310.00000000,281261.00000000,293541.00000000,MWh
2017-09-09,日,2975878.00000000,1877209.00000000,327091.00000000,330086.00000000,80571.00000000,306592.00000000,275926.00000000,282698.00000000,MWh
2017-09-10,日,2817960.00000000,1750558.00000000,319870.00000000,320309.00000000,81365.00000000,302367.00000000,256122.00000000,254047.00000000,MWh
2017-09-11,日,3023646.00000000,1958263.00000000,315741.00000000,318042.00000000,83823.00000000,295392.00000000,294788.00000000,303907.00000000,MWh
2017-09-12,日,3129891.00000000,0.00000000,310709.00000000,322703.00000000,85516.00000000,300846.00000000,315884.00000000,319903.00000000,MWh
2017-09-13,日,3134689.00000000,2041600.00000000,318231.00000000,324299.00000000,85082.00000000,304210.00000000,314808.00000000,314905.00000000,MWh
2017-09-14,日,3097073.00000000,2006765.00000000,325075.00000000,325703.00000000,75424.00000000,304497.00000000,307843.00000000,307368.00000000,MWh
2017-09-15,日,3039482.00000000,1973171.00000000,320643.00000000,324888.00000000,68559.00000000,303545.00000000,296436.00000000,306069.00000000,MWh
2017-09-16,日,3025516.00000000,1944939.00000000,323977.00000000,320900.00000000,76347.00000000,304297.00000000,288800.00000000,297226.00000000,MWh
2017-09-17,日,2953224.00000000,1858789.00000000,335781.00000000,318033.00000000,79323.00000000,305395.00000000,281017.00000000,272188.00000000,MWh
2017-09-18,日,3161427.00000000,2024759.00000000,364294.00000000,326339.00000000,83517.00000000,304428.00000000,311687.00000000,310219.00000000,MWh
2017-09-19,日,3179321.00000000,2041228.00000000,373352.00000000,329631.00000000,86353.00000000,299325.00000000,316067.00000000,313381.00000000,MWh
2017-09-20,日,3178401.00000000,2046290.00000000,362286.00000000,334361.00000000,85716.00000000,290162.00000000,316790.00000000,312677.00000000,MWh
2017-09-21,日,3176622.00000000,2067387.00000000,347349.00000000,333933.00000000,82111.00000000,295187.00000000,320107.00000000,313050.00000000,MWh
2017-09-22,日,3175163.00000000,2057723.00000000,350717.00000000,331891.00000000,82317.00000000,292969.00000000,317883.00000000,309683.00000000,MWh
2017-09-23,日,3134728.00000000,2015881.00000000,349537.00000000,331260.00000000,82576.00000000,303916.00000000,304542.00000000,299886.00000000,MWh
2017-09-24,日,3007912.00000000,1893274.00000000,352586.00000000,327011.00000000,78690.00000000,310472.00000000,277712.00000000,270324.00000000,MWh
2017-09-25,日,3111112.00000000,1984839.00000000,351389.00000000,336260.00000000,78511.00000000,311829.00000000,311821.00000000,305411.00000000,MWh
2017-09-26,日,3216917.00000000,2076494.00000000,354545.00000000,339581.00000000,82864.00000000,313489.00000000,321289.00000000,318731.00000000,MWh
2017-09-27,日,3271626.00000000,2124379.00000000,367336.00000000,336709.00000000,84381.00000000,308758.00000000,329460.00000000,326407.00000000,MWh
2017-09-28,日,3299458.00000000,2136444.00000000,370179.00000000,359209.00000000,80470.00000000,301742.00000000,336839.00000000,326538.00000000,MWh
2017-09-29,日,3234590.00000000,2094181.00000000,351066.00000000,359695.00000000,80120.00000000,299168.00000000,326659.00000000,317475.00000000,MWh
2017-09-30,日,3010354.00000000,1886113.00000000,338031.00000000,353551.00000000,80146.00000000,302719.00000000,291398.00000000,277217.00000000,MWh
2017-10-01,日,2497464.00000000,1444242.00000000,319266.00000000,327908.00000000,79139.00000000,297380.00000000,222224.00000000,192781.00000000,MWh
2017-10-02,日,2469474.00000000,1406245.00000000,328924.00000000,328943.00000000,79941.00000000,291028.00000000,217468.00000000,180919.00000000,MWh
2017-10-03,日,2477739.00000000,1424666.00000000,325818.00000000,327336.00000000,78381.00000000,291842.00000000,222983.00000000,183007.00000000,MWh
2017-10-04,日,2288941.00000000,1305700.00000000,297526.00000000,313143.00000000,74447.00000000,272553.00000000,208011.00000000,177075.00000000,MWh
2017-10-05,日,2468268.00000000,1466610.00000000,300188.00000000,315248.00000000,70707.00000000,282344.00000000,223270.00000000,207944.00000000,MWh
2017-10-06,日,2753461.00000000,1713854.00000000,307413.00000000,330489.00000000,69176.00000000,293983.00000000,250677.00000000,244411.00000000,MWh
