德宏,指标单位,时间,韶关,云南电网,云南,大鹏,河池,迪庆,普洱,云浮,曲靖,河源,揭阳,西双版纳,丽江,凯里,汕尾,桂林,保山,红河,罗湖,汕头,百色,瑞丽,大理,昆明,昌江,怒江,屯昌,贵州电网,贵州,来宾,龙华,阳江,坪山,广东电网,广东,三沙,白沙,公司总部,昭通,楚雄,广州,龙岗,佛山,文山,玉林,乐东,五指山,定安,清远,临沧,贺州,贵阳,铜仁,都匀,南方电网,南网,安顺,兴义,六盘水,贵安,毕节,贵港,南宁,东方,防城港,中山,东莞,广西电网,广西,海南电网,海南,琼海,珠海,文昌,盐田,湛江,临高,柳州,陵水,深圳,琼中,万宁,梅州,江门,福田,遵义,肇庆,崇左,北海,潮州,钦州,惠州,三亚,梧州,玉溪,南山,澄迈,海口,保亭,茂名,光明,儋州,深汕特别合作区,宝安
2.0,件,2021-04,13.0,1143.0,1143.0,0.0,8.0,2.0,11.0,15.0,19.0,18.0,17.0,10.0,6.0,12.0,12.0,11.0,9.0,20.0,0.0,,6.0,3.0,18.0,51.0,0.0,6.0,0.0,603.0,603.0,1.0,0.0,12.0,0.0,3884.0,3884.0,,0.0,9257.0,9.0,9.0,458.0,0.0,327.0,3.0,4.0,0.0,0.0,0.0,25.0,19.0,7.0,23.0,,8.0,9257,9257.0,9.0,,19.0,0.0,1.0,10.0,23.0,,,94.0,278.0,530.0,530.0,150.0,150.0,6.0,72.0,2.0,0.0,11.0,0.0,9.0,0.0,521.0,0.0,0.0,21.0,78.0,0.0,5.0,43.0,10.0,5.0,14.0,12.0,81.0,3.0,0.0,10.0,0.0,1.0,4.0,1.0,49.0,0.0,0.0,0.0,0.0
,,2021-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2021-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,件,2021-07,13.0,1233.0,1233.0,0.0,8.0,3.0,11.0,15.0,22.0,20.0,21.0,11.0,7.0,11.0,15.0,12.0,10.0,23.0,0.0,,6.0,3.0,19.0,56.0,0.0,8.0,0.0,666.0,666.0,1.0,0.0,16.0,0.0,4225.0,4225.0,,0.0,9707.0,9.0,10.0,494.0,0.0,388.0,3.0,5.0,0.0,0.0,0.0,30.0,20.0,7.0,23.0,,9.0,9707,9707.0,8.0,,16.0,0.0,0.0,10.0,25.0,,,96.0,341.0,563.0,563.0,157.0,157.0,8.0,77.0,2.0,0.0,14.0,0.0,9.0,0.0,601.0,0.0,0.0,21.0,81.0,0.0,5.0,46.0,10.0,5.0,16.0,11.0,93.0,3.0,0.0,11.0,0.0,1.0,5.0,1.0,52.0,0.0,0.0,0.0,0.0
,,2021-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,件,2021-09,,1249.0,1249.0,,,,,,,,,,,,,,,,,,,,,,,,,736.0,736.0,,,,,4412.0,4412.0,,,10138.0,,,,,,,,,,,,,,,,,10138,10138.0,,,,,,,,,,,,610.0,610.0,172.0,172.0,,,,,,,,,641.0,,,,,,,,,,,,,,,,,,,,,,,,
,件,2021-10,,1285.0,1285.0,,,,,,,,,,,,,,,,,,,,,,,,,747.0,747.0,,,,,4506.0,4506.0,,,10218.0,,,,,,,,,,,,,,,,,10218,10218.0,,,,,,,,,,,,629.0,629.0,177.0,177.0,,,,,,,,,656.0,,,,,,,,,,,,,,,,,,,,,,,,
,件,2021-11,,1304.0,1304.0,,,,,,,,,,,,,,,,,,,,,,,,,777.0,777.0,,,,,4587.0,4587.0,,,10273.0,,,,,,,,,,,,,,,,,10273,10273.0,,,,,,,,,,,,645.0,645.0,183.0,183.0,,,,,,,,,681.0,,,,,,,,,,,,,,,,,,,,,,,,
3.0,件,2021-12,17.0,1244.0,1244.0,0.0,9.0,5.0,12.0,18.0,27.0,24.0,23.0,12.0,7.0,12.0,16.0,14.0,13.0,25.0,0.0,,8.0,6.0,22.0,61.0,0.0,8.0,0.0,810.0,810.0,4.0,0.0,22.0,0.0,4460.0,4460.0,,0.0,10322.0,12.0,10.0,591.0,0.0,409.0,4.0,12.0,1.0,0.0,1.0,38.0,26.0,8.0,23.0,,9.0,10322,10322.0,9.0,,19.0,0.0,1.0,15.0,38.0,,,124.0,423.0,667.0,667.0,203.0,203.0,8.0,85.0,3.0,0.0,23.0,0.0,15.0,0.0,650.0,0.0,0.0,27.0,95.0,0.0,5.0,57.0,11.0,7.0,19.0,15.0,120.0,3.0,2.0,11.0,0.0,1.0,8.0,5.0,55.0,0.0,1.0,0.0,0.0
2.0,件,2022-01,18.0,1264.0,1264.0,0.0,9.0,6.0,8.0,19.0,26.0,26.0,25.0,13.0,7.0,12.0,10.0,13.0,13.0,25.0,0.0,,8.0,6.0,11.0,61.0,0.0,8.0,0.0,820.0,820.0,4.0,0.0,22.0,0.0,4535.0,4535.0,,0.0,10458.0,11.0,10.0,593.0,0.0,409.0,4.0,12.0,1.0,0.0,1.0,33.0,27.0,9.0,23.0,,9.0,10458,10458.0,9.0,,21.0,0.0,1.0,11.0,39.0,,,152.0,460.0,682.0,682.0,206.0,206.0,8.0,63.0,3.0,0.0,28.0,1.0,16.0,0.0,664.0,0.0,0.0,29.0,98.0,0.0,5.0,58.0,12.0,8.0,21.0,14.0,137.0,3.0,2.0,11.0,1.0,1.0,8.0,5.0,57.0,0.0,1.0,0.0,0.0
