德宏,指标单位,时间,韶关,云南电网,云南,大鹏,河池,迪庆,普洱,云浮,曲靖,河源,揭阳,西双版纳,丽江,凯里,汕尾,桂林,保山,红河,罗湖,汕头,百色,瑞丽,大理,昆明,昌江,怒江,屯昌,贵州电网,贵州,来宾,龙华,阳江,坪山,广东电网,广东,三沙,白沙,公司总部,昭通,楚雄,广州,龙岗,佛山,文山,玉林,乐东,五指山,定安,清远,临沧,贺州,贵阳,铜仁,都匀,南方电网,南网,安顺,兴义,六盘水,贵安,毕节,贵港,南宁,东方,防城港,中山,东莞,广西电网,广西,海南电网,海南,琼海,珠海,文昌,盐田,湛江,临高,柳州,陵水,深圳,琼中,万宁,梅州,江门,福田,遵义,肇庆,崇左,北海,潮州,钦州,惠州,三亚,梧州,玉溪,南山,澄迈,海口,保亭,茂名,光明,儋州,深汕特别合作区,宝安
,小时/户,2021-04,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,2.8,2.8,,,,,,,,,3.762,,,,,,,,,,,,,,,,,3.762,3.762,,,,,,,8.717,,,,,8.717,8.717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,小时/户,2021-05,,,,,,,,,,,,,,9.693,,,,,,,,,,,,,,9.693,9.693,,,,,,,,,9.693,,,,,,,,,,,,,,,,,9.693,9.693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,小时/户,2021-06,,,,,,,,,,,,,,11.106,,,,,,,,,,,,,,11.106,11.106,,,,,,,,,11.106,,,,,,,,,,,,,,,,,11.106,11.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,小时/户,2021-07,,,,,,,,,,,,,,11.53,,,,,,,,,,,,,,11.53,11.53,,,,,,,,,11.53,,,,,,,,,,,,,,,,,11.530,11.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,小时/户,2021-08,,,,,,,,,,,,,,13.360999999999999,,,,,,,,,,,,,,13.360999999999999,13.360999999999999,,,,,,,,,13.360999999999999,,,,,,,,,,,,,,,,,13.361,13.360999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,小时/户,2021-09,,,,,,,,,,,,,,13.673,,,,,,,,,,,,,,13.673,13.673,,,,,,,,,13.673,,,,,,,,,,,,,,,,,13.673,13.673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,小时/户,2021-10,,,,,,,,,,,,,,9.532,,,,,,,,,,,,,,9.532,9.532,,,,,,,,,9.012,,,2.5789999999999997,,,,,,,,,,,,,,9.012,9.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,小时/户,2021-11,,,,,,,,,,,,,,9.817,,,,,,,,,,,,,,9.817,9.817,,,,,,,,,5.357,,,,,,,,,,,,,,,,,5.357,5.357,,,,,,0.16699999999999998,,,,,,0.16699999999999998,0.16699999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,小时/户,2021-12,,,,,,,,,,,,,,,,,,,,,,,,,,,2.427,2.92,2.92,,,,,,,,0.77,27.671999999999997,,,,,,,1.695,0.902,,,,,,1.208,,,27.672,27.671999999999997,,,,,3.127,,,1.339,,,,1.695,1.695,52.435,52.435,3.9160000000000004,,,,,2.074,,,,5.098,1.692,,,,,,,,,,,,,,,333.931,-0.239,6.989,,,,,
1.033,小时/户,2022-01,3.8089999999999997,1.865,1.865,,9.128,,,6.306,,3.071,3.639,,,,4.567,9.1,,,,5.901,,,,,,31.495,,2.372,2.372,,,4.312,,3.862,3.862,,4.033,3.658,0.983,,1.755,,1.0190000000000001,,3.286,0.0,,,2.059,,,4.917,,7.039,3.658,3.658,,,,,0.518,,,,,1.3980000000000001,2.57,3.911,3.911,2.285,2.285,,0.737,,,2.927,2.832,,,,,,4.832,3.014,,0.073,2.7960000000000003,,,4.346,,3.44,,1.156,,,0.7170000000000001,,,7.051,,,,
