德宏,指标单位,时间,韶关,云南电网,云南,大鹏,河池,迪庆,普洱,云浮,曲靖,河源,揭阳,西双版纳,丽江,凯里,汕尾,桂林,保山,红河,罗湖,汕头,百色,瑞丽,大理,昆明,昌江,怒江,屯昌,贵州电网,贵州,来宾,龙华,阳江,坪山,广东电网,广东,三沙,白沙,公司总部,昭通,楚雄,广州,龙岗,佛山,文山,玉林,乐东,五指山,定安,清远,临沧,贺州,贵阳,铜仁,都匀,南方电网,南网,安顺,兴义,六盘水,贵安,毕节,贵港,南宁,东方,防城港,中山,东莞,广西电网,广西,海南电网,海南,琼海,珠海,文昌,盐田,湛江,临高,柳州,陵水,深圳,琼中,万宁,梅州,江门,福田,遵义,肇庆,崇左,北海,潮州,钦州,惠州,三亚,梧州,玉溪,南山,澄迈,海口,保亭,茂名,光明,儋州,深汕特别合作区,宝安
,小时/户,2021-04,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,2.8,2.8,,,,,,,,,4.414,,,,,,,,,,,,,,,,,4.414,4.414,,,,,,,8.717,,,,,8.717,8.717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,小时/户,2021-05,,,,,,,,,,,,,,9.503,,,,,,,,,,,,,,9.503,9.503,,,,,,,,,9.503,,,,,,,,,,,,,,,,,9.503,9.503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,小时/户,2021-06,,,,,,,,,,,,,,11.651,,,,,,,,,,,,,,11.651,11.651,,,,,,,,,11.651,,,,,,,,,,,,,,,,,11.651,11.651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,小时/户,2021-07,,,,,,,,,,,,,,11.197000000000001,,,,,,,,,,,,,,11.197000000000001,11.197000000000001,,,,,,,,,11.197000000000001,,,,,,,,,,,,,,,,,11.197,11.197000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,小时/户,2021-08,,,,,,,,,,,,,,12.981,,,,,,,,,,,,,,12.981,12.981,,,,,,,,,12.981,,,,,,,,,,,,,,,,,12.981,12.981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,小时/户,2021-09,,,,,,,,,,,,,,13.27,,,,,,,,,,,,,,13.27,13.27,,,,,,,,,13.27,,,,,,,,,,,,,,,,,13.270,13.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,小时/户,2021-10,,,,,,,,,,,,,,9.559,,,,,,,,,,,,,,9.559,9.559,,,,,,,,,8.401,,,2.474,,,,,,,,,,,,,,8.401,8.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,小时/户,2021-11,,,,,,,,,,,,,,9.817,,,,,,,,,,,,,,9.817,9.817,,,,,,,,,7.06,,,,,,,,,,,,,,,,,7.060,7.06,,,,,,0.16699999999999998,,,,,,0.16699999999999998,0.16699999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,小时/户,2021-12,,,,,,,,,,,,,,,,,,,,,,,,,,,2.077,3.415,3.415,,,,,,,,0.909,21.051,,,,,,,1.6640000000000001,1.217,,,,,,1.744,,,21.051,21.051,,,,,3.529,,,1.34,,,,1.6640000000000001,1.6640000000000001,39.093,39.093,3.9739999999999998,,,,,1.8559999999999999,,,,4.975,1.443,,,,,,,,,,,,,,,341.279,-2.6239999999999997,6.83,,,,,
1.033,小时/户,2022-01,5.422000000000001,1.8769999999999998,1.8769999999999998,,9.047,,,6.377999999999999,,2.9739999999999998,3.628,,,,4.546,9.1,,,,5.568,,,,,,31.495,,2.553,2.553,,,4.379,,3.9360000000000004,3.9360000000000004,,4.033,3.636,0.983,,1.696,,1.253,,3.55,0.0,,,2.285,3.773,,4.938,,7.252000000000001,3.636,3.636,0.919,,,,0.506,,,,,1.47,2.555,4.337,4.337,1.6640000000000001,1.6640000000000001,,0.78,,,3.278,3.0439999999999996,,,,,,4.5089999999999995,3.545,,0.31,3.367,,,4.564,,3.9360000000000004,,0.665,,,0.7170000000000001,,,6.501,,,,
