德宏,指标单位,时间,韶关,云南电网,云南,大鹏,河池,迪庆,普洱,云浮,曲靖,河源,揭阳,西双版纳,丽江,凯里,汕尾,桂林,保山,红河,罗湖,汕头,百色,瑞丽,大理,昆明,昌江,怒江,屯昌,贵州电网,贵州,来宾,龙华,阳江,坪山,广东电网,广东,三沙,白沙,公司总部,昭通,楚雄,广州,龙岗,佛山,文山,玉林,乐东,五指山,定安,清远,临沧,贺州,贵阳,铜仁,都匀,南方电网,南网,安顺,兴义,六盘水,贵安,毕节,贵港,南宁,东方,防城港,中山,东莞,广西电网,广西,海南电网,海南,琼海,珠海,文昌,盐田,湛江,临高,柳州,陵水,深圳,琼中,万宁,梅州,江门,福田,遵义,肇庆,崇左,北海,潮州,钦州,惠州,三亚,梧州,玉溪,南山,澄迈,海口,保亭,茂名,光明,儋州,深汕特别合作区,宝安
979,单,2021-04,648,20121,20121,,290,,8.0,632,1265,485,670,949,862,782,495,1734,,1315,9.0,409,354,,1527,5425,75,341,37,11541,11541,145,10.0,251,12.0,12971,12971,,47,63896,3421,1329,7726,25.0,499,187,177,26,,1.0,789,532,,2368,667,2633,63896,63896,874,380,1708,,883,949,3593,107,2.0,568,2583,10344,10344,1086,1086,40,647,41,2.0,534,94,1056,153,107.0,62,34,531,918,6.0,1227,685,109,867,317,690,801,82,378,1203,16.0,54,75.0,42,509,15.0,116,,12.0
1262,单,2021-05,1484,22263,22263,2.0,461,,35.0,1345,1450,1089,1445,1381,830,1600,1264,2432,,1566,10.0,649,622,,1926,5527,281,277,240,16462,16462,199,21.0,417,4.0,27292,27292,,292,102278,3812,1135,14166,46.0,992,209,318,310,15.0,5.0,1708,673,,3869,871,2923,102278,102278,1430,997,1864,,965,1593,5058,1009,8.0,1278,5447,15268,15268,6698,6698,166,1074,173,2.0,1001,708,1284,636,129.0,287,251,1085,1794,7.0,1858,1720,179,1470,677,1050,1822,439,594,1293,17.0,223,491.0,208,1001,8.0,964,,12.0
1244,单,2021-06,1036,23074,23074,2.0,562,,13.0,1406,1369,1133,1350,1165,1015,1064,1189,2444,,1812,6.0,720,584,,2536,6112,235,274,332,14857,14857,289,31.0,498,4.0,26251,26251,,288,101057,3736,1294,11215,41.0,826,161,365,306,24.0,3.0,1648,536,,4346,810,2497,101057,101057,1015,758,1969,,905,1845,6134,1282,13.0,1146,4494,17918,17918,7627,7627,251,1452,178,1.0,1420,741,1925,998,115.0,371,220,814,1604,8.0,1446,1973,219,1506,809,1417,1521,486,615,1078,9.0,257,458.0,266,1212,4.0,931,,9.0
1626,单,2021-07,1214,28962,28962,4.0,631,,23.0,1454,1875,1350,1652,1317,1105,1943,1436,3026,,1939,1.0,789,640,,2945,7513,398,461,241,21162,21162,329,19.0,662,7.0,29506,29506,,300,124699,5657,1304,15871,63.0,867,245,362,296,23.0,7.0,1966,727,,5243,1258,3383,124699,124699,1552,1131,2435,,1810,2311,7570,1380,6.0,1345,5302,21090,21090,7963,7963,536,1275,264,1.0,1179,658,2355,838,145.0,265,261,1091,1974,2.0,2407,1817,181,1705,956,1261,1920,483,713,1296,17.0,217,422.0,236,1257,16.0,1138,,15.0
1296,单,2021-08,1117,26237,26237,2.0,520,,24.0,1322,1768,1089,1308,1185,1025,1070,1044,2494,,1768,4.0,679,579,,2381,6926,405,737,296,17767,17767,306,16.0,440,7.0,23830,23830,,323,105866,5050,1271,11376,57.0,770,158,446,285,27.0,5.0,1655,731,,4389,1185,2526,105866,105866,1747,1106,2391,,1576,1885,6379,1340,3.0,986,3752,18526,18526,7976,7976,489,1034,251,1.0,1081,752,1836,793,154.0,306,235,925,1453,10.0,1777,1769,189,1775,822,1470,1427,419,644,1188,12.0,237,514.0,225,1157,15.0,1074,,30.0
1256,单,2021-09,1048,23389,23389,5.0,492,,16.0,1152,1589,923,1210,1045,1138,874,1454,2279,,1574,6.0,736,436,19.0,2146,5483,282,617,211,15068,15068,286,10.0,442,10.0,23918,23918,,186,96957,5085,1094,12508,52.0,874,232,451,169,14.0,4.0,1453,555,,3853,795,2188,96957,96957,1311,956,2401,,1298,1857,5753,819,1.0,1065,4030,16484,16484,5409,5409,145,967,178,2.0,884,607,1550,594,181.0,248,212,917,1442,9.0,1392,1480,150,1250,1377,1344,1526,384,635,848,11.0,147,340.0,136,938,21.0,733,,55.0
1024,单,2021-10,966,23231,23231,2.0,317,,18.0,1290,1653,1235,1694,1097,935,776,1189,1772,,1631,1.0,816,368,22.0,1682,5791,753,579,558,13702,13702,201,2.0,693,,22863,22863,,504,95009,5471,979,7865,,586,222,250,602,,22.0,1278,605,,3370,587,2290,95009,95009,1309,958,2442,,845,1234,4405,2491,3.0,1062,3318,12552,12552,14776,14776,400,1079,611,,1148,2100,966,1215,16.0,608,426,868,1503,11.0,1125,989,102,1376,745,1063,1412,542,495,968,,398,1315.0,184,991,,2047,,
839,单,2021-11,883,24034,24034,,319,,19.0,743,1996,546,837,764,865,823,616,1486,,1852,,533,326,68.0,1603,6737,210,553,240,14901,14901,177,,356,1.0,14619,14619,,195,76880,5390,1059,8447,1.0,535,198,132,193,1.0,3.0,1079,598,,4066,631,2185,76880,76880,1341,1073,2705,,888,896,3554,890,4.0,793,2579,9449,9449,5404,5404,381,716,100,,528,584,782,537,26.0,279,198,495,867,23.0,1189,694,110,654,472,646,898,323,363,961,,140,353.0,122,449,1.0,655,,
824,单,2021-12,941,24899,24899,,346,,10.0,785,1798,674,1043,767,919,982,1008,1732,,1729,1.0,834,409,33.0,1958,6938,221,653,226,16953,16953,163,,386,19.0,16371,16371,,227,86088,5446,1256,10604,,577,201,130,182,1.0,1.0,1131,825,,4369,962,2903,86088,86088,1576,1230,2960,,787,987,4487,894,4.0,771,2724,11238,11238,5978,5978,377,676,97,2.0,555,633,893,654,45.0,327,309,591,871,18.0,1184,699,94,933,663,663,905,394,397,938,3.0,154,401.0,195,537,1.0,685,,1.0
981,单,2022-01,1204,29033,29033,,600,,15.0,963,2975,658,903,691,989,2272,939,2347,,2113,,320,526,45.0,2780,6029,244,684,322,22319,22319,265,,447,,15827,15827,,203,87999,7153,1570,164,,438,309,266,235,,,1158,734,,4722,1879,3617,87999,87999,1063,1783,3795,,1779,1618,4957,959,1.0,494,1989,14277,14277,6379,6379,391,525,127,,867,832,1197,514,,255,340,858,807,,1409,982,152,875,576,984,920,246,489,1079,,202,491.0,134,779,,884,,
