德宏,指标单位,时间,韶关,云南电网,云南,大鹏,河池,迪庆,普洱,云浮,曲靖,河源,揭阳,西双版纳,丽江,凯里,汕尾,桂林,保山,红河,罗湖,汕头,百色,瑞丽,大理,昆明,昌江,怒江,屯昌,贵州电网,贵州,来宾,龙华,阳江,坪山,广东电网,广东,三沙,白沙,公司总部,昭通,楚雄,广州,龙岗,佛山,文山,玉林,乐东,五指山,定安,清远,临沧,贺州,贵阳,铜仁,都匀,南方电网,南网,安顺,兴义,六盘水,贵安,毕节,贵港,南宁,东方,防城港,中山,东莞,广西电网,广西,海南电网,海南,琼海,珠海,文昌,盐田,湛江,临高,柳州,陵水,深圳,琼中,万宁,梅州,江门,福田,遵义,肇庆,崇左,北海,潮州,钦州,惠州,三亚,梧州,玉溪,南山,澄迈,海口,保亭,茂名,光明,儋州,深汕特别合作区,宝安
,单,2021-04,,,,,,,,,,5,,,,,10,,,,,,,,,,,,,8,8,,,,,184,184,,,202,,,2,1.0,2,,,,,,2,,,7.0,,,202,202,,,,,,,,,,,1,4.0,4.0,3.0,3.0,1.0,,2.0,,161,,,,1,,,,1,,1.0,,4.0,,,,,,,,,,,,2,,,,
,单,2021-05,,,,,,,,10.0,,6,51.0,,,,5,,,,,,,,,,,,,2,2,,,,,336,336,,,351,,,1,4.0,7,,,,,,6,,,,2.0,,351,351,,,,,,,,,,3.0,6,8.0,8.0,,,,,,,231,,,,4,,,,10,,,,8.0,,1.0,,,,,,,,,,0,,,,
,单,2021-06,,,,,,,,3.0,,3,63.0,,,,4,,,,,,,,,,2.0,,,2,2,,,1.0,,409,409,,,427,,,4,8.0,10,,,,,,7,,,,1.0,,427,427,,1.0,,,,,,,,3.0,2,,,4.0,4.0,,,,,275,,,,8,,,,12,,,1.0,,,,,10.0,,,,,2.0,,,15,,,,
,单,2021-07,,,,,,,,7.0,,7,104.0,,,,11,,,,,,,,,,,,,1,1,,,3.0,,458,458,,,487,,,3,23.0,1,,,,,,5,,,,,,487,487,,,,,,,,,,1.0,2,1.0,1.0,1.0,1.0,1.0,,,,263,,,,23,,,1.0,14,,1.0,2.0,1.0,,,,11.0,,,,,,,,26,,,,
,单,2021-08,1.0,0.0,0.0,,1.0,,,5.0,0.0,10,66.0,,,,9,,,,,,,,,,,,,11,11,,,,,446,446,,,492,,,7,25.0,3,,,,,,6,,,,2.0,,492,492,,9.0,,,,,,,,,3,3.0,3.0,,,,,,,280,,,,25,,,3.0,18,,,,2.0,,1.0,,2.0,,,,,,,,39,,,,
1.0,单,2021-09,33.0,1.0,1.0,,,,,41.0,0.0,187,167.0,,,,28,2.0,,,2.0,37.0,,,,,1.0,,,2,2,,,15.0,0.0,1198,1198,,,1284,,,21,28.0,19,,1.0,,,,58,,,,1.0,,1284,1284,,,,,,,,,,14.0,24,11.0,11.0,15.0,15.0,8.0,4.0,2.0,,211,,,,36,,,52.0,54,3.0,1.0,92.0,8.0,,37.0,,10.0,,,,,4.0,,,115,,,,3.0
12.0,单,2021-10,1197.0,24.0,24.0,2.0,1.0,,0.0,1195.0,12.0,1198,1500.0,,,,1166,,,,,2364.0,,,0.0,,,,,6,6,,2.0,1206.0,,34369,34369,,,42976,,,8506,38.0,3252,,,,,,1645,,,,3.0,,42976,42976,,3.0,,,,,,,,2052.0,3203,5.0,5.0,13.0,13.0,5.0,1282.0,3.0,,3197,,,,53,,0.0,1289.0,2424,10.0,,1705.0,4.0,,927.0,,1807.0,,,,,5.0,,,1759,,,,0.0
,单,2021-11,1017.0,91.0,91.0,,,,0.0,732.0,63.0,704,894.0,,,,621,,,,0.0,1552.0,,,0.0,,1.0,,,14,14,,3.0,755.0,1.0,23251,23251,,,31961,,,8531,21.0,2533,,,,,,1389,,,0.0,1.0,,31961,31961,9.0,4.0,,,,1.0,,,,1482.0,2813,11.0,11.0,9.0,9.0,6.0,824.0,,1.0,1491,,,,54,,,828.0,1569,23.0,,1326.0,10.0,,649.0,,1175.0,,,28.0,0.0,,2.0,,897,1.0,,1.0,3.0
6.0,单,2021-12,1066.0,102.0,102.0,,6.0,,0.0,762.0,1.0,906,1102.0,,,6.0,1002,,,9.0,0.0,2361.0,0.0,,23.0,3.0,3.0,,9.0,154,154,,1.0,798.0,16.0,26101,26101,,4.0,36630,1.0,14.0,10033,10.0,2757,,22.0,19.0,1.0,,1489,,,13.0,4.0,,36630,36630,62.0,,0.0,,55.0,,2.0,3.0,,1495.0,3136,44.0,44.0,147.0,147.0,2.0,818.0,,1.0,1694,11.0,,,49,24.0,15.0,870.0,1530,17.0,14.0,1314.0,14.0,,789.0,,1192.0,,,45.0,2.0,10.0,42.0,4.0,1020,0.0,,0.0,2.0
6.0,单,2022-01,1497.0,271.0,271.0,2.0,6.0,,1.0,1253.0,84.0,1016,1063.0,2.0,3.0,130.0,974,7.0,,3.0,16.0,971.0,,,67.0,4.0,3.0,3.0,,1670,1670,23.0,37.0,936.0,11.0,27632,27632,,1.0,30234,30.0,34.0,171,53.0,2068,,60.0,1.0,,,2101,3.0,,76.0,63.0,96.0,30234,30234,225.0,8.0,,,220.0,7.0,8.0,1.0,2.0,1056.0,2222,194.0,194.0,18.0,18.0,1.0,654.0,,1.0,2594,9.0,,,278,,1.0,1884.0,1326,9.0,852.0,1827.0,59.0,5.0,681.0,16.0,1184.0,,1.0,30.0,23.0,1.0,,,2325,13.0,,6.0,107.0
3.0,单,2022-02,1980.0,460.0,460.0,7.0,1.0,,6.0,1083.0,3.0,1335,1219.0,,,123.0,885,7.0,,3.0,18.0,1053.0,1.0,,29.0,1.0,,4.0,,1272,1272,49.0,59.0,792.0,18.0,29615,29615,,,32128,385.0,4.0,170,74.0,2512,20.0,31.0,3.0,,,2371,2.0,,72.0,97.0,104.0,32128,32128,123.0,15.0,,,153.0,9.0,12.0,2.0,14.0,1270.0,2459,206.0,206.0,16.0,16.0,1.0,745.0,,4.0,2485,3.0,1.0,,389,,1.0,1944.0,1598,9.0,585.0,1894.0,58.0,12.0,697.0,11.0,1272.0,4.0,,,24.0,2.0,,,2021,28.0,,3.0,145.0
1.0,单,2022-03,1039.0,591.0,591.0,2.0,12.0,,20.0,908.0,96.0,1053,1042.0,,8.0,41.0,709,27.0,,33.0,4.0,981.0,7.0,,56.0,59.0,,6.0,1.0,1448,1448,33.0,12.0,844.0,19.0,25606,25606,,1.0,28392,277.0,3.0,234,25.0,2981,4.0,49.0,,1.0,,1337,18.0,,72.0,82.0,44.0,28392,28392,61.0,8.0,1.0,,189.0,13.0,44.0,2.0,,1558.0,2923,262.0,262.0,124.0,124.0,,845.0,,1.0,1969,98.0,2.0,,127,,,1022.0,1620,2.0,950.0,1402.0,63.0,3.0,828.0,9.0,1483.0,,,9.0,6.0,6.0,2.0,1.0,1062,4.0,12.0,3.0,49.0
7.0,单,2022-04,993.0,1002.0,1002.0,3.0,328.0,8.0,38.0,871.0,81.0,855,935.0,30.0,10.0,1338.0,659,1186.0,,66.0,7.0,876.0,237.0,,103.0,94.0,,10.0,8.0,14129,14129,207.0,43.0,641.0,21.0,24078,24078,,10.0,47353,275.0,83.0,246,37.0,2584,6.0,449.0,3.0,,1.0,1370,36.0,,3270.0,709.0,1898.0,47353,47353,981.0,564.0,1416.0,203.0,1760.0,883.0,2650.0,3.0,70.0,1470.0,3079,7489.0,7489.0,165.0,165.0,1.0,690.0,48.0,1.0,1870,8.0,235.0,0.0,244,,6.0,836.0,1575,29.0,1990.0,1594.0,203.0,502.0,599.0,387.0,1459.0,1.0,152.0,132.0,13.0,19.0,17.0,4.0,1122,6.0,36.0,2.0,82.0
813.0,单,2022-05,1156.0,29476.0,29476.0,4.0,672.0,5.0,282.0,994.0,4529.0,1207,1372.0,1830.0,604.0,1475.0,885,1859.0,,1526.0,14.0,1150.0,520.0,,1984.0,8695.0,116.0,483.0,67.0,21835,21835,434.0,24.0,1034.0,20.0,31030,31030,,78.0,104632,2989.0,1438.0,313,71.0,3179,212.0,825.0,264.0,119.0,168.0,1582,1485.0,,4944.0,847.0,2267.0,104632,104632,2240.0,797.0,2875.0,221.0,2889.0,1706.0,5291.0,709.0,174.0,2097.0,3339,14881.0,14881.0,6816.0,6816.0,393.0,1131.0,272.0,0.0,2148,670.0,430.0,115.0,281,145.0,576.0,1136.0,2040,20.0,3280.0,1926.0,470.0,1130.0,858.0,929.0,2198.0,746.0,441.0,1666.0,8.0,425.0,1041.0,148.0,1598,10.0,764.0,4.0,105.0
1070.0,单,2022-06,4220.0,43188.0,43188.0,10.0,1274.0,,333.0,1476.0,6650.0,2230,2170.0,3157.0,947.0,2209.0,1792,3229.0,,2483.0,10.0,1775.0,653.0,,3241.0,9891.0,231.0,733.0,214.0,25577,25577,619.0,50.0,1751.0,15.0,51223,51223,,282.0,156810,5916.0,2261.0,382,61.0,4342,439.0,1167.0,610.0,181.0,246.0,3840,2172.0,,5797.0,1433.0,3253.0,156810,156810,2401.0,947.0,2787.0,316.0,3475.0,2784.0,7525.0,1291.0,258.0,2330.0,4855,22901.0,22901.0,13185.0,13185.0,635.0,1394.0,401.0,3.0,3393,1154.0,750.0,303.0,354,307.0,738.0,2193.0,2831,25.0,2959.0,3284.0,626.0,1962.0,1244.0,1424.0,3280.0,1901.0,630.0,2520.0,24.0,677.0,2082.0,247.0,2823,6.0,1684.0,8.0,142.0
