德宏,指标单位,时间,韶关,云南电网,云南,大鹏,河池,迪庆,普洱,云浮,曲靖,河源,揭阳,西双版纳,丽江,凯里,汕尾,桂林,保山,红河,罗湖,汕头,百色,瑞丽,大理,昆明,昌江,怒江,屯昌,贵州电网,贵州,来宾,龙华,阳江,坪山,广东电网,广东,三沙,白沙,公司总部,昭通,楚雄,广州,龙岗,佛山,文山,玉林,乐东,五指山,定安,清远,临沧,贺州,贵阳,铜仁,都匀,南方电网,南网,安顺,兴义,六盘水,贵安,毕节,贵港,南宁,东方,防城港,中山,东莞,广西电网,广西,海南电网,海南,琼海,珠海,文昌,盐田,湛江,临高,柳州,陵水,深圳,琼中,万宁,梅州,江门,福田,遵义,肇庆,崇左,北海,潮州,钦州,惠州,三亚,梧州,玉溪,南山,澄迈,海口,保亭,茂名,光明,儋州,深汕特别合作区,宝安
,,2021-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2021-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2021-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2021-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2021-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2021-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,户,2021-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,户,2021-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505.0,,,,,,,,,,,,,,,,,505,505.0,,,,,,505.0,,,,,,505.0,505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,户,2021-12,,,,,,,,,,,,,,,,,,,,,,,,,,,24379.0,124643.0,124643.0,,,,,,,,609.0,274779.0,,,,,,,10708.0,2972.0,,,,,,12338.0,,,274779,274779.0,,,,,112305.0,,,2490.0,,,,10708.0,10708.0,139428.0,139428.0,2004.0,,,,,15432.0,,,,16561.0,15801.0,,,,,,,,,,,,,,,19189.0,35172.0,4819.0,,,,,
2175.0,户,2022-01,40719.0,3926.0,3926.0,,2741.0,,,17535.0,,46328.0,104610.0,,,,35697.0,,,,,37216.0,,,,,,78.0,,65286.0,65286.0,,,24574.0,,807229.0,807229.0,,816.0,977393.0,1673.0,,59522.0,,13526.0,,29762.0,1685.0,,,53401.0,,,43.0,,18348.0,977393,977393.0,,,,,45206.0,,,,,6871.0,23306.0,33016.0,33016.0,8414.0,8414.0,,12247.0,,,108378.0,5573.0,,,,,,48722.0,26661.0,,1689.0,71437.0,,,81415.0,,26250.0,,513.0,,,340.0,,,28336.0,,,,
