时间,时间维度,南方电网,广东,广西,云南,广州,深圳,海南,贵州,指标单位
2017-04-22,日,120458.00000000,73767.00000000,13376.00000000,15883.00000000,10291.00000000,10364.00000000,3490.00000000,14608.00000000,MWh
2017-07-29,日,148873.00000000,99883.00000000,17522.00000000,15664.00000000,15502.00000000,15332.00000000,3784.00000000,15745.00000000,MWh
2017-07-31,日,156189.00000000,102981.00000000,17875.00000000,15791.00000000,16362.00000000,17077.00000000,4070.00000000,15648.00000000,MWh
2017-08-01,日,152492.00000000,100834.00000000,16543.00000000,15616.00000000,16312.00000000,17147.00000000,4215.00000000,15538.00000000,MWh
2017-08-02,日,151545.00000000,99350.00000000,16238.00000000,15827.00000000,15794.00000000,16260.00000000,4182.00000000,15939.00000000,MWh
2017-08-03,日,147632.00000000,95452.00000000,15878.00000000,15870.00000000,14628.00000000,15347.00000000,4149.00000000,16053.00000000,MWh
2017-08-04,日,148381.00000000,96731.00000000,15345.00000000,16130.00000000,14828.00000000,15625.00000000,3960.00000000,15983.00000000,MWh
2017-08-05,日,143378.00000000,93716.00000000,15429.00000000,15479.00000000,13958.00000000,14769.00000000,3791.00000000,15446.00000000,MWh
2017-08-06,日,134814.00000000,85224.00000000,16341.00000000,15622.00000000,13877.00000000,12594.00000000,3776.00000000,15457.00000000,MWh
2017-08-07,日,156976.00000000,105055.00000000,17205.00000000,16040.00000000,16546.00000000,16999.00000000,3844.00000000,15959.00000000,MWh
2017-08-08,日,156975.00000000,104701.00000000,17286.00000000,15744.00000000,16525.00000000,17055.00000000,4048.00000000,15807.00000000,MWh
2017-08-09,日,155920.00000000,103430.00000000,17105.00000000,15755.00000000,16358.00000000,16854.00000000,4175.00000000,15205.00000000,MWh
2017-08-10,日,154032.00000000,101647.00000000,16678.00000000,15657.00000000,16404.00000000,16182.00000000,4305.00000000,15547.00000000,MWh
2017-08-11,日,155158.00000000,102831.00000000,16596.00000000,15649.00000000,16259.00000000,16666.00000000,4314.00000000,15308.00000000,MWh
2017-08-12,日,147495.00000000,98226.00000000,16390.00000000,15771.00000000,14863.00000000,15139.00000000,4231.00000000,14079.00000000,MWh
2017-08-13,日,136062.00000000,86733.00000000,15936.00000000,15856.00000000,13582.00000000,12619.00000000,4210.00000000,14139.00000000,MWh
2017-08-14,日,154962.00000000,103638.00000000,16043.00000000,16296.00000000,16100.00000000,16727.00000000,4321.00000000,14567.00000000,MWh
2017-08-15,日,152632.00000000,102043.00000000,14662.00000000,16143.00000000,15795.00000000,16598.00000000,4233.00000000,14990.00000000,MWh
2017-08-16,日,152078.00000000,101309.00000000,15165.00000000,16113.00000000,15568.00000000,16555.00000000,4031.00000000,14900.00000000,MWh
2017-08-17,日,152375.00000000,102043.00000000,15299.00000000,15977.00000000,15716.00000000,16520.00000000,3873.00000000,14305.00000000,MWh
2017-08-18,日,153571.00000000,103250.00000000,15761.00000000,16148.00000000,15924.00000000,16650.00000000,3832.00000000,14790.00000000,MWh
2017-08-19,日,148380.00000000,99009.00000000,15986.00000000,15986.00000000,14793.00000000,15374.00000000,3767.00000000,14920.00000000,MWh
2017-08-20,日,139278.00000000,90353.00000000,16638.00000000,15922.00000000,14235.00000000,13164.00000000,3906.00000000,15156.00000000,MWh
2017-08-21,日,161784.00000000,108577.00000000,17966.00000000,16711.00000000,17162.00000000,17530.00000000,4117.00000000,15864.00000000,MWh
2017-08-22,日,162974.00000000,108493.00000000,18504.00000000,16588.00000000,17711.00000000,17102.00000000,4143.00000000,16084.00000000,MWh
2017-08-23,日,145497.00000000,92861.00000000,16748.00000000,16490.00000000,14784.00000000,14651.00000000,3777.00000000,15766.00000000,MWh
2017-08-24,日,142950.00000000,94337.00000000,15015.00000000,16107.00000000,15187.00000000,16268.00000000,3853.00000000,15160.00000000,MWh
2017-08-25,日,147695.00000000,96811.00000000,16282.00000000,16252.00000000,15401.00000000,16269.00000000,3820.00000000,14736.00000000,MWh
2017-08-26,日,141976.00000000,92905.00000000,15676.00000000,15913.00000000,14434.00000000,14929.00000000,3474.00000000,15602.00000000,MWh
2017-08-27,日,119333.00000000,69876.00000000,14914.00000000,15810.00000000,10925.00000000,10465.00000000,3483.00000000,15374.00000000,MWh
2017-08-28,日,136304.00000000,86192.00000000,15421.00000000,16183.00000000,13219.00000000,13515.00000000,3498.00000000,15100.00000000,MWh
2017-08-29,日,141480.00000000,92011.00000000,14643.00000000,16170.00000000,14188.00000000,15127.00000000,3446.00000000,15085.00000000,MWh
2017-08-30,日,146740.00000000,97061.00000000,15745.00000000,16028.00000000,15221.00000000,15882.00000000,3655.00000000,15224.00000000,MWh
2017-08-31,日,147577.00000000,96795.00000000,16298.00000000,16003.00000000,15335.00000000,15908.00000000,3810.00000000,15258.00000000,MWh
2017-09-01,日,145161.00000000,93947.00000000,16533.00000000,15722.00000000,14720.00000000,15586.00000000,3863.00000000,14833.00000000,MWh
2017-09-02,日,141557.00000000,92305.00000000,16866.00000000,15589.00000000,14712.00000000,14203.00000000,3958.00000000,14387.00000000,MWh
2017-09-03,日,130950.00000000,81437.00000000,17070.00000000,15661.00000000,13408.00000000,11693.00000000,4050.00000000,14373.00000000,MWh
2017-09-04,日,142008.00000000,90840.00000000,16473.00000000,16297.00000000,14397.00000000,14242.00000000,4095.00000000,14340.00000000,MWh
2017-09-05,日,144010.00000000,92768.00000000,16424.00000000,16199.00000000,15066.00000000,14961.00000000,4087.00000000,14452.00000000,MWh
2017-09-06,日,147000.00000000,96053.00000000,16980.00000000,16194.00000000,15105.00000000,15511.00000000,4035.00000000,14542.00000000,MWh
2017-09-07,日,146754.00000000,96428.00000000,16101.00000000,16037.00000000,14985.00000000,15510.00000000,3680.00000000,14829.00000000,MWh
2017-09-08,日,145213.00000000,94415.00000000,16322.00000000,16096.00000000,14378.00000000,15290.00000000,3743.00000000,14989.00000000,MWh
2017-09-09,日,143404.00000000,92783.00000000,15909.00000000,16021.00000000,13975.00000000,14425.00000000,3808.00000000,14765.00000000,MWh
2017-09-10,日,131901.00000000,82711.00000000,15611.00000000,16001.00000000,12396.00000000,12145.00000000,3824.00000000,14299.00000000,MWh
2017-09-11,日,148202.00000000,98359.00000000,15541.00000000,15987.00000000,15162.00000000,16081.00000000,4007.00000000,14286.00000000,MWh
2017-09-12,日,151127.00000000,100829.00000000,0.00000000,16331.00000000,15785.00000000,16567.00000000,4010.00000000,14732.00000000,MWh
2017-09-13,日,150150.00000000,99311.00000000,15896.00000000,16502.00000000,15478.00000000,16149.00000000,3985.00000000,14886.00000000,MWh
2017-09-14,日,148678.00000000,97920.00000000,16079.00000000,16454.00000000,15277.00000000,15922.00000000,3583.00000000,14875.00000000,MWh
2017-09-15,日,146576.00000000,96500.00000000,15712.00000000,16534.00000000,14775.00000000,15789.00000000,3559.00000000,15108.00000000,MWh
2017-09-16,日,143271.00000000,94360.00000000,16152.00000000,15977.00000000,14077.00000000,14866.00000000,3752.00000000,14992.00000000,MWh
2017-09-17,日,136208.00000000,86205.00000000,16562.00000000,16075.00000000,13290.00000000,12898.00000000,3839.00000000,15179.00000000,MWh
2017-09-18,日,153276.00000000,100405.00000000,17842.00000000,16294.00000000,15629.00000000,16372.00000000,3995.00000000,15298.00000000,MWh
2017-09-19,日,152762.00000000,99968.00000000,17897.00000000,16555.00000000,15692.00000000,16132.00000000,4073.00000000,14473.00000000,MWh
2017-09-20,日,151300.00000000,100234.00000000,17023.00000000,16451.00000000,15642.00000000,16196.00000000,4006.00000000,14212.00000000,MWh
2017-09-21,日,152544.00000000,101414.00000000,16792.00000000,16440.00000000,15934.00000000,16277.00000000,3919.00000000,14864.00000000,MWh
2017-09-22,日,153220.00000000,100736.00000000,17071.00000000,17087.00000000,15971.00000000,15906.00000000,3931.00000000,15010.00000000,MWh
2017-09-23,日,149191.00000000,97478.00000000,16979.00000000,17053.00000000,14770.00000000,15090.00000000,3996.00000000,15171.00000000,MWh
2017-09-24,日,141122.00000000,89391.00000000,16981.00000000,16940.00000000,13711.00000000,12917.00000000,3656.00000000,15376.00000000,MWh
2017-09-25,日,153723.00000000,100459.00000000,16807.00000000,17393.00000000,15929.00000000,16110.00000000,3953.00000000,15036.00000000,MWh
2017-09-26,日,154131.00000000,101658.00000000,17311.00000000,17290.00000000,15943.00000000,16350.00000000,3928.00000000,14980.00000000,MWh
2017-09-27,日,155133.00000000,102902.00000000,17745.00000000,16689.00000000,16266.00000000,16653.00000000,4022.00000000,15410.00000000,MWh
2017-09-28,日,156092.00000000,103502.00000000,17715.00000000,16885.00000000,16601.00000000,16611.00000000,3790.00000000,14615.00000000,MWh
