时间,时间维度,南方电网,广东,广西,云南,海南,贵州,天生桥及龙滩 ,指标单位
2017-04-22,日,101156.00000000,9171.00000000,9269.00000000,58680.00000000,881.00000000,15735.00000000,"7420.00000000	",MWh
2017-07-29,日,101182.00000000,9171.00000000,9269.00000000,58706.00000000,881.00000000,15735.00000000,"7420.00000000	",MWh
2017-07-31,日,101182.00000000,9171.00000000,9269.00000000,58706.00000000,881.00000000,15735.00000000,"7420.00000000	",MWh
2017-08-01,日,101182.00000000,9171.00000000,9269.00000000,58706.00000000,881.00000000,15735.00000000,"7420.00000000	",MWh
2017-08-02,日,101182.00000000,9171.00000000,9269.00000000,58706.00000000,881.00000000,15735.00000000,"7420.00000000	",MWh
2017-08-03,日,101182.00000000,9171.00000000,9269.00000000,58706.00000000,881.00000000,15735.00000000,"7420.00000000	",MWh
2017-08-04,日,101182.00000000,9171.00000000,9269.00000000,58706.00000000,881.00000000,15735.00000000,"7420.00000000	",MWh
2017-08-05,日,101182.00000000,9171.00000000,9269.00000000,58706.00000000,881.00000000,15735.00000000,"7420.00000000	",MWh
2017-08-06,日,101182.00000000,9171.00000000,9269.00000000,58706.00000000,881.00000000,15735.00000000,"7420.00000000	",MWh
2017-08-07,日,101182.00000000,9171.00000000,9269.00000000,58706.00000000,881.00000000,15735.00000000,"7420.00000000	",MWh
2017-08-08,日,101182.00000000,9171.00000000,9269.00000000,58706.00000000,881.00000000,15735.00000000,"7420.00000000	",MWh
2017-08-09,日,101182.00000000,9171.00000000,9269.00000000,58706.00000000,881.00000000,15735.00000000,"7420.00000000	",MWh
2017-08-10,日,101182.00000000,9171.00000000,9269.00000000,58706.00000000,881.00000000,15735.00000000,"7420.00000000	",MWh
2017-08-11,日,101182.00000000,9171.00000000,9269.00000000,58706.00000000,881.00000000,15735.00000000,"7420.00000000	",MWh
2017-08-12,日,101422.00000000,9171.00000000,9269.00000000,58706.00000000,881.00000000,15975.00000000,"7420.00000000	",MWh
2017-08-13,日,42716.00000000,9171.00000000,9269.00000000,0.00000000,881.00000000,15975.00000000,"7420.00000000	",MWh
2017-08-14,日,42716.00000000,9171.00000000,9269.00000000,0.00000000,881.00000000,15975.00000000,"7420.00000000	",MWh
2017-08-15,日,101422.00000000,9171.00000000,9269.00000000,58706.00000000,881.00000000,15975.00000000,"7420.00000000	",MWh
2017-08-16,日,101422.00000000,9171.00000000,9269.00000000,58706.00000000,881.00000000,15975.00000000,"7420.00000000	",MWh
2017-08-17,日,101422.00000000,9171.00000000,9269.00000000,58706.00000000,881.00000000,15975.00000000,"7420.00000000	",MWh
2017-08-18,日,101406.00000000,9171.00000000,9269.00000000,58690.00000000,881.00000000,15975.00000000,"7420.00000000	",MWh
2017-08-19,日,85431.00000000,9171.00000000,9269.00000000,58690.00000000,881.00000000,0.00000000,"7420.00000000	",MWh
2017-08-20,日,85431.00000000,9171.00000000,9269.00000000,58690.00000000,881.00000000,0.00000000,"7420.00000000	",MWh
2017-08-21,日,101406.00000000,9171.00000000,9269.00000000,58690.00000000,881.00000000,15975.00000000,"7420.00000000	",MWh
2017-08-22,日,101406.00000000,9171.00000000,9269.00000000,58690.00000000,881.00000000,15975.00000000,"7420.00000000	",MWh
2017-08-23,日,101406.00000000,9171.00000000,9269.00000000,58690.00000000,881.00000000,15975.00000000,"7420.00000000	",MWh
2017-08-24,日,101406.00000000,9171.00000000,9269.00000000,58690.00000000,881.00000000,15975.00000000,"7420.00000000	",MWh
2017-08-25,日,101406.00000000,9171.00000000,9269.00000000,58690.00000000,881.00000000,15975.00000000,"7420.00000000	",MWh
2017-08-26,日,101406.00000000,9171.00000000,9269.00000000,58690.00000000,881.00000000,15975.00000000,"7420.00000000	",MWh
2017-08-27,日,101406.00000000,9171.00000000,9269.00000000,58690.00000000,881.00000000,15975.00000000,"7420.00000000	",MWh
2017-08-28,日,101406.00000000,9171.00000000,9269.00000000,58690.00000000,881.00000000,15975.00000000,"7420.00000000	",MWh
2017-08-29,日,101406.00000000,9171.00000000,9269.00000000,58690.00000000,881.00000000,15975.00000000,"7420.00000000	",MWh
2017-08-30,日,101402.00000000,9171.00000000,9269.00000000,58690.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-08-31,日,101406.00000000,9171.00000000,9269.00000000,58690.00000000,881.00000000,15975.00000000,"7420.00000000	",MWh
2017-09-01,日,101406.00000000,9171.00000000,9269.00000000,58690.00000000,881.00000000,15975.00000000,"7420.00000000	",MWh
2017-09-02,日,101440.00000000,9171.00000000,9269.00000000,58724.00000000,881.00000000,15975.00000000,"7420.00000000	",MWh
2017-09-03,日,101440.00000000,9171.00000000,9269.00000000,58724.00000000,881.00000000,15975.00000000,"7420.00000000	",MWh
2017-09-04,日,101440.00000000,9171.00000000,9269.00000000,58724.00000000,881.00000000,15975.00000000,"7420.00000000	",MWh
2017-09-05,日,101440.00000000,9171.00000000,9269.00000000,58724.00000000,881.00000000,15975.00000000,"7420.00000000	",MWh
2017-09-06,日,101440.00000000,9171.00000000,9269.00000000,58724.00000000,881.00000000,15975.00000000,"7420.00000000	",MWh
2017-09-07,日,101440.00000000,9171.00000000,9269.00000000,58724.00000000,881.00000000,15975.00000000,"7420.00000000	",MWh
2017-09-08,日,101440.00000000,9171.00000000,9269.00000000,58724.00000000,881.00000000,15975.00000000,"7420.00000000	",MWh
2017-09-09,日,101440.00000000,9171.00000000,9269.00000000,58724.00000000,881.00000000,15975.00000000,"7420.00000000	",MWh
2017-09-10,日,101422.00000000,9171.00000000,9269.00000000,58706.00000000,881.00000000,15975.00000000,"7420.00000000	",MWh
2017-09-11,日,101440.00000000,9171.00000000,9269.00000000,58724.00000000,881.00000000,15975.00000000,"7420.00000000	",MWh
2017-09-12,日,101474.00000000,9171.00000000,9269.00000000,58758.00000000,881.00000000,15975.00000000,"7420.00000000	",MWh
2017-09-13,日,101474.00000000,9171.00000000,9269.00000000,58758.00000000,881.00000000,15975.00000000,"7420.00000000	",MWh
2017-09-14,日,101474.00000000,9171.00000000,9269.00000000,58758.00000000,881.00000000,15975.00000000,"7420.00000000	",MWh
2017-09-15,日,101474.00000000,9171.00000000,9269.00000000,58758.00000000,881.00000000,15975.00000000,"7420.00000000	",MWh
2017-09-16,日,101474.00000000,9171.00000000,9269.00000000,58758.00000000,881.00000000,15975.00000000,"7420.00000000	",MWh
2017-09-17,日,101474.00000000,9171.00000000,9269.00000000,58758.00000000,881.00000000,15975.00000000,"7420.00000000	",MWh
2017-09-18,日,101474.00000000,9171.00000000,9269.00000000,58758.00000000,881.00000000,15975.00000000,"7420.00000000	",MWh
2017-09-19,日,101474.00000000,9171.00000000,9269.00000000,58758.00000000,881.00000000,15975.00000000,"7420.00000000	",MWh
2017-09-20,日,101474.00000000,9171.00000000,9269.00000000,58758.00000000,881.00000000,15975.00000000,"7420.00000000	",MWh
2017-09-21,日,101470.00000000,9171.00000000,9269.00000000,58758.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-09-22,日,101470.00000000,9171.00000000,9269.00000000,58758.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-09-23,日,101470.00000000,9171.00000000,9269.00000000,58758.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-09-24,日,101470.00000000,9171.00000000,9269.00000000,58758.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-09-25,日,101470.00000000,9171.00000000,9269.00000000,58758.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-09-26,日,101470.00000000,9171.00000000,9269.00000000,58758.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-09-27,日,101470.00000000,9171.00000000,9269.00000000,58758.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-09-28,日,101470.00000000,9171.00000000,9269.00000000,58758.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
