德宏,指标单位,时间,韶关,云南电网,云南,大鹏,河池,迪庆,普洱,云浮,曲靖,河源,揭阳,西双版纳,丽江,凯里,汕尾,桂林,保山,红河,罗湖,汕头,百色,瑞丽,大理,昆明,昌江,怒江,屯昌,贵州电网,贵州,来宾,龙华,阳江,坪山,广东电网,广东,三沙,白沙,公司总部,昭通,楚雄,广州,龙岗,佛山,文山,玉林,乐东,五指山,定安,清远,临沧,贺州,贵阳,铜仁,都匀,南方电网,南网,安顺,兴义,六盘水,贵安,毕节,贵港,南宁,东方,防城港,中山,东莞,广西电网,广西,海南电网,海南,琼海,珠海,文昌,盐田,湛江,临高,柳州,陵水,深圳,琼中,万宁,梅州,江门,福田,遵义,肇庆,崇左,北海,潮州,钦州,惠州,三亚,梧州,玉溪,南山,澄迈,海口,保亭,茂名,光明,儋州,深汕特别合作区,宝安
,台,2021-04,,907.0,907.0,,28.0,8.0,,,40.0,,,48.0,,197.0,,21.0,,,,,32.0,,44.0,,,,,1450.0,1450.0,,,,,10446,10446,,,16727,,,1371.0,,,,,,,,262.0,22.0,,,59.0,,16727,16727,,,,,,61.0,497.0,,,708.0,,1154.0,1154.0,,,,1973.0,,,,,398.0,,,,,308.0,,,,,,,,,,,22.0,,,,,,,,,,
,台,2021-05,,922.0,922.0,,,12.0,,239.0,,349.0,,52.0,,241.0,172.0,,,,,,,3.0,48.0,,,,,1528.0,1528.0,,523.0,,,10491,10491,,,16933,,,1374.0,,,,,,,,,,,319.0,,132.0,16933,16933,,,130.0,,,,521.0,,,,,1178.0,1178.0,,,,1991.0,,,,,,,2358.0,,,,,,,,,,,,,,,,,,,,,,,,538.0
,台,2021-06,,,,,,,,240.0,,,,,,,200.0,,,,,,,,,,,,,1562.0,1562.0,,,318.0,,10821,10821,,,17397,,,1390.0,,1199.0,,15.0,,,,266.0,,15.0,,,,17397,17397,,,140.0,,,,,,,,,1278.0,1278.0,,,,2011.0,,,,,460.0,,,,,399.0,,,187.0,,29.0,,,,,,,,,,,,,,,,
,台,2021-07,,962.0,962.0,,32.0,34.0,,242.0,,351.0,,,39.0,261.0,,,,,,,,,,60.0,,,,1628.0,1628.0,,,323.0,,10963,10963,,,17812,,129.0,1410.0,,1278.0,,43.0,,,,,,,,,,17812,17812,,,,,206.0,,535.0,,,,886.0,1442.0,1442.0,459.0,459.0,,2023.0,41.0,,,,578.0,,,51.0,,,,,221.0,,,,,,554.0,,,,,,,,,,,,
,台,2021-08,229.0,1019.0,1019.0,,,50.0,,247.0,,,,,52.0,269.0,207.0,27.0,,,,,39.0,,50.0,82.0,,,,1720.0,1720.0,28.0,,325.0,,11086,11086,,,18168,,,1450.0,,1322.0,15.0,,,,,,,19.0,,,144.0,18168,18168,233.0,,,,,63.0,567.0,,26.0,,895.0,1526.0,1526.0,,,,2038.0,,,,,581.0,,,,,,,,239.0,,31.0,,,,,,34.0,,,,,,,,,,
,台,2021-09,242.0,1073.0,1073.0,,43.0,66.0,,255.0,42.0,360.0,,,76.0,287.0,209.0,,,,46.0,,49.0,,,86.0,,,,1790.0,1790.0,,571.0,337.0,,11255,11255,,,18583,,,,,1366.0,23.0,49.0,,,,,,22.0,329.0,,,18583,18583,,,152.0,,226.0,,593.0,,,,919.0,1591.0,1591.0,,,,,,,330.0,,,,2415.0,,,405.0,513.0,,249.0,,,,,,,,43.0,,,,,,,,,,
,台,2021-10,252.0,1118.0,1118.0,,51.0,72.0,,,,362.0,,,,299.0,215.0,,,,,,69.0,,55.0,120.0,,,,1830.0,1830.0,32.0,,359.0,,11464,11464,,,18990,,,1484.0,,1448.0,,52.0,,,,,,,357.0,,,18990,18990,,,,,,67.0,633.0,,28.0,746.0,,1704.0,1704.0,,,,,,,339.0,,,,,,,,,,,,33.0,16.0,,50.0,560.0,,,,,,,,,,,,
,台,2021-11,264.0,1188.0,1188.0,,53.0,,,261.0,,374.0,168.0,54.0,84.0,,224.0,35.0,26.0,,48.0,205.0,76.0,,,130.0,,,,1836.0,1836.0,48.0,576.0,362.0,,12325,12325,,,20144,28.0,,1528.0,308.0,1497.0,,92.0,,,,274.0,26.0,27.0,363.0,,,20144,20144,,,,,,91.0,657.0,,54.0,851.0,1021.0,1906.0,1906.0,465.0,465.0,,2049.0,,,369.0,,,,2424.0,,,406.0,564.0,,,763.0,47.0,22.0,296.0,80.0,626.0,,,,,,127.0,,223.0,,,,
14.0,台,2021-12,370.0,3266.0,3266.0,,193.0,78.0,261.0,348.0,162.0,533.0,278.0,374.0,232.0,329.0,308.0,71.0,,164.0,,344.0,197.0,,304.0,397.0,,16.0,30.0,2270.0,2270.0,186.0,,403.0,,16676,16676,,,28533,350.0,177.0,2472.0,,1616.0,,171.0,,,,417.0,67.0,76.0,437.0,115.0,236.0,28533,28533,245.0,207.0,,,236.0,186.0,814.0,,141.0,1290.0,1772.0,3352.0,3352.0,467.0,467.0,,2173.0,42.0,,447.0,,714.0,,2502.0,,,408.0,694.0,,313.0,834.0,134.0,119.0,361.0,169.0,1330.0,,181.0,618.0,,,,,278.0,382.0,,,600.0
,台,2022-01,412.0,3322.0,3322.0,,,,,366.0,,541.0,,,,,328.0,94.0,,,,,222.0,,320.0,421.0,,,,2282.0,2282.0,188.0,,411.0,,16924,16924,,,29170,366.0,,2522.0,,,,,,2.0,,,,82.0,439.0,,246.0,29170,29170,,,,,,199.0,869.0,,,1293.0,,3626.0,3626.0,514.0,514.0,,2183.0,,,463.0,,765.0,,,,,450.0,713.0,,,,136.0,139.0,,201.0,1342.0,,226.0,,,,166.0,,,,26.0,,
