时间,时间维度,南方电网,广东,广西,云南,海南,贵州,指标单位
"2017-04-22	",日,"492528.00000000	","445092.00000000	","47436.00000000	","278708.00000000	","0.00000000	","97470.00000000	","MWh	"
"2017-07-29	",日,"848765.00000000	","736545.00000000	","112220.00000000	","515094.00000000	","0.00000000	","171427.00000000	","MWh	"
"2017-07-31	",日,"795040.00000000	","680259.00000000	","114781.00000000	","467672.00000000	","0.00000000	","163940.00000000	","MWh	"
"2017-08-01	",日,"820683.00000000	","706268.00000000	","114415.00000000	","497968.00000000	","0.00000000	","176705.00000000	","MWh	"
"2017-08-02	",日,"836988.00000000	","722719.00000000	","114269.00000000	","523847.00000000	","0.00000000	","170640.00000000	","MWh	"
"2017-08-03	",日,"835156.00000000	","720338.00000000	","114818.00000000	","525526.00000000	","0.00000000	","161574.00000000	","MWh	"
"2017-08-04	",日,"840253.00000000	","726500.00000000	","113753.00000000	","530600.00000000	","0.00000000	","160563.00000000	","MWh	"
"2017-08-05	",日,"827173.00000000	","714484.00000000	","112689.00000000	","519670.00000000	","0.00000000	","163878.00000000	","MWh	"
"2017-08-06	",日,"823498.00000000	","713175.00000000	","110323.00000000	","518066.00000000	","0.00000000	","161645.00000000	","MWh	"
"2017-08-07	",日,"821674.00000000	","708692.00000000	","112982.00000000	","508428.00000000	","0.00000000	","163675.00000000	","MWh	"
"2017-08-08	",日,"890288.00000000	","775973.00000000	","114315.00000000	","571157.00000000	","0.00000000	","165729.00000000	","MWh	"
"2017-08-09	",日,"889983.00000000	","775702.00000000	","114281.00000000	","573976.00000000	","0.00000000	","166163.00000000	","MWh	"
"2017-08-10	",日,"886358.00000000	","770874.00000000	","115484.00000000	","567787.00000000	","0.00000000	","165994.00000000	","MWh	"
"2017-08-11	",日,"882142.00000000	","759355.00000000	","122787.00000000	","548866.00000000	","0.00000000	","166001.00000000	","MWh	"
"2017-08-12	",日,"892181.00000000	","769110.00000000	","123071.00000000	","557896.00000000	","0.00000000	","167527.00000000	","MWh	"
"2017-08-13	",日,"858973.00000000	","739626.00000000	","119347.00000000	","539486.00000000	","0.00000000	","165942.00000000	","MWh	"
"2017-08-14	",日,"868896.00000000	","746635.00000000	","122261.00000000	","537433.00000000	","0.00000000	","165957.00000000	","MWh	"
"2017-08-15	",日,"889870.00000000	","767718.00000000	","122152.00000000	","559268.00000000	","0.00000000	","165341.00000000	","MWh	"
"2017-08-16	",日,"870598.00000000	","760480.00000000	","110118.00000000	","550347.00000000	","0.00000000	","165875.00000000	","MWh	"
"2017-08-17	",日,"869013.00000000	","758590.00000000	","110423.00000000	","545463.00000000	","0.00000000	","166306.00000000	","MWh	"
"2017-08-18	",日,"864671.00000000	","753559.00000000	","111112.00000000	","543413.00000000	","0.00000000	","166216.00000000	","MWh	"
"2017-08-19	",日,"877828.00000000	","759967.00000000	","117861.00000000	","559681.00000000	","0.00000000	","166127.00000000	","MWh	"
"2017-08-20	",日,"844666.00000000	","728280.00000000	","116386.00000000	","523288.00000000	","0.00000000	","166209.00000000	","MWh	"
"2017-08-21	",日,"863523.00000000	","745804.00000000	","117719.00000000	","539731.00000000	","0.00000000	","166081.00000000	","MWh	"
"2017-08-22	",日,"904036.00000000	","786655.00000000	","117381.00000000	","573979.00000000	","0.00000000	","167539.00000000	","MWh	"
"2017-08-23	",日,"677313.00000000	","563583.00000000	","113730.00000000	","369053.00000000	","0.00000000	","130467.00000000	","MWh	"
"2017-08-24	",日,"715757.00000000	","610480.00000000	","105277.00000000	","398903.00000000	","0.00000000	","152235.00000000	","MWh	"
"2017-08-25	",日,"786582.00000000	","667140.00000000	","119442.00000000	","455714.00000000	","0.00000000	","167641.00000000	","MWh	"
"2017-08-26	",日,"793706.00000000	","675087.00000000	","118619.00000000	","462882.00000000	","0.00000000	","167500.00000000	","MWh	"
"2017-08-27	",日,"629450.00000000	","509639.00000000	","119811.00000000	","330040.00000000	","0.00000000	","122518.00000000	","MWh	"
"2017-08-28	",日,"655921.00000000	","541780.00000000	","114141.00000000	","367515.00000000	","0.00000000	","125137.00000000	","MWh	"
"2017-08-29	",日,"787711.00000000	","666933.00000000	","120778.00000000	","453329.00000000	","0.00000000	","166165.00000000	","MWh	"
"2017-08-30	",日,"818576.00000000	","696748.00000000	","121828.00000000	","474534.00000000	","0.00000000	","163883.00000000	","MWh	"
"2017-08-31	",日,"834306.00000000	","708731.00000000	","125575.00000000	","497171.00000000	","0.00000000	","156393.00000000	","MWh	"
"2017-09-01	",日,"839317.00000000	","720950.00000000	","118367.00000000	","488304.00000000	","0.00000000	","167915.00000000	","MWh	"
"2017-09-02	",日,"705018.00000000	","601073.00000000	","103945.00000000	","397534.00000000	","0.00000000	","142883.00000000	","MWh	"
