时间,时间维度,南方电网,广东,广西,云南,海南,贵州,指标单位
2017-04-22,日,51404.00000000,19057.00000000,8070.00000000,15429.00000000,2994.00000000,5854.00000000,MWh
2017-07-29,日,25018.00000000,13482.00000000,4582.00000000,2795.00000000,639.00000000,3520.00000000,MWh
2017-07-31,日,41046.00000000,19953.00000000,1417.00000000,15157.00000000,1697.00000000,2822.00000000,MWh
2017-08-01,日,21834.00000000,1353.00000000,1027.00000000,12777.00000000,1782.00000000,4895.00000000,MWh
2017-08-02,日,21503.00000000,8923.00000000,1525.00000000,6539.00000000,1947.00000000,2569.00000000,MWh
2017-08-03,日,20335.00000000,5712.00000000,2224.00000000,6361.00000000,2074.00000000,3964.00000000,MWh
2017-08-04,日,32180.00000000,5198.00000000,2758.00000000,14857.00000000,1692.00000000,7675.00000000,MWh
2017-08-05,日,42506.00000000,6642.00000000,2770.00000000,30813.00000000,1432.00000000,849.00000000,MWh
2017-08-06,日,35769.00000000,6798.00000000,3894.00000000,13732.00000000,1100.00000000,10245.00000000,MWh
2017-08-07,日,68629.00000000,10349.00000000,6635.00000000,26394.00000000,1698.00000000,23553.00000000,MWh
2017-08-08,日,97874.00000000,16876.00000000,9188.00000000,48363.00000000,2801.00000000,20646.00000000,MWh
2017-08-09,日,54905.00000000,21332.00000000,9401.00000000,13392.00000000,2779.00000000,8001.00000000,MWh
2017-08-10,日,42697.00000000,16696.00000000,6223.00000000,14179.00000000,2569.00000000,3030.00000000,MWh
2017-08-11,日,80520.00000000,15130.00000000,9324.00000000,42840.00000000,2038.00000000,11188.00000000,MWh
2017-08-12,日,115517.00000000,19245.00000000,13625.00000000,66911.00000000,2245.00000000,13491.00000000,MWh
2017-08-13,日,81524.00000000,17107.00000000,12260.00000000,45839.00000000,2290.00000000,4028.00000000,MWh
2017-08-14,日,50119.00000000,13305.00000000,7074.00000000,27589.00000000,2151.00000000,0.00000000,MWh
2017-08-15,日,40106.00000000,11260.00000000,6182.00000000,15889.00000000,1744.00000000,5031.00000000,MWh
2017-08-16,日,37521.00000000,8712.00000000,4768.00000000,14718.00000000,706.00000000,8617.00000000,MWh
2017-08-17,日,41808.00000000,5983.00000000,3648.00000000,12288.00000000,391.00000000,19498.00000000,MWh
2017-08-18,日,71185.00000000,3779.00000000,4321.00000000,34109.00000000,296.00000000,28680.00000000,MWh
2017-08-19,日,87385.00000000,3297.00000000,6187.00000000,39230.00000000,383.00000000,38288.00000000,MWh
2017-08-20,日,77143.00000000,5259.00000000,4560.00000000,36208.00000000,110.00000000,31006.00000000,MWh
2017-08-21,日,59193.00000000,4237.00000000,1422.00000000,30888.00000000,183.00000000,22463.00000000,MWh
2017-08-22,日,60261.00000000,17010.00000000,2096.00000000,28065.00000000,471.00000000,12619.00000000,MWh
2017-08-23,日,78605.00000000,29730.00000000,11784.00000000,17228.00000000,721.00000000,19142.00000000,MWh
2017-08-24,日,117690.00000000,19581.00000000,7293.00000000,52361.00000000,1872.00000000,36583.00000000,MWh
2017-08-25,日,96174.00000000,11340.00000000,1624.00000000,63432.00000000,600.00000000,19178.00000000,MWh
2017-08-26,日,59814.00000000,16344.00000000,4536.00000000,28007.00000000,1025.00000000,9902.00000000,MWh
2017-08-27,日,51743.00000000,24067.00000000,10614.00000000,5512.00000000,475.00000000,11075.00000000,MWh
2017-08-28,日,41781.00000000,12548.00000000,2796.00000000,10003.00000000,374.00000000,16060.00000000,MWh
2017-08-29,日,43637.00000000,9714.00000000,2065.00000000,18962.00000000,626.00000000,12270.00000000,MWh
2017-08-30,日,32374.00000000,4452.00000000,1574.00000000,16436.00000000,316.00000000,9596.00000000,MWh
2017-08-31,日,31978.00000000,6768.00000000,2845.00000000,9539.00000000,2731.00000000,10095.00000000,MWh
2017-09-01,日,62954.00000000,4569.00000000,1893.00000000,33843.00000000,173.00000000,22476.00000000,MWh
2017-09-02,日,59515.00000000,11362.00000000,1229.00000000,35718.00000000,955.00000000,10251.00000000,MWh
2017-09-03,日,45264.00000000,14741.00000000,827.00000000,25777.00000000,1049.00000000,2870.00000000,MWh
2017-09-04,日,65268.00000000,11536.00000000,2372.00000000,37615.00000000,515.00000000,13230.00000000,MWh
2017-09-05,日,46915.00000000,3851.00000000,1277.00000000,30494.00000000,832.00000000,10461.00000000,MWh
2017-09-06,日,40132.00000000,1826.00000000,2188.00000000,19790.00000000,444.00000000,15884.00000000,MWh
2017-09-07,日,18935.00000000,2515.00000000,2660.00000000,8029.00000000,520.00000000,5211.00000000,MWh
2017-09-08,日,44743.00000000,1561.00000000,432.00000000,22711.00000000,575.00000000,19464.00000000,MWh
2017-09-09,日,64449.00000000,4192.00000000,2582.00000000,32301.00000000,1424.00000000,23950.00000000,MWh
2017-09-10,日,85783.00000000,5226.00000000,5679.00000000,41923.00000000,1307.00000000,31648.00000000,MWh
2017-09-11,日,41319.00000000,3209.00000000,3585.00000000,19017.00000000,246.00000000,15262.00000000,MWh
2017-09-12,日,106148.00000000,5308.00000000,6520.00000000,4380.00000000,258.00000000,89682.00000000,MWh
2017-09-13,日,42988.00000000,16832.00000000,6828.00000000,7944.00000000,1036.00000000,10348.00000000,MWh
2017-09-14,日,68117.00000000,29019.00000000,13152.00000000,13429.00000000,4702.00000000,7815.00000000,MWh
2017-09-15,日,65921.00000000,23111.00000000,7464.00000000,25910.00000000,2829.00000000,6607.00000000,MWh
2017-09-16,日,56869.00000000,9401.00000000,2301.00000000,35400.00000000,617.00000000,9150.00000000,MWh
2017-09-17,日,39727.00000000,4264.00000000,818.00000000,18430.00000000,135.00000000,16080.00000000,MWh
2017-09-18,日,82553.00000000,4524.00000000,1583.00000000,50834.00000000,93.00000000,25519.00000000,MWh
2017-09-19,日,80803.00000000,7358.00000000,6677.00000000,50025.00000000,395.00000000,16348.00000000,MWh
2017-09-20,日,51865.00000000,3223.00000000,2463.00000000,32997.00000000,116.00000000,13066.00000000,MWh
2017-09-21,日,22580.00000000,2050.00000000,2287.00000000,16769.00000000,164.00000000,1310.00000000,MWh
2017-09-22,日,40404.00000000,5149.00000000,1487.00000000,25445.00000000,154.00000000,8169.00000000,MWh
2017-09-23,日,79563.00000000,9367.00000000,1418.00000000,35505.00000000,273.00000000,33000.00000000,MWh
2017-09-24,日,120989.00000000,23206.00000000,3197.00000000,53937.00000000,1158.00000000,39491.00000000,MWh
2017-09-25,日,82331.00000000,21557.00000000,5574.00000000,25685.00000000,2192.00000000,27323.00000000,MWh
2017-09-26,日,61957.00000000,5255.00000000,4725.00000000,18650.00000000,467.00000000,32860.00000000,MWh
2017-09-27,日,55453.00000000,1693.00000000,1236.00000000,26466.00000000,170.00000000,25888.00000000,MWh
2017-09-28,日,47817.00000000,2767.00000000,4750.00000000,25187.00000000,150.00000000,14963.00000000,MWh
2017-09-29,日,87134.00000000,12890.00000000,4234.00000000,45342.00000000,289.00000000,24379.00000000,MWh
2017-09-30,日,125007.00000000,15885.00000000,5532.00000000,58869.00000000,200.00000000,44521.00000000,MWh
2017-10-01,日,122352.00000000,11751.00000000,6463.00000000,63901.00000000,338.00000000,39899.00000000,MWh
2017-10-02,日,50462.00000000,8621.00000000,2098.00000000,22338.00000000,453.00000000,16952.00000000,MWh
2017-10-03,日,64602.00000000,9966.00000000,2940.00000000,23449.00000000,629.00000000,27618.00000000,MWh
2017-10-04,日,75456.00000000,22763.00000000,6284.00000000,22795.00000000,805.00000000,22809.00000000,MWh
2017-10-05,日,93512.00000000,21014.00000000,3839.00000000,34141.00000000,841.00000000,33677.00000000,MWh
2017-10-06,日,86932.00000000,23323.00000000,5318.00000000,27406.00000000,1106.00000000,29779.00000000,MWh
2017-10-07,日,98690.00000000,28906.00000000,3553.00000000,30122.00000000,1249.00000000,34860.00000000,MWh
2017-10-08,日,93287.00000000,24608.00000000,5759.00000000,24991.00000000,1286.00000000,36643.00000000,MWh
2017-10-09,日,85543.00000000,33449.00000000,9160.00000000,15287.00000000,2971.00000000,24676.00000000,MWh
2017-10-10,日,92682.00000000,33918.00000000,10499.00000000,32199.00000000,1793.00000000,14273.00000000,MWh
2017-10-11,日,90898.00000000,23392.00000000,12717.00000000,34311.00000000,1195.00000000,19283.00000000,MWh
2017-10-12,日,78190.00000000,18463.00000000,15523.00000000,21074.00000000,716.00000000,22414.00000000,MWh
2017-10-13,日,92136.00000000,25243.00000000,16794.00000000,36437.00000000,1657.00000000,12005.00000000,MWh
2017-10-14,日,92013.00000000,33576.00000000,21601.00000000,20935.00000000,2243.00000000,13658.00000000,MWh
2017-10-15,日,121584.00000000,48174.00000000,23976.00000000,19787.00000000,3618.00000000,26029.00000000,MWh
2017-10-16,日,137876.00000000,34836.00000000,24332.00000000,36078.00000000,1951.00000000,40679.00000000,MWh
2017-10-17,日,96564.00000000,34323.00000000,19582.00000000,22232.00000000,1513.00000000,18914.00000000,MWh
2017-10-18,日,55264.00000000,22710.00000000,12534.00000000,9315.00000000,2448.00000000,8257.00000000,MWh
2017-10-19,日,55457.00000000,22079.00000000,9746.00000000,15751.00000000,2185.00000000,5696.00000000,MWh
2017-10-20,日,82660.00000000,19274.00000000,10302.00000000,43919.00000000,1289.00000000,7876.00000000,MWh
2017-10-21,日,92606.00000000,21488.00000000,14447.00000000,44648.00000000,1497.00000000,10526.00000000,MWh
2017-10-22,日,94409.00000000,17147.00000000,14765.00000000,42434.00000000,1224.00000000,18839.00000000,MWh
2017-10-23,日,83046.00000000,19530.00000000,12968.00000000,35059.00000000,1294.00000000,14195.00000000,MWh
2017-10-24,日,95236.00000000,19392.00000000,5763.00000000,45690.00000000,1386.00000000,23005.00000000,MWh
2017-10-25,日,86358.00000000,14793.00000000,1303.00000000,49455.00000000,1084.00000000,19723.00000000,MWh
2017-10-26,日,39885.00000000,7760.00000000,3825.00000000,22712.00000000,900.00000000,4688.00000000,MWh
2017-10-27,日,27465.00000000,6637.00000000,5011.00000000,10470.00000000,580.00000000,4767.00000000,MWh
2017-10-28,日,35786.00000000,8085.00000000,8804.00000000,8686.00000000,400.00000000,9811.00000000,MWh
2017-10-29,日,84752.00000000,27118.00000000,20374.00000000,15806.00000000,1767.00000000,19687.00000000,MWh
2017-10-30,日,96184.00000000,37914.00000000,18137.00000000,22002.00000000,3507.00000000,14624.00000000,MWh
2017-10-31,日,67465.00000000,25315.00000000,5563.00000000,18284.00000000,2806.00000000,15497.00000000,MWh
2017-11-01,日,44790.00000000,12837.00000000,1244.00000000,23544.00000000,2766.00000000,4399.00000000,MWh
2017-11-02,日,39931.00000000,10224.00000000,5787.00000000,12023.00000000,1280.00000000,10617.00000000,MWh
2017-11-03,日,127913.00000000,27675.00000000,19586.00000000,51732.00000000,2871.00000000,26049.00000000,MWh
2017-11-04,日,134073.00000000,42495.00000000,20569.00000000,47585.00000000,4553.00000000,18871.00000000,MWh
2017-11-05,日,67049.00000000,30492.00000000,9216.00000000,12185.00000000,3025.00000000,12131.00000000,MWh
2017-11-06,日,52205.00000000,23000.00000000,3955.00000000,10805.00000000,3123.00000000,11322.00000000,MWh
2017-11-07,日,54951.00000000,27756.00000000,7311.00000000,9783.00000000,3877.00000000,6224.00000000,MWh
2017-11-08,日,65746.00000000,26605.00000000,8885.00000000,14946.00000000,2428.00000000,12882.00000000,MWh
2017-11-09,日,108373.00000000,26488.00000000,2333.00000000,46953.00000000,1745.00000000,30854.00000000,MWh
2017-11-10,日,69353.00000000,10952.00000000,3826.00000000,44451.00000000,1083.00000000,9041.00000000,MWh
2017-11-11,日,105379.00000000,20020.00000000,6948.00000000,56686.00000000,953.00000000,20772.00000000,MWh
2017-11-12,日,58835.00000000,25221.00000000,4622.00000000,6143.00000000,1880.00000000,20969.00000000,MWh
2017-11-13,日,110862.00000000,24396.00000000,3789.00000000,73794.00000000,2742.00000000,6141.00000000,MWh
2017-11-14,日,89129.00000000,16991.00000000,6535.00000000,59643.00000000,1096.00000000,4864.00000000,MWh
2017-11-15,日,118924.00000000,17307.00000000,5529.00000000,71904.00000000,553.00000000,23631.00000000,MWh
2017-11-16,日,179488.00000000,17454.00000000,8647.00000000,119002.00000000,243.00000000,34142.00000000,MWh
2017-11-17,日,147292.00000000,11587.00000000,10202.00000000,105722.00000000,706.00000000,19075.00000000,MWh
2017-11-18,日,107016.00000000,19464.00000000,22983.00000000,38864.00000000,1437.00000000,24268.00000000,MWh
2017-11-19,日,161632.00000000,35677.00000000,14850.00000000,89350.00000000,3021.00000000,18734.00000000,MWh
2017-11-20,日,134234.00000000,30418.00000000,16157.00000000,72096.00000000,4258.00000000,11305.00000000,MWh
2017-11-21,日,143493.00000000,20601.00000000,8756.00000000,103631.00000000,3553.00000000,6952.00000000,MWh
2017-11-22,日,132064.00000000,24340.00000000,19993.00000000,71711.00000000,3867.00000000,12153.00000000,MWh
2017-11-23,日,118099.00000000,31692.00000000,19199.00000000,52379.00000000,4256.00000000,10573.00000000,MWh
2017-11-24,日,70608.00000000,28557.00000000,9519.00000000,24894.00000000,3839.00000000,3799.00000000,MWh
2017-11-25,日,63138.00000000,18318.00000000,4735.00000000,32731.00000000,3112.00000000,4242.00000000,MWh
2017-11-26,日,74017.00000000,13675.00000000,6221.00000000,37651.00000000,2856.00000000,13614.00000000,MWh
2017-11-27,日,166035.00000000,16683.00000000,6776.00000000,101820.00000000,820.00000000,39936.00000000,MWh
2017-11-28,日,125675.00000000,17930.00000000,3904.00000000,88707.00000000,1724.00000000,13410.00000000,MWh
2017-11-29,日,124736.00000000,14560.00000000,4322.00000000,84830.00000000,1125.00000000,19899.00000000,MWh
2017-11-30,日,94652.00000000,21207.00000000,14469.00000000,42867.00000000,1280.00000000,14829.00000000,MWh
2017-12-01,日,115910.00000000,27678.00000000,14655.00000000,61472.00000000,3195.00000000,8910.00000000,MWh
2017-12-02,日,125745.00000000,22629.00000000,5594.00000000,81828.00000000,2651.00000000,13043.00000000,MWh
2017-12-03,日,94807.00000000,14579.00000000,4788.00000000,62639.00000000,1979.00000000,10822.00000000,MWh
