时间,时间维度,南方电网,广东,广西,云南,海南,贵州,指标单位
2017-04-22,日,14011.00000000,3293.00000000,716.00000000,6143.00000000,337.00000000,3522.00000000,MWh
2017-07-29,日,14372.00000000,3293.00000000,1029.00000000,6143.00000000,337.00000000,3570.00000000,MWh
2017-07-31,日,14372.00000000,3293.00000000,1029.00000000,6143.00000000,337.00000000,3570.00000000,MWh
2017-08-01,日,14372.00000000,3293.00000000,1029.00000000,6143.00000000,337.00000000,3570.00000000,MWh
2017-08-02,日,14372.00000000,3293.00000000,1029.00000000,6143.00000000,337.00000000,3570.00000000,MWh
2017-08-03,日,14372.00000000,3293.00000000,1029.00000000,6143.00000000,337.00000000,3570.00000000,MWh
2017-08-04,日,14372.00000000,3293.00000000,1029.00000000,6143.00000000,337.00000000,3570.00000000,MWh
2017-08-05,日,14372.00000000,3293.00000000,1029.00000000,6143.00000000,337.00000000,3570.00000000,MWh
2017-08-06,日,14372.00000000,3293.00000000,1029.00000000,6143.00000000,337.00000000,3570.00000000,MWh
2017-08-07,日,14372.00000000,3293.00000000,1029.00000000,6143.00000000,337.00000000,3570.00000000,MWh
2017-08-08,日,12559.00000000,1480.00000000,1029.00000000,6143.00000000,337.00000000,3570.00000000,MWh
2017-08-09,日,12559.00000000,1480.00000000,1029.00000000,6143.00000000,337.00000000,3570.00000000,MWh
2017-08-10,日,14372.00000000,3293.00000000,1029.00000000,6143.00000000,337.00000000,3570.00000000,MWh
2017-08-11,日,14372.00000000,3293.00000000,1029.00000000,6143.00000000,337.00000000,3570.00000000,MWh
2017-08-12,日,14372.00000000,3293.00000000,1029.00000000,6143.00000000,337.00000000,3570.00000000,MWh
2017-08-13,日,14372.00000000,3293.00000000,1029.00000000,6143.00000000,337.00000000,3570.00000000,MWh
2017-08-14,日,10802.00000000,3293.00000000,1029.00000000,6143.00000000,337.00000000,0.00000000,MWh
2017-08-15,日,14372.00000000,3293.00000000,1029.00000000,6143.00000000,337.00000000,3570.00000000,MWh
2017-08-16,日,14372.00000000,3293.00000000,1029.00000000,6143.00000000,337.00000000,3570.00000000,MWh
2017-08-17,日,14372.00000000,3293.00000000,1029.00000000,6143.00000000,337.00000000,3570.00000000,MWh
2017-08-18,日,12559.00000000,1480.00000000,1029.00000000,6143.00000000,337.00000000,3570.00000000,MWh
2017-08-19,日,14372.00000000,3293.00000000,1029.00000000,6143.00000000,337.00000000,3570.00000000,MWh
2017-08-20,日,14372.00000000,3293.00000000,1029.00000000,6143.00000000,337.00000000,3570.00000000,MWh
2017-08-21,日,12559.00000000,1480.00000000,1029.00000000,6143.00000000,337.00000000,3570.00000000,MWh
2017-08-22,日,46572.00000000,3293.00000000,1029.00000000,6143.00000000,337.00000000,35770.00000000,MWh
2017-08-23,日,14372.00000000,3293.00000000,1029.00000000,6143.00000000,337.00000000,3570.00000000,MWh
2017-08-24,日,14372.00000000,3293.00000000,1029.00000000,6143.00000000,337.00000000,3570.00000000,MWh
