德宏,指标单位,时间,韶关,云南电网,云南,大鹏,河池,迪庆,普洱,云浮,曲靖,河源,揭阳,西双版纳,丽江,凯里,汕尾,桂林,保山,红河,罗湖,汕头,百色,瑞丽,大理,昆明,昌江,怒江,屯昌,贵州电网,贵州,来宾,龙华,阳江,坪山,广东电网,广东,三沙,白沙,公司总部,昭通,楚雄,广州,龙岗,佛山,文山,玉林,乐东,五指山,定安,清远,临沧,贺州,贵阳,铜仁,都匀,南方电网,南网,安顺,兴义,六盘水,贵安,毕节,贵港,南宁,东方,防城港,中山,东莞,广西电网,广西,海南电网,海南,琼海,珠海,文昌,盐田,湛江,临高,柳州,陵水,深圳,琼中,万宁,梅州,江门,福田,遵义,肇庆,崇左,北海,潮州,钦州,惠州,三亚,梧州,玉溪,南山,澄迈,海口,保亭,茂名,光明,儋州,深汕特别合作区,宝安
3966,宗,2021-04,7121,225777,225777,935,2660,2310,7837,5047,25097,7446,7325,8733,4167,6886,4818,10595,49,14329,8327,15121,2150,1035,10789,79137,896,2573,566,110972,110972,3328,8098,7252,2335,380320,380320,2.0,994,943860,20025,10399,112179,14338,39668,1620,4153,1914,289,693,11612,11493,314,44297,5893,8307,943860,943860,6924,4526,8302,651,10832,6540,31002,3466,2481,21642,35790,99172,99172,45437,45437,1613,9070,1018,1285,14283,1818,9625,1885,82182,721,1864,7802,15217,12249,14250,13837,1419,11831,3697,4981,25374,4181,2046,13051,9939,1700,15472,701,10043,2889,5588,155,11697
5785,宗,2021-05,9140,263481,263481,859,3166,2414,9783,7868,26791,9373,11634,12238,4093,14339,7853,14031,62,18633,7888,24834,3324,2368,13717,88456,1277,3227,910,137704,137704,4646,11879,11228,3465,505202,505202,2.0,1381,1217849,24380,11322,145495,17141,51890,1416,5776,3571,558,855,17237,12549,324,45478,9040,10482,1217849,1217849,10355,5557,8683,889,13656,9158,44543,4895,5007,31240,48637,138598,138598,75434,75434,2087,9948,1368,1312,19871,2610,11644,2695,97430,869,3436,9876,20038,12410,19131,15438,2230,18394,5209,7822,29486,7776,2403,15973,10915,2893,28098,939,13474,4647,9128,284,14566
5551,宗,2021-06,8562,259293,259293,968,3236,2518,10053,8860,23497,9175,11577,11681,4510,11304,7915,13801,38,15344,9726,23077,3511,3213,20967,88166,1034,4029,1219,133672,133672,5629,12174,13394,3319,522620,522620,1.0,1227,1263314,23620,10754,153194,18640,51513,1506,6298,2835,731,942,17476,10550,264,43345,7438,9736,1263314,1263314,7873,5503,10255,720,15784,11410,51048,4605,5184,30537,45149,162245,162245,80594,80594,2180,11796,1402,1445,27201,2780,18110,3943,104890,1074,4268,9203,20745,14133,21612,15952,2907,18230,5833,12774,31023,7979,3155,13251,12411,2721,30260,1219,16101,3705,10091,258,15210
6723,宗,2021-07,8811,295573,295573,1123,3907,2955,10658,8771,31642,11489,11620,11067,5716,11791,8174,18350,49,17993,8905,25626,4627,2115,27608,82713,1287,3799,990,153208,153208,6773,11002,17269,2804,562851,562851,2.0,1214,1387228,34278,12595,175125,18856,56429,1982,8266,3215,1041,1052,21088,14302,477,46765,13195,17422,1387228,1387228,9114,7385,11380,755,13993,14376,65874,5021,5094,30635,48645,194509,194509,79873,79873,3522,11548,2100,1522,22216,2480,22155,3164,101214,724,3869,10476,22544,13787,21277,16678,2694,22599,6212,10297,30196,7715,2720,16920,11936,2997,28746,1124,15117,3813,9470,505,14542
6952,宗,2021-08,8296,309441,309441,1154,4022,2790,11132,8003,31408,9744,10920,11081,4884,11753,6654,16686,43,20154,9641,19995,4714,2065,14789,110607,1314,5253,1163,157194,157194,8094,11122,9394,3376,490421,490421,3.0,1244,1326416,31619,11986,151090,17776,51627,1670,7610,3212,900,1106,17753,13959,402,49683,11132,11730,1326416,1326416,10527,8172,11883,1718,17616,12918,57688,5168,4234,27406,40349,186925,186925,80997,80997,2884,10216,2103,1483,19418,2860,25013,3976,101260,878,3331,9269,20003,14700,22812,16519,3024,20935,6031,10698,28549,7920,3090,17092,12677,3428,28998,1113,14886,3286,9254,340,13261
6908,宗,2021-09,8341,282436,282436,1083,3863,2927,10393,7378,29529,10352,9993,10843,5122,6987,9671,16706,42,18123,8465,25657,3318,2251,17378,91480,1267,4921,893,130466,130466,7974,12329,9793,3877,493238,493238,7.0,781,1279545,30039,12253,145394,21812,52556,2176,7647,3245,768,1073,13806,13688,332,47358,7333,8295,1279545,1279545,8101,5404,11419,611,15357,11774,52941,4740,4199,30706,46992,187989,187989,78474,78474,3282,9682,1832,1352,17003,2908,19951,3861,106942,794,3978,9604,18333,12474,19390,14609,2055,19647,8631,9585,27923,7829,3272,13582,10616,3021,27266,1069,12303,6212,9713,278,16832
5891,宗,2021-10,6965,246469,246469,854,2663,3457,10630,6886,28970,8512,9590,8326,4694,6215,6589,12569,37,17026,7161,17062,2550,1975,13457,81370,1925,4205,2198,118428,118428,4565,7356,9332,2242,408957,408957,1.0,1617,1082599,21877,9670,112383,14353,42837,2088,5111,3990,967,1906,12826,10879,220,46939,6108,8228,1082599,1082599,7817,4407,10010,638,13667,8447,41124,6461,3672,25605,36809,128599,128599,103505,103505,2893,9806,3284,1242,17363,5153,12992,4808,76641,1222,4344,9914,16904,10607,14190,13572,1598,16294,5182,7185,25129,7439,2501,11806,8919,3956,38122,969,11122,3201,12133,249,10910
4676,宗,2021-11,7193,289568,289568,708,3013,3601,9687,5563,35136,7446,7879,7228,5211,7138,5383,11634,49,18291,7030,15047,2300,1512,14536,105787,1240,4739,992,143566,143566,4262,7036,8042,2141,428898,428898,2.0,1082,1110654,29124,10201,130283,12769,46517,2027,4644,2502,588,903,12952,11768,268,59143,7181,8435,1110654,1110654,8317,5053,11352,702,14888,6413,35968,3997,2283,25275,45273,107327,107327,68405,68405,2116,9290,1209,1097,14401,2372,11645,4510,72890,1137,4216,8674,16555,10074,21045,12039,1372,10475,4748,4904,30681,7340,2370,13792,8372,2467,23410,714,9953,2780,7498,187,10747
4897,宗,2021-12,7124,313576,313576,758,3371,4221,9537,6121,36647,8523,9545,8393,5770,8095,7199,13005,45,17865,6836,20074,3074,1219,16507,116127,1381,5716,1030,168998,168998,4898,8528,9548,2532,458570,458570,10.0,1242,1215885,32479,11176,152504,13778,45520,3787,4976,3228,614,999,14993,12696,383,67067,9302,10318,1215885,1215885,10255,5918,13000,912,18451,7194,44048,4112,2701,23314,40220,122668,122668,74001,74001,2004,9393,1378,1224,16012,2862,13386,4474,78071,1266,4547,8321,17383,10791,25311,12821,1642,13371,5695,5264,26641,7859,2167,12614,9116,2850,24003,984,11640,3424,9030,144,11111
5144,宗,2022-01,10347,281230,281230,625,4483,3450,8965,7830,48596,8184,10168,5743,5251,13126,7290,13106,55,17576,5225,15046,3103,1034,17555,69943,1261,3314,1360,180773,180773,5795,6109,9273,1876,407343,407343,1.0,857,1116825,37320,12027,108894,10211,37451,4422,6001,2907,532,969,14499,13293,352,56390,13858,14295,1116825,1116825,12840,8202,14990,878,24142,10115,37504,3930,2182,19782,34404,119595,119595,66452,66452,2349,8241,1293,1110,18011,3482,12976,3809,61432,917,4236,14781,14700,8428,21704,17099,1721,10403,6352,6513,24141,5120,2446,15916,7410,2950,21648,765,15197,2649,7982,129,8571
