德宏,指标单位,时间,韶关,云南电网,云南,大鹏,河池,迪庆,普洱,云浮,曲靖,河源,揭阳,西双版纳,丽江,凯里,汕尾,桂林,保山,红河,罗湖,汕头,百色,瑞丽,大理,昆明,昌江,怒江,屯昌,贵州电网,贵州,来宾,龙华,阳江,坪山,广东电网,广东,三沙,白沙,公司总部,昭通,楚雄,广州,龙岗,佛山,文山,玉林,乐东,五指山,定安,清远,临沧,贺州,贵阳,铜仁,都匀,南方电网,南网,安顺,兴义,六盘水,贵安,毕节,贵港,南宁,东方,防城港,中山,东莞,广西电网,广西,海南电网,海南,琼海,珠海,文昌,盐田,湛江,临高,柳州,陵水,深圳,琼中,万宁,梅州,江门,福田,遵义,肇庆,崇左,北海,潮州,钦州,惠州,三亚,梧州,玉溪,南山,澄迈,海口,保亭,茂名,光明,儋州,深汕特别合作区,宝安
94.646,%,2021-04,89.928,89.186,89.186,96.053,95.85799999999999,90.736,89.68299999999999,89.67200000000001,94.76,88.66,91.191,92.131,90.561,96.88799999999999,99.54700000000001,88.76299999999999,100.0,90.119,94.681,98.0,98.044,80.46,93.844,87.986,100.0,75.038,94.796,93.87700000000001,93.87700000000001,97.54,72.318,72.388,82.02799999999999,89.90299999999999,89.90299999999999,,100.0,89.34200000000001,94.074,94.59700000000001,89.488,93.554,89.493,82.738,84.041,86.337,98.182,78.197,94.205,74.345,100.0,89.74600000000001,99.35799999999999,94.811,89.342,89.34200000000001,96.241,90.822,96.69,94.286,94.728,85.985,60.418,99.44200000000001,96.603,87.369,87.56700000000001,84.801,84.801,82.235,82.235,91.806,94.536,98.376,97.531,76.363,71.831,89.12,30.784000000000002,91.25399999999999,100.0,95.988,91.439,92.287,96.324,90.47399999999999,95.545,91.06,82.15899999999999,91.53,94.855,96.73100000000001,69.85300000000001,65.0,87.09899999999999,90.179,64.555,81.242,88.444,93.867,100.0,72.82300000000001,95.105,96.705
90.65799999999999,%,2021-05,88.744,90.29899999999999,90.29899999999999,92.958,94.85700000000001,88.04,89.695,85.574,96.89299999999999,84.741,90.37200000000001,91.667,95.069,97.90100000000001,98.714,87.62299999999999,,91.896,96.117,96.73,98.476,87.135,95.176,90.10799999999999,100.0,80.861,92.152,94.367,94.367,94.789,77.6,71.337,90.291,86.73,86.73,100.0,100.0,87.086,87.37899999999999,94.367,85.854,90.57799999999999,88.336,88.281,89.016,89.296,91.346,76.41199999999999,93.419,77.043,50.0,90.071,98.919,95.12700000000001,87.086,87.086,96.156,93.84,96.416,96.667,94.27600000000001,82.958,58.638999999999996,96.322,97.79799999999999,76.668,82.802,82.958,82.958,75.173,75.173,86.12200000000001,94.729,94.145,100.0,67.601,44.66,88.287,43.218,88.021,100.0,91.985,90.963,90.574,93.069,90.281,96.51299999999999,80.068,74.211,89.04799999999999,96.86200000000001,96.48200000000001,61.257,57.143,91.544,87.552,61.527,62.821000000000005,83.95700000000001,91.867,100.0,55.416000000000004,78.76100000000001,83.439
88.705,%,2021-06,83.38,87.82600000000001,87.82600000000001,96.774,95.41799999999999,92.85700000000001,76.516,85.905,95.057,82.493,90.834,92.105,96.46600000000001,97.495,98.734,85.704,,88.98700000000001,90.506,95.66,96.456,89.035,94.521,82.891,100.0,76.359,92.37700000000001,95.325,95.325,98.81700000000001,71.883,72.355,89.49600000000001,86.52600000000001,86.52600000000001,100.0,100.0,86.462,88.95700000000001,94.59100000000001,83.945,84.615,89.395,77.16,82.62899999999999,88.335,97.087,77.994,90.63799999999999,76.0,,91.501,99.28,94.775,86.462,86.462,97.649,91.402,97.81200000000001,100.0,96.242,79.952,60.751000000000005,93.29899999999999,96.39200000000001,82.449,80.627,81.875,81.875,72.428,72.428,77.972,94.539,97.705,87.234,73.7,51.858000000000004,88.964,35.409,84.794,100.0,92.235,88.23899999999999,87.667,87.288,92.818,97.039,85.816,72.732,85.229,94.82600000000001,94.461,45.38399999999999,63.801,89.50200000000001,86.105,60.051,67.07300000000001,84.539,92.17299999999999,99.038,52.065,76.97800000000001,85.459
89.50299999999999,%,2021-07,79.62,91.945,91.945,87.736,95.87,94.98100000000001,89.24799999999999,81.525,97.715,86.303,91.729,95.07700000000001,91.925,96.59200000000001,98.561,84.704,,89.561,87.5,92.155,97.367,96.61,97.272,87.242,99.27,86.553,81.846,95.85700000000001,95.85700000000001,98.825,79.373,67.497,93.156,84.863,84.863,80.0,99.20299999999999,86.335,96.045,94.883,85.64399999999999,88.97399999999999,86.24799999999999,83.639,86.84100000000001,86.321,93.86,74.86,89.291,83.81,100.0,88.023,99.15700000000001,95.59299999999999,86.335,86.335,98.539,94.542,98.99799999999999,100.0,97.243,85.367,55.548,91.774,97.413,77.72800000000001,79.825,82.49600000000001,82.49600000000001,71.851,71.851,73.78399999999999,93.571,97.26899999999999,88.75,78.169,52.098,87.005,39.398,87.709,98.936,90.645,77.51100000000001,88.973,84.375,94.67299999999999,95.0,80.529,74.078,80.05,95.37899999999999,90.765,48.352,45.418,89.469,92.334,57.125,64.615,76.758,88.758,100.0,57.321999999999996,82.581,88.073
95.021,%,2021-08,81.185,89.735,89.735,95.699,94.00399999999999,91.429,89.904,81.303,96.736,88.12799999999999,89.904,93.223,91.5,97.68799999999999,98.573,87.35700000000001,,93.291,92.727,93.90100000000001,96.626,85.821,93.149,85.935,100.0,81.818,81.119,96.275,96.275,97.17200000000001,75.335,71.75,95.652,84.45700000000001,84.45700000000001,100.0,95.455,86.07,86.0,94.719,84.065,87.51700000000001,85.92200000000001,84.291,85.109,89.50299999999999,95.699,63.858000000000004,89.428,81.12100000000001,,89.62899999999999,99.777,96.52600000000001,86.070,86.07,98.98899999999999,93.262,99.32,100.0,98.76100000000001,87.949,59.3,91.844,96.603,79.053,77.517,82.305,82.305,73.315,73.315,70.809,93.679,93.961,91.525,76.711,67.333,87.015,50.593999999999994,87.454,99.47399999999999,91.9,71.76899999999999,87.12299999999999,93.40700000000001,92.932,96.044,81.501,72.497,83.28200000000001,95.48299999999999,91.396,49.367,49.794,93.193,92.245,58.523,62.346000000000004,81.679,89.64,100.0,54.041000000000004,74.79,81.729
96.322,%,2021-09,87.676,89.557,89.557,93.26899999999999,91.874,97.214,93.12,81.685,98.57799999999999,88.103,91.835,94.54899999999999,88.319,98.92399999999999,97.934,88.434,,95.35,96.45,95.56,94.992,83.52,93.44,88.647,98.26799999999999,68.009,78.431,96.98100000000001,96.98100000000001,98.311,84.615,70.296,94.93700000000001,85.53399999999999,85.53399999999999,,90.854,87.005,82.64299999999999,93.646,86.84200000000001,96.429,89.525,82.655,86.009,92.616,97.98,67.39699999999999,90.788,82.62700000000001,100.0,90.315,99.322,95.49799999999999,87.005,87.005,99.21799999999999,94.641,99.57,100.0,99.346,93.958,60.071999999999996,93.839,97.51899999999999,72.63600000000001,80.52600000000001,82.625,82.625,73.195,73.195,74.016,96.836,95.08200000000001,100.0,74.892,65.0,86.913,45.513000000000005,92.928,93.898,90.291,71.758,87.22399999999999,92.82700000000001,94.902,95.83200000000001,82.71600000000001,64.005,82.215,94.89399999999999,90.219,51.912,52.675,92.676,92.251,57.208,65.443,79.808,93.20200000000001,99.213,56.588,84.348,90.766
96.787,%,2021-10,76.99600000000001,88.196,88.196,93.59,93.71700000000001,93.17299999999999,83.693,76.343,97.499,81.502,80.033,92.079,94.98299999999999,98.86200000000001,91.912,87.83200000000001,,93.476,89.24700000000001,76.79899999999999,96.182,89.524,95.06700000000001,86.102,95.89,57.667,66.387,97.26100000000001,97.26100000000001,95.929,85.35600000000001,59.513999999999996,94.488,76.625,76.625,100.0,93.51899999999999,82.809,85.823,92.05799999999999,83.889,96.083,79.703,78.891,86.81700000000001,85.594,100.0,65.089,85.18,72.425,,92.713,99.26700000000001,96.613,82.809,82.809,99.021,93.95,98.85600000000001,98.969,98.931,98.156,54.723,97.257,98.802,57.157,72.314,83.227,83.227,67.915,67.915,55.849,85.833,90.145,95.238,64.429,54.828,87.97,41.918,92.665,100.0,83.06299999999999,65.055,74.789,95.37,95.55,92.87200000000001,73.723,61.933,70.02,93.62100000000001,82.86200000000001,61.282,50.254,93.333,96.41,58.398,57.481,58.824,83.13,97.29700000000001,54.419,81.52199999999999,91.228
97.0,%,2021-11,81.852,88.978,88.978,95.96,92.773,93.63600000000001,93.27600000000001,78.311,96.43700000000001,85.479,80.833,88.84,99.066,98.33,96.039,89.204,100.0,92.427,93.525,87.48200000000001,93.897,91.098,95.182,83.46799999999999,99.471,81.818,61.791000000000004,96.244,96.244,96.805,91.50399999999999,64.586,98.17399999999999,80.067,80.067,100.0,91.705,83.476,85.07,92.536,85.56200000000001,98.068,81.154,82.54299999999999,79.502,75.324,91.02600000000001,54.596000000000004,90.45200000000001,73.34,,86.617,99.421,96.09100000000001,83.476,83.476,98.456,96.262,98.691,100.0,97.91799999999999,94.07700000000001,51.771,95.775,99.084,67.374,76.551,81.417,81.417,66.062,66.062,64.062,90.43,91.40899999999999,94.118,65.495,50.568000000000005,80.064,44.373000000000005,95.24799999999999,98.565,85.0,67.921,79.801,90.296,94.743,96.289,68.649,69.546,81.101,94.34200000000001,85.919,59.128,51.875,88.412,97.166,58.065,58.173,65.992,83.741,100.0,46.586999999999996,92.035,95.596
96.958,%,2021-12,84.09700000000001,88.57600000000001,88.57600000000001,95.714,89.977,90.99700000000001,89.21799999999999,86.79899999999999,97.479,87.677,81.643,87.95200000000001,98.73700000000001,98.117,95.553,83.54700000000001,0.0,93.07700000000001,98.148,92.214,95.635,80.357,94.866,83.495,98.601,87.93799999999999,69.649,96.167,96.167,88.587,95.24799999999999,69.83800000000001,96.346,80.57300000000001,80.57300000000001,100.0,96.479,83.515,83.552,92.619,85.897,98.054,81.247,88.633,79.444,85.92,88.991,61.586999999999996,89.649,76.001,100.0,85.553,99.15799999999999,96.292,83.515,83.515,99.35799999999999,95.167,99.257,96.708,98.35700000000001,96.696,46.746,99.20200000000001,98.359,74.267,76.851,79.189,79.189,67.089,67.089,62.966,93.21,91.01700000000001,100.0,63.785,52.381,73.93,45.553000000000004,96.935,99.14200000000001,85.221,68.243,78.092,97.744,95.05,93.449,87.868,73.169,81.013,93.598,78.683,51.308,38.095,80.985,98.214,56.028,53.482,70.362,84.52,99.50200000000001,55.068999999999996,84.848,97.215
92.30799999999999,%,2022-01,85.694,90.064,90.064,94.82799999999999,90.008,89.723,93.781,87.68,96.792,87.079,83.45200000000001,88.693,97.156,97.275,94.33,83.47200000000001,,88.178,97.67399999999999,92.404,92.01799999999999,91.36200000000001,94.226,88.214,99.465,83.758,73.77600000000001,96.24799999999999,96.24799999999999,95.095,92.398,65.737,97.65299999999999,82.12799999999999,82.12799999999999,100.0,97.315,83.88600000000001,81.65,92.81700000000001,86.12899999999999,98.845,85.429,95.04299999999999,83.25,86.135,98.59200000000001,64.821,88.87899999999999,87.613,,85.461,99.885,96.32799999999999,83.886,83.88600000000001,98.311,95.844,97.79700000000001,100.0,98.04899999999999,94.61200000000001,46.758,98.432,98.09899999999999,80.146,76.48,79.945,79.945,65.116,65.116,47.576,94.255,89.255,97.059,68.873,52.403,84.809,37.205999999999996,96.461,88.745,87.04700000000001,73.719,84.561,95.96799999999999,94.109,93.53399999999999,71.041,70.51,82.665,93.375,81.294,62.437,38.461999999999996,87.574,96.417,50.913000000000004,56.068999999999996,61.798,82.443,96.875,43.49100000000001,96.154,96.869
