德宏,指标单位,时间,韶关,云南电网,云南,大鹏,河池,迪庆,普洱,云浮,曲靖,河源,揭阳,西双版纳,丽江,凯里,汕尾,桂林,保山,红河,罗湖,汕头,百色,瑞丽,大理,昆明,昌江,怒江,屯昌,贵州电网,贵州,来宾,龙华,阳江,坪山,广东电网,广东,三沙,白沙,公司总部,昭通,楚雄,广州,龙岗,佛山,文山,玉林,乐东,五指山,定安,清远,临沧,贺州,贵阳,铜仁,都匀,南方电网,南网,安顺,兴义,六盘水,贵安,毕节,贵港,南宁,东方,防城港,中山,东莞,广西电网,广西,海南电网,海南,琼海,珠海,文昌,盐田,湛江,临高,柳州,陵水,深圳,琼中,万宁,梅州,江门,福田,遵义,肇庆,崇左,北海,潮州,钦州,惠州,三亚,梧州,玉溪,南山,澄迈,海口,保亭,茂名,光明,儋州,深汕特别合作区,宝安
,台,2021-04,,158.0,158.0,,11.0,4.0,,,13.0,,,,,,,32.0,,,,,,,16.0,,,,,,,,,,,7381,7381,,,22877,,,3067.0,,,,,,,,,10.0,,,,,22877,22877,,,,,,38.0,1078.0,,,232.0,,2616.0,2616.0,,,,,,,,,1216.0,,,,,90.0,,,,,,,,,,,5.0,,,,,,,,,,
,台,2021-05,,170.0,170.0,,,,,135.0,,,,,,,,,,,,,,2.0,18.0,33.0,,,,983.0,983.0,,1234.0,,1100.0,7391,7391,,,23240,,,3072.0,,,,,,,,,,,275.0,,,23240,23240,,,,,,,1087.0,,,,,2625.0,2625.0,,,,,,,,,,,11942.0,,,,,,,371.0,,,,,,,,,1128.0,,,,,,,,1661.0
,台,2021-06,,173.0,173.0,,,,,136.0,,,,,,,462.0,,,,934.0,,,,,36.0,,,,1003.0,1003.0,,1275.0,191.0,,7691,7691,,,24496,,,,2069.0,828.0,,36.0,,,,94.0,,,,,,24496,24496,,,,,,,1096.0,,,,,2690.0,2690.0,,,,,,,,,1251.0,,12810.0,,,175.0,,1119.0,136.0,,,,,,,,,,1258.0,,,,,999.0,,,1711.0
,台,2021-07,,193.0,193.0,1254.0,13.0,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,194.0,,7694,7694,,,24753,,65.0,,,,,77.0,,,,,,,,,,24753,24753,,,,,,,1121.0,,,,,2778.0,2778.0,130.0,130.0,,,,,,,1271.0,,12955.0,57.0,,,,1259.0,,,,,,,,,,,,,,,,,,,
,台,2021-08,76.0,240.0,240.0,,,,,139.0,,,,,,,,43.0,,,,,26.0,,,101.0,,,,1014.0,1014.0,82.0,,198.0,,7706,7706,,,25049,,,,,832.0,,,,,,,,21.0,,,93.0,25049,25049,,,,,,40.0,1198.0,,42.0,,,2997.0,2997.0,137.0,137.0,,,,,,,1321.0,,,,,,,,145.0,,11.0,4.0,,,,,24.0,,,,30.0,,,,,,
,台,2021-09,80.0,333.0,333.0,,33.0,,,140.0,15.0,44.0,,,69.0,,482.0,,,,947.0,,32.0,,,124.0,,,,,,,,204.0,,7754,7754,,,25348,,,,,845.0,,85.0,,,,,,35.0,,,,25348,25348,,,,,,,1245.0,,,,501.0,3142.0,3142.0,,,,,,,,,1366.0,,12968.0,,,,376.0,,,,,,,,,,29.0,,,,,,,,,,
,台,2021-10,,352.0,352.0,,43.0,,,,,45.0,,,,,,,,,,,40.0,,,143.0,,,,,,92.0,,205.0,,7859,7859,,,25820,,,3092.0,,906.0,,108.0,,,,,,37.0,,,,25820,25820,,,,,,48.0,1406.0,,45.0,242.0,,3490.0,3490.0,,,,,,,74.0,,1484.0,,,,,,,,,373.0,,9.0,,,422.0,,,,,,,,,,,,
,台,2021-11,88.0,377.0,377.0,,45.0,,,,,,92.0,,,,495.0,,4.0,,949.0,124.0,50.0,,,151.0,,,,1016.0,1016.0,113.0,1280.0,,,8406,8406,,,26902,14.0,,3102.0,2116.0,927.0,,233.0,,,,96.0,,55.0,,,95.0,26902,26902,,,,,,85.0,1479.0,,64.0,420.0,,3886.0,3886.0,176.0,176.0,,,,,76.0,,1497.0,,13041.0,80.0,,176.0,485.0,1278.0,,440.0,29.0,,220.0,155.0,447.0,,,,,,46.0,,123.0,,,,
,台,2021-12,130.0,1324.0,1324.0,,272.0,,24.0,156.0,61.0,49.0,152.0,235.0,121.0,83.0,517.0,52.0,,122.0,,198.0,112.0,,156.0,318.0,,22.0,7.0,1729.0,1729.0,378.0,,227.0,,10769,10769,,,32991,120.0,103.0,4037.0,,961.0,6.0,280.0,,,,128.0,,102.0,985.0,,,32991,32991,,,,,,140.0,1724.0,,129.0,754.0,681.0,5937.0,5937.0,191.0,191.0,24.0,379.0,12.0,,84.0,,2047.0,,,,,,601.0,,,466.0,123.0,145.0,240.0,284.0,705.0,,149.0,,,,,,128.0,,,,
,台,2022-01,,1358.0,1358.0,,,,,158.0,,,,,,,523.0,69.0,,,,,130.0,,,,,,,,,381.0,,,,10893,10893,,,33368,128.0,,4089.0,,,32.0,,,2.0,,,,113.0,,,,33368,33368,,,,,,141.0,,,,762.0,,6073.0,6073.0,242.0,242.0,32.0,,,,88.0,,2121.0,20.0,13073.0,86.0,,206.0,623.0,,,,127.0,153.0,,,,,,,1290.0,,57.0,,,,12.0,,
