时间,时间维度,南方电网,广东,广西,云南,海南,贵州,指标单位
2017-04-22,日,442812.00000000,740869.00000000,85833.00000000,-283477.00000000,32197.00000000,-97470.00000000,MWh
2017-07-29,日,488517.00000000,1071770.00000000,159184.00000000,-513420.00000000,28923.00000000,-177008.00000000,MWh
2017-07-31,日,492658.00000000,1020781.00000000,161775.00000000,-466666.00000000,28769.00000000,-169755.00000000,MWh
2017-08-01,日,494680.00000000,1063535.00000000,161411.00000000,-497126.00000000,28566.00000000,-182565.00000000,MWh
2017-08-02,日,477225.00000000,1066538.00000000,161265.00000000,-522844.00000000,29472.00000000,-175434.00000000,MWh
2017-08-03,日,443461.00000000,1034069.00000000,161864.00000000,-524542.00000000,29813.00000000,-167442.00000000,MWh
2017-08-04,日,434394.00000000,1032223.00000000,160953.00000000,-529865.00000000,29552.00000000,-166355.00000000,MWh
2017-08-05,日,427177.00000000,1009527.00000000,159966.00000000,-519171.00000000,29060.00000000,-162126.00000000,MWh
2017-08-06,日,379545.00000000,970015.00000000,157574.00000000,-516837.00000000,29223.00000000,-167527.00000000,MWh
2017-08-07,日,467582.00000000,1049383.00000000,160165.00000000,-507766.00000000,27990.00000000,-169565.00000000,MWh
2017-08-08,日,520841.00000000,1163215.00000000,161528.00000000,-570750.00000000,24806.00000000,-171618.00000000,MWh
2017-08-09,日,482292.00000000,1121681.00000000,161518.00000000,-572692.00000000,29613.00000000,-171572.00000000,MWh
2017-08-10,日,480159.00000000,1114667.00000000,162698.00000000,-566166.00000000,29716.00000000,-171435.00000000,MWh
2017-08-11,日,475261.00000000,1100360.00000000,170042.00000000,-548056.00000000,29744.00000000,-171759.00000000,MWh
2017-08-12,日,462720.00000000,1094695.00000000,170326.00000000,-557758.00000000,30318.00000000,-170663.00000000,MWh
2017-08-13,日,418834.00000000,1019760.00000000,166636.00000000,-538831.00000000,30686.00000000,-165942.00000000,MWh
2017-08-14,日,501324.00000000,1103249.00000000,169560.00000000,-536307.00000000,30584.00000000,-161452.00000000,MWh
2017-08-15,日,510307.00000000,1138469.00000000,169457.00000000,-558827.00000000,30658.00000000,-165341.00000000,MWh
2017-08-16,日,508509.00000000,1129571.00000000,157436.00000000,-549669.00000000,30744.00000000,-165875.00000000,MWh
2017-08-17,日,512931.00000000,1126441.00000000,157789.00000000,-545038.00000000,30379.00000000,-160331.00000000,MWh
2017-08-18,日,514875.00000000,1124004.00000000,158505.00000000,-542415.00000000,29398.00000000,-158113.00000000,MWh
2017-08-19,日,467501.00000000,1117597.00000000,146805.00000000,-558930.00000000,23258.00000000,-166127.00000000,MWh
2017-08-20,日,412089.00000000,1031820.00000000,142028.00000000,-522206.00000000,26357.00000000,-167507.00000000,MWh
2017-08-21,日,498322.00000000,1119007.00000000,154474.00000000,-538639.00000000,27546.00000000,-166081.00000000,MWh
2017-08-22,日,525796.00000000,1171187.00000000,159560.00000000,-572843.00000000,27986.00000000,-167539.00000000,MWh
2017-08-23,日,467122.00000000,888162.00000000,155983.00000000,-367501.00000000,29525.00000000,-130467.00000000,MWh
2017-08-24,日,436897.00000000,913417.00000000,147540.00000000,-395140.00000000,29741.00000000,-152235.00000000,MWh
2017-08-25,日,448920.00000000,985047.00000000,161700.00000000,-456347.00000000,29663.00000000,-167641.00000000,MWh
2017-08-26,日,392645.00000000,983000.00000000,114083.00000000,-462284.00000000,29678.00000000,-171580.00000000,MWh
2017-08-27,日,383429.00000000,781970.00000000,142937.00000000,-328474.00000000,29391.00000000,-129282.00000000,MWh
