德宏,指标单位,时间,韶关,云南电网,云南,大鹏,河池,迪庆,普洱,云浮,曲靖,河源,揭阳,西双版纳,丽江,凯里,汕尾,桂林,保山,红河,罗湖,汕头,百色,瑞丽,大理,昆明,昌江,怒江,屯昌,贵州电网,贵州,来宾,龙华,阳江,坪山,广东电网,广东,三沙,白沙,公司总部,昭通,楚雄,广州,龙岗,佛山,文山,玉林,乐东,五指山,定安,清远,临沧,贺州,贵阳,铜仁,都匀,南方电网,南网,安顺,兴义,六盘水,贵安,毕节,贵港,南宁,东方,防城港,中山,东莞,广西电网,广西,海南电网,海南,琼海,珠海,文昌,盐田,湛江,临高,柳州,陵水,深圳,琼中,万宁,梅州,江门,福田,遵义,肇庆,崇左,北海,潮州,钦州,惠州,三亚,梧州,玉溪,南山,澄迈,海口,保亭,茂名,光明,儋州,深汕特别合作区,宝安
350.345,元/千千瓦时,2021-04,421.726,339.602,339.602,,381.94699999999995,335.434,380.009,473.912,406.92900000000003,403.86699999999996,542.23,366.48699999999997,365.327,487.292,537.274,404.381,300.876,354.13300000000004,,,234.46,366.31,353.655,383.75199999999995,,377.965,,388.06199999999995,388.06199999999995,143.761,,489.009,,547.77,547.77,,,495.17699999999996,353.07099999999997,389.469,571.832,,585.336,284.177,412.973,,,,434.876,381.478,366.566,358.77,,481.37199999999996,495.177,495.17699999999996,464.301,,441.62800000000004,376.655,383.717,479.425,431.584,,,598.69,602.133,418.097,418.097,584.124,584.124,,546.673,,,514.823,,492.681,,624.363,,,465.124,552.124,,379.265,511.832,446.54,457.159,543.611,450.726,558.15,,420.779,357.54,,,,,518.867,,,,
325.0,元/千千瓦时,2021-05,430.301,316.204,316.204,,338.327,337.027,384.469,486.912,300.965,407.54,549.0269999999999,352.124,367.142,484.265,549.566,418.398,297.867,348.98199999999997,,,362.45099999999996,366.991,350.602,377.566,,313.894,,384.98199999999997,384.98199999999997,368.885,,504.699,,548.336,548.336,,,509.319,361.05300000000005,380.009,567.159,,581.062,289.504,408.788,,,,434.991,348.15,336.69,503.973,,430.664,509.319,509.319,439.186,,441.37199999999996,369.407,551.7080000000001,-1.92,498.212,,,596.8580000000001,594.9730000000001,446.08,446.08,599.372,599.372,,545.248,,,521.186,,476.009,,620.5840000000001,,,472.08,551.398,,350.717,517.23,359.885,469.398,545.7080000000001,459.64599999999996,555.354,,417.35400000000004,364.274,,,,,521.15,,,,
351.15,元/千千瓦时,2021-06,438.708,303.70799999999997,303.70799999999997,,361.708,327.973,355.726,487.903,334.86699999999996,409.46,547.752,,305.124,551.673,547.389,400.142,288.867,317.23,,,334.673,367.168,323.717,367.876,,286.04400000000004,,383.522,383.522,380.903,,500.07099999999997,,549.814,549.814,,,505.13300000000004,328.035,359.593,571.558,,584.195,262.212,409.15,,,,434.0,337.593,328.788,431.531,,536.788,505.133,505.13300000000004,384.292,,452.496,375.23,443.93800000000005,467.858,480.25699999999995,,,599.434,597.5840000000001,434.23900000000003,434.23900000000003,587.327,587.327,,547.717,,,527.504,,478.832,,621.558,,,474.17699999999996,553.062,,348.186,522.15,380.13300000000004,458.301,549.062,444.965,555.177,,425.903,330.681,,,,,527.274,,,,
246.018,元/千千瓦时,2021-07,450.35400000000004,289.124,289.124,,360.45099999999996,301.54,343.097,496.292,286.221,428.611,563.637,345.05300000000005,325.496,414.55800000000005,529.982,398.46,70.416,290.097,,,400.584,329.07099999999997,273.752,327.159,,263.558,,385.69,385.69,385.336,,505.425,,553.823,553.823,,,507.504,,324.053,573.035,,585.5219999999999,206.43400000000003,406.76099999999997,,,,449.74300000000005,336.991,351.584,618.655,,444.319,507.504,507.504,407.221,,407.699,363.832,464.69,460.832,476.23900000000003,,,600.735,596.549,453.088,453.088,598.248,598.248,,548.867,,,531.46,,484.522,,621.566,,,490.097,557.133,,351.796,529.832,359.903,461.805,558.549,453.779,561.558,,373.496,329.708,,,,,530.434,,,,
237.088,元/千千瓦时,2021-08,447.283,283.982,283.982,,348.82300000000004,243.558,328.76099999999997,491.593,268.726,417.212,557.5219999999999,335.345,246.558,554.4780000000001,590.0,402.319,201.903,277.531,,,404.274,299.938,267.496,292.124,,238.257,,403.664,403.664,803.0269999999999,,499.35400000000004,,552.504,552.504,,,507.221,284.08799999999997,329.85,571.743,,586.2919999999999,198.195,406.94699999999995,,,,429.681,289.274,289.062,481.381,,491.17699999999996,507.221,507.221,421.77,,464.027,345.876,476.496,465.814,474.35400000000004,,,599.9730000000001,597.947,475.885,475.885,598.2040000000001,598.2040000000001,,547.46,,,528.1419999999999,,474.31,,621.8580000000001,,,484.345,558.531,,379.407,525.469,354.54,470.655,556.85,447.858,556.664,,417.965,244.85,,,,,521.15,,,,
254.416,元/千千瓦时,2021-09,442.62800000000004,,,,354.708,382.37199999999996,331.319,498.82300000000004,271.416,438.76099999999997,566.4780000000001,320.248,354.15,445.593,559.168,395.92,181.56599999999997,286.805,,,401.903,333.027,289.257,306.018,,253.053,,410.504,410.504,438.54900000000004,,527.4780000000001,,554.779,554.779,,,510.088,292.991,303.186,572.372,,585.159,225.513,419.85,,,,441.15,291.301,337.115,468.381,,435.699,510.088,510.088,499.814,,454.15,368.425,461.416,458.912,484.336,,,600.442,597.9119999999999,467.345,467.345,602.442,602.442,,550.0,,,525.788,,481.858,,622.195,,,491.788,557.5219999999999,,394.15,532.717,392.36300000000006,475.05300000000005,560.779,462.0,558.2040000000001,,414.01800000000003,274.76099999999997,,,,,522.496,,,,
,元/千千瓦时,2021-10,438.142,289.301,289.301,,369.25699999999995,320.425,349.876,509.496,279.31,404.76099999999997,548.5840000000001,348.23,283.248,463.36300000000006,539.938,372.619,180.56599999999997,286.159,,,385.63699999999994,327.389,299.752,319.947,,257.69,,441.75199999999995,441.75199999999995,590.77,,532.8580000000001,,556.2040000000001,556.2040000000001,,,512.965,306.894,317.009,572.54,,594.354,213.637,434.23,,,,419.735,324.522,405.885,455.292,,445.425,512.965,512.965,481.08,,456.05300000000005,425.814,482.0,481.381,510.05300000000005,,,609.991,613.54,513.743,513.743,594.425,594.425,,554.876,,,518.195,,547.124,,627.133,,,479.619,566.0269999999999,,396.283,530.903,409.805,447.48699999999997,551.425,507.894,561.876,,446.82300000000004,315.496,,,,,515.7080000000001,,,,
0.0,元/千千瓦时,2021-11,444.54,331.69,331.69,,387.434,290.35400000000004,392.673,506.0,362.664,409.62800000000004,555.9730000000001,375.06199999999995,371.973,655.23,547.425,539.5219999999999,261.274,353.779,,,400.009,361.805,350.619,370.504,0.0,299.425,0.0,479.885,479.885,642.85,,531.558,,565.389,565.389,,0.0,530.035,357.796,393.841,583.451,,604.451,259.858,424.07099999999997,0.0,0.0,0.0,451.51300000000003,328.469,428.611,500.36300000000006,,560.044,530.035,530.035,519.619,,449.48699999999997,423.24800000000005,486.664,486.673,496.531,,,619.381,627.611,539.681,539.681,600.239,600.239,0.0,563.009,0.0,,527.035,0.0,524.54,0.0,627.947,0.0,0.0,486.664,570.805,,515.168,538.0269999999999,458.566,537.7959999999999,552.885,535.2040000000001,579.212,0.0,443.0,385.98199999999997,,0.0,0.0,0.0,519.4159999999999,,0.0,,
,,2021-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364.575,元/千千瓦时,2022-01,496.301,363.06199999999995,363.06199999999995,,409.94699999999995,391.841,397.77,543.9730000000001,368.45099999999996,475.92900000000003,603.363,384.522,372.51300000000003,472.965,583.327,468.115,338.115,366.23,,,475.726,384.531,367.832,386.717,557.265,344.195,564.31,459.23900000000003,459.23900000000003,564.186,,549.3009999999999,,603.283,603.283,,562.177,545.319,358.681,393.814,616.354,,652.115,,436.08,511.0,560.3009999999999,576.053,527.23,366.522,445.434,475.0,,487.381,545.319,545.319,470.86699999999996,,493.973,352.584,463.04400000000004,529.159,528.124,,,658.655,667.4069999999999,539.841,539.841,632.442,632.442,567.3009999999999,590.442,568.239,,556.956,546.611,524.903,507.991,678.982,572.805,559.929,536.071,624.991,,464.142,594.9730000000001,483.991,564.124,611.363,528.743,615.575,554.15,460.142,367.92900000000003,,596.1419999999999,569.628,625.053,564.363,,565.5840000000001,,
