时间,时间维度,南方电网,广东,广西,云南,海南,贵州,指标单位
2017-4-22,日,2.585272137,2.56740499,4.866957759,2.579815606,7.736434109,1.553531006,%
2017-7-29,日,0.930462282,1.359825145,2.333873252,0.339059949,1.358938369,0.707270418,%
2017-7-31,日,1.506321663,1.873577422,0.679929368,1.944653646,2.984943362,0.580406449,%
2017-8-1,日,0.807272776,0.133001992,0.551293957,1.577697626,2.922173756,0.978563561,%
2017-8-2,日,0.808850828,0.940218222,0.834144687,0.781111881,3.249169768,0.517571022,%
2017-8-3,日,0.784532045,0.639198585,1.300820617,0.755992917,3.641791045,0.8093942,%
2017-8-4,日,1.252761584,0.591025688,1.731107206,1.754856359,3.160726295,1.576959745,%
2017-8-5,日,1.655480444,0.732334982,1.783414885,3.71122026,2.78150069,0.176671827,%
2017-8-6,日,1.401204121,0.781295793,2.273377431,1.654920411,2.158428664,2.102086082,%
2017-8-7,日,2.471687546,0.980704318,3.334187609,3.19209921,3.18162229,4.719718496,%
2017-8-8,日,3.465715885,1.62398525,4.50407612,5.45905231,4.677376261,4.191153633,%
2017-8-9,日,1.97311844,2.107392867,4.720894263,1.511201988,4.647312619,1.657499767,%
2017-8-10,日,1.558223253,1.699262323,3.49067452,1.607313907,4.173028816,0.617526754,%
2017-8-11,日,2.996937184,1.587578067,5.359390717,5.002019957,3.309193648,2.315680102,%
2017-8-12,日,4.315408036,2.038423407,7.909876751,7.683289239,3.69273789,2.871794217,%
2017-8-13,日,3.161113082,1.942385841,7.150063861,5.36382731,3.757917884,0.864438898,%
2017-8-14,日,1.862592072,1.367395053,4.274914339,3.21207196,3.488994501,0,%
2017-8-15,日,1.493056835,1.169769256,4.483739012,1.800024923,2.879836193,1.04089727,%
2017-8-16,日,1.411826592,0.919059083,3.209412842,1.689682923,1.236470629,1.784072746,%
2017-8-17,日,1.571097341,0.616335201,2.386934673,1.426365947,0.725781003,4.115021369,%
2017-8-18,日,2.645655045,0.381380478,2.686353746,3.955391248,0.575528378,6.013612403,%
2017-8-19,日,3.226191127,0.343304827,3.476956104,4.466491635,0.676857825,7.881286679,%
2017-8-20,日,2.899932899,0.563486221,2.345087915,4.31259655,0.198301815,6.355668159,%
2017-8-21,日,2.071756347,0.39624609,0.660958809,3.58069845,0.307232557,4.500052086,%
2017-8-22,日,2.079358688,1.608270348,0.936036048,3.115121297,0.767626063,2.501650387,%
2017-8-23,日,3.123569449,3.085420377,5.893149164,2.50297108,1.427864145,4.11516087,%
2017-8-24,日,4.726853419,2.076187305,4.499685337,7.321752433,3.827203402,7.730425117,%
2017-8-25,日,3.766352523,1.216167956,0.996276234,8.167501246,1.170183719,3.991018232,%
2017-8-26,日,2.382097826,1.862090887,2.548185766,3.60847987,2.294399427,2.026084145,%
2017-8-27,日,2.323813168,3.073989302,6.350592937,0.863509967,1.144385284,2.501287344,%
2017-8-28,日,1.848937705,1.562093464,1.80366151,1.481818357,0.922045264,3.582446458,%
2017-8-29,日,1.833910427,1.174300304,1.546839653,2.475447224,1.618407446,2.644892469,%
2017-8-30,日,1.286295513,0.492663715,1.093936782,2.083483865,0.701178246,1.975408267,%
2017-8-31,日,1.2635715,0.765665426,1.792634133,1.176922014,5.324624683,2.111902595,%
2017-9-1,日,2.506193428,0.548025059,1.058002929,4.218142387,0.334086476,4.602003292,%
2017-9-2,日,2.380264859,1.191187602,0.614967375,5.019336489,1.846981008,2.286419103,%
2017-9-3,日,1.869921017,1.617392926,0.398979154,3.805380413,1.917908401,0.657837434,%
2017-9-4,日,2.652143296,1.348211656,1.214373845,4.872800665,0.890495046,3.045348765,%
2017-9-5,日,1.890044263,0.451100517,0.713132926,4.036796351,1.456531634,2.202162797,%
2017-9-6,日,1.581380907,0.201133662,1.161870676,2.524363488,0.868137025,3.580412771,%
2017-9-7,日,0.751082197,0.28482543,1.566179934,1.021869197,1.081036132,1.1050415,%
2017-9-8,日,1.776570536,0.185456239,0.225904796,2.799586306,1.197692099,4.098788726,%
2017-9-9,日,2.552096038,0.499831879,1.405560183,3.822273342,2.840784408,5.243235788,%
2017-9-10,日,3.567560868,0.661686503,3.222072816,5.303466362,2.564253482,6.996615325,%
2017-9-11,日,1.612575899,0.341824077,2.104379575,2.365884093,0.460570658,3.468849225,%
2017-9-12,日,3.893226392,0.549346487,3.991282842,12.44707153,0.464387926,16.89992745,%
2017-9-13,日,1.621285042,1.812363524,3.966861485,0.89784118,1.87318061,2.287229928,%
