时间,时间维度,南方电网,广东,广西,云南,海南,贵州,指标单位
2021/1/29,日,48795,11877,8052,12258,1562,15046,MWh
2021/1/30,日,48795,11877,8052,12258,1562,15046,MWh
2021/1/31,日,48588,11252,8037,12693,1561,15045,MWh
2021/2/1,日,48588,11252,8037,12693,1561,15045,MWh
2021/2/2,日,45317,11877,4574,12258,1562,15046,MWh
2021/2/3,日,48795,11877,8052,12258,1562,15046,MWh
2021/2/4,日,48855,11937,8052,12258,1562,15046,MWh
2021/2/5,日,48299,11252,8037,12693,1561,15045,MWh
2021/2/6,日,45377,11937,4574,12258,1562,15046,MWh
2021/2/7,日,45377,11937,4574,12258,1562,15046,MWh
2021/2/8,日,41377,11937,4574,12258,1562,11046,MWh
2021/2/9,日,44588,11252,8037,12693,1561,11045,MWh
2021/2/10,日,49218,11937,8415,12258,1562,15046,MWh
2021/2/11,日,45377,11937,4574,12258,1562,15046,MWh
2021/2/12,日,45377,11937,4574,12258,1562,15046,MWh
2021/2/13,日,45377,11937,4574,12258,1562,15046,MWh
2021/2/14,日,44299,11252,8037,12693,1561,11045,MWh
2021/2/15,日,44299,11252,8037,12693,1561,11045,MWh
2021/2/16,日,44588,11252,8037,12693,1561,11045,MWh
2021/2/17,日,45377,11937,4574,12258,1562,15046,MWh
2021/2/18,日,44588,11252,8037,12693,1561,11045,MWh
2021/2/19,日,44588,11252,8037,12693,1561,11045,MWh
2021/2/20,日,44588,11252,8037,12693,1561,11045,MWh
2021/2/21,日,44588,11252,8037,12693,1561,11045,MWh
2021/2/22,日,49218,11937,8415,12258,1562,15046,MWh
2021/2/23,日,49218,11937,8415,12258,1562,15046,MWh
2021/2/24,日,44588,11252,8037,12693,1561,11045,MWh
2021/2/25,日,44588,11162,8037,12693,1562,11045,MWh
2021/2/26,日,45377,11937,4574,12258,1562,15046,MWh
2021/2/27,日,45377,11937,4574,12258,1562,15046,MWh
2021/2/28,日,44588,11252,8037,12693,1561,11045,MWh
2021/3/1,日,44588,11252,8037,12693,1561,11045,MWh
2021/3/2,日,44588,11252,8037,12693,1561,11045,MWh
2021/3/3,日,44588,11252,8037,12693,1561,11045,MWh
2021/3/4,日,49448,12167,8415,12258,1562,15046,MWh
2021/3/5,日,49448,12167,8415,12258,1562,15046,MWh
2021/3/6,日,44588,11252,8037,12693,1561,11045,MWh
2021/3/7,日,44588,11162,8037,12693,1562,11045,MWh
2021/3/8,日,49338,12167,8415,12148,1562,15046,MWh
2021/3/9,日,49337,12167,8415,12147,1562,15046,MWh
2021/3/10,日,44588,11252,8037,12693,1561,11045,MWh
2021/3/11,日,44588,11252,8037,12693,1561,11045,MWh
2021/3/12,日,44589,11252,8037,12693,1562,11046,MWh
2021/3/13,日,49337,12167,8415,12147,1562,15046,MWh
2021/3/14,日,49337,12167,8415,12147,1562,15046,MWh
2021/3/15,日,49337,12167,8415,12147,1562,15046,MWh
2021/3/16,日,49337,12167,8415,12147,1562,15046,MWh
2021/3/17,日,49337,12167,8415,12147,1562,15046,MWh
2021/3/18,日,49337,12167,8415,12147,1562,15046,MWh
2021/3/19,日,49048,12167,8415,12147,1562,15046,MWh
2021/3/20,日,44299,11252,8037,12693,1561,11045,MWh
2021/3/21,日,44588,11252,8037,12693,1561,11045,MWh
2021/3/22,日,44588,11252,8037,12693,1561,11045,MWh
2021/3/23,日,44588,11252,8037,12693,1561,11045,MWh
2021/3/24,日,49337,12167,8415,12147,1562,15046,MWh
2021/3/25,日,49337,12167,8415,12147,1562,15046,MWh
2021/3/26,日,49048,12167,8415,12147,1562,15046,MWh
2021/3/27,日,45794,11767,8465,12663,1561,11338,MWh
2021/3/28,日,45794,11767,8465,12663,1561,11338,MWh
2021/3/29,日,45794,11767,8465,12663,1561,11338,MWh
2021/3/30,日,45794,11767,8465,12663,1561,11338,MWh
2021/3/31,日,45994,11767,8465,12663,1561,11538,MWh
2021/4/1,日,45994,11767,8465,12663,1561,11538,MWh
2021/4/2,日,45994,11767,8465,12663,1561,11538,MWh
2021/4/3,日,45929,11754,8465,12663,1561,11486,MWh
2021/4/4,日,45929,11754,8465,12663,1561,11486,MWh
2021/4/5,日,45929,11754,8465,12663,1561,11486,MWh
2021/4/6,日,45929,11754,8465,12663,1561,11486,MWh
2021/4/7,日,46049,11754,8585,12663,1561,11486,MWh
2021/4/8,日,46089,11779,8600,12663,1561,11486,MWh
2021/4/9,日,46089,11779,8600,12663,1561,11486,MWh
2021/4/10,日,46089,11779,8600,12663,1561,11486,MWh
2021/4/11,日,46089,11779,8600,12663,1561,11486,MWh
2021/4/12,日,46089,11779,8600,12663,1561,11486,MWh
2021/4/13,日,46118,11779,8629,12663,1561,11486,MWh
2021/4/14,日,46118,11779,8629,12663,1561,11486,MWh
2021/4/15,日,46120,11779,8631,12663,1561,11486,MWh
2021/4/16,日,46120,11779,8631,12663,1561,11486,MWh
2021/4/17,日,46120,11779,8631,12663,1561,11486,MWh
2021/4/18,日,46145,11779,8656,12663,1561,11486,MWh
2021/4/19,日,46145,11779,8656,12663,1561,11486,MWh
2021/4/20,日,47021,11779,8656,12663,1561,12362,MWh
2021/4/21,日,47021,11779,8656,12663,1561,12362,MWh
2021/4/22,日,47021,11779,8656,12663,1561,12362,MWh
