时间,时间维度,南方电网,广东,广西,云南,海南,贵州,指标单位
2022-06-13,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,MWh
2022-06-18,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,MWh
2022-06-19,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,MWh
2022-06-20,日,294007.24000000,255774.00000000,2833.04000000,0.00000000,35400.20000000,0.00000000,MWh
2022-06-21,日,305155.10000000,266798.00000000,3109.50000000,0.00000000,35247.60000000,0.00000000,MWh
2022-06-22,日,295175.61000000,256570.00000000,3141.91000000,0.00000000,35463.70000000,0.00000000,MWh
2022-06-23,日,327616.39000000,291389.00000000,3168.39000000,0.00000000,33059.00000000,0.00000000,MWh
2022-06-24,日,331149.80000000,295189.00000000,3702.40000000,0.00000000,32258.40000000,0.00000000,MWh
2022-06-25,日,303946.61000000,274312.00000000,3209.51000000,0.00000000,26425.10000000,0.00000000,MWh
2022-06-26,日,216061.72000000,186233.00000000,2770.42000000,0.00000000,27058.30000000,0.00000000,MWh
2022-06-27,日,310309.56000000,276892.00000000,2890.76000000,0.00000000,30526.80000000,0.00000000,MWh
2022-06-28,日,336278.14000000,297757.00000000,3427.34000000,0.00000000,35093.80000000,0.00000000,MWh
2022-06-29,日,301084.12000000,272481.00000000,3958.92000000,0.00000000,24644.20000000,0.00000000,MWh
2022-06-30,日,285126.80000000,263238.00000000,3338.60000000,0.00000000,18550.20000000,0.00000000,MWh
2022-07-01,日,240199.45000000,212979.00000000,2549.35000000,0.00000000,24671.10000000,0.00000000,MWh
2022-07-02,日,133065.76000000,121994.00000000,2552.16000000,0.00000000,8519.60000000,0.00000000,MWh
2022-07-03,日,112773.90000000,101229.00000000,1695.10000000,0.00000000,9849.80000000,0.00000000,MWh
2022-07-04,日,219286.68000000,200880.00000000,2577.98000000,0.00000000,15828.70000000,0.00000000,MWh
2022-07-05,日,215421.23000000,190972.00000000,2573.63000000,0.00000000,21875.60000000,0.00000000,MWh
2022-07-06,日,249889.18000000,220264.00000000,2353.88000000,0.00000000,27271.30000000,0.00000000,MWh
2022-07-07,日,239467.49000000,208645.00000000,2063.59000000,0.00000000,28758.90000000,0.00000000,MWh
2022-07-08,日,250491.33000000,223189.00000000,2349.83000000,0.00000000,24952.50000000,0.00000000,MWh
2022-07-09,日,219234.85000000,196879.00000000,2346.95000000,0.00000000,20008.90000000,0.00000000,MWh
2022-07-10,日,160462.72000000,139085.00000000,2313.32000000,0.00000000,19064.40000000,0.00000000,MWh
2022-07-11,日,284060.04000000,261300.00000000,3135.54000000,0.00000000,19624.50000000,0.00000000,MWh
2022-07-12,日,352264.77000000,328460.00000000,3132.77000000,0.00000000,20672.00000000,0.00000000,MWh
2022-07-13,日,371975.04000000,350272.00000000,3119.54000000,0.00000000,18583.50000000,0.00000000,MWh
2022-07-14,日,397546.73000000,375621.00000000,3167.13000000,0.00000000,18758.60000000,0.00000000,MWh
2022-07-15,日,401317.47000000,377380.00000000,3167.27000000,0.00000000,20770.20000000,0.00000000,MWh
2022-07-16,日,321900.27000000,297270.00000000,2402.67000000,0.00000000,22227.60000000,0.00000000,MWh
2022-07-17,日,224587.34000000,195744.00000000,2432.84000000,0.00000000,26410.50000000,0.00000000,MWh
