时间,时间维度,南方电网,广东,广西,云南,海南,贵州,天生桥及龙滩,指标单位
2017-04-22,日,818643.00000000,87037.00000000,95590.00000000,533212.00000000,5651.00000000,42033.00000000,55120.00000000,MWh
2017-07-29,日,1449034.00000000,99216.00000000,129356.00000000,784992.00000000,8984.00000000,294540.00000000,131946.00000000,MWh
2017-07-31,日,1393960.00000000,99399.00000000,140129.00000000,728461.00000000,9071.00000000,287838.00000000,129062.00000000,MWh
2017-08-01,日,1418339.00000000,98894.00000000,117354.00000000,764832.00000000,8929.00000000,298291.00000000,130039.00000000,MWh
2017-08-02,日,1438625.00000000,100007.00000000,113922.00000000,798161.00000000,8498.00000000,284851.00000000,133186.00000000,MWh
2017-08-03,日,1418625.00000000,97471.00000000,102041.00000000,802828.00000000,8630.00000000,268361.00000000,139294.00000000,MWh
2017-08-04,日,1387029.00000000,97451.00000000,89178.00000000,799461.00000000,8688.00000000,249184.00000000,143067.00000000,MWh
2017-08-05,日,1342193.00000000,93479.00000000,83380.00000000,767320.00000000,7924.00000000,247080.00000000,143010.00000000,MWh
2017-08-06,日,1376971.00000000,85033.00000000,97600.00000000,783872.00000000,8069.00000000,259148.00000000,143249.00000000,MWh
2017-08-07,日,1378370.00000000,79298.00000000,120301.00000000,768710.00000000,8295.00000000,258679.00000000,143087.00000000,MWh
2017-08-08,日,1388541.00000000,74963.00000000,122930.00000000,805608.00000000,9015.00000000,233543.00000000,142482.00000000,MWh
2017-08-09,日,1440839.00000000,74321.00000000,117707.00000000,840792.00000000,9398.00000000,256047.00000000,142574.00000000,MWh
2017-08-10,日,1420413.00000000,74377.00000000,98869.00000000,836064.00000000,8100.00000000,258098.00000000,144905.00000000,MWh
2017-08-11,日,1381553.00000000,74720.00000000,90227.00000000,781365.00000000,9301.00000000,267377.00000000,158563.00000000,MWh
2017-08-12,日,1345600.00000000,72923.00000000,84623.00000000,771586.00000000,8853.00000000,248565.00000000,159050.00000000,MWh
2017-08-13,日,1325662.00000000,69751.00000000,81281.00000000,776365.00000000,7785.00000000,245203.00000000,145277.00000000,MWh
2017-08-14,日,1355250.00000000,66107.00000000,85166.00000000,799001.00000000,8141.00000000,239409.00000000,157426.00000000,MWh
2017-08-15,日,1350030.00000000,67453.00000000,61864.00000000,834684.00000000,5553.00000000,221370.00000000,159106.00000000,MWh
2017-08-16,日,1323382.00000000,68244.00000000,66251.00000000,824396.00000000,4582.00000000,209922.00000000,149987.00000000,MWh
2017-08-17,日,1284117.00000000,63778.00000000,71046.00000000,817009.00000000,4578.00000000,179394.00000000,148312.00000000,MWh
2017-08-18,日,1269230.00000000,64130.00000000,77551.00000000,796055.00000000,4888.00000000,178383.00000000,148223.00000000,MWh
2017-08-19,日,1299101.00000000,61746.00000000,96356.00000000,806868.00000000,6262.00000000,178283.00000000,149586.00000000,MWh
2017-08-20,日,1285022.00000000,59661.00000000,122468.00000000,771089.00000000,5623.00000000,176668.00000000,149513.00000000,MWh
2017-08-21,日,1347079.00000000,60891.00000000,136314.00000000,799650.00000000,7696.00000000,191175.00000000,151353.00000000,MWh
2017-08-22,日,1397455.00000000,64632.00000000,144483.00000000,840741.00000000,6926.00000000,190910.00000000,149763.00000000,MWh
2017-08-23,日,1161727.00000000,68669.00000000,120144.00000000,638364.00000000,3661.00000000,181857.00000000,149032.00000000,MWh
2017-08-24,日,1116647.00000000,72573.00000000,84870.00000000,631417.00000000,5110.00000000,175351.00000000,147326.00000000,MWh
2017-08-25,日,1182688.00000000,71156.00000000,86156.00000000,681786.00000000,5965.00000000,188006.00000000,149619.00000000,MWh
2017-08-26,日,1250549.00000000,75730.00000000,99238.00000000,716205.00000000,5240.00000000,208432.00000000,145704.00000000,MWh
2017-08-27,日,1103539.00000000,80620.00000000,85104.00000000,600647.00000000,5837.00000000,181859.00000000,149472.00000000,MWh
2017-08-28,日,1127183.00000000,97308.00000000,76405.00000000,633081.00000000,4824.00000000,185527.00000000,130038.00000000,MWh
2017-08-29,日,1177182.00000000,92537.00000000,58329.00000000,715816.00000000,5516.00000000,162899.00000000,142085.00000000,MWh
2017-08-30,日,1233741.00000000,83179.00000000,73700.00000000,740227.00000000,5929.00000000,181120.00000000,149586.00000000,MWh
2017-08-31,日,1258728.00000000,79896.00000000,84812.00000000,769160.00000000,6422.00000000,170116.00000000,148322.00000000,MWh
2017-09-01,日,1240482.00000000,79213.00000000,104302.00000000,736149.00000000,5550.00000000,165827.00000000,149441.00000000,MWh
2017-09-02,日,1156648.00000000,82690.00000000,129464.00000000,643590.00000000,5496.00000000,167738.00000000,127670.00000000,MWh
2017-09-03,日,1151267.00000000,79078.00000000,136424.00000000,619822.00000000,5097.00000000,184740.00000000,126106.00000000,MWh
2017-09-04,日,1227893.00000000,81283.00000000,122607.00000000,702204.00000000,4819.00000000,178463.00000000,138517.00000000,MWh
2017-09-05,日,1255076.00000000,85396.00000000,107984.00000000,693042.00000000,5456.00000000,208693.00000000,154505.00000000,MWh
2017-09-06,日,1314848.00000000,82273.00000000,115508.00000000,732741.00000000,4734.00000000,224196.00000000,155396.00000000,MWh
2017-09-07,日,1330086.00000000,87854.00000000,97872.00000000,746216.00000000,4973.00000000,237610.00000000,155561.00000000,MWh
2017-09-08,日,1344055.00000000,87729.00000000,119261.00000000,756842.00000000,5310.00000000,230136.00000000,144777.00000000,MWh
2017-09-09,日,1368209.00000000,82192.00000000,113057.00000000,781644.00000000,5313.00000000,241435.00000000,144568.00000000,MWh
2017-09-10,日,1295667.00000000,82760.00000000,102888.00000000,717167.00000000,4930.00000000,243233.00000000,144689.00000000,MWh
2017-09-11,日,1337408.00000000,83900.00000000,98749.00000000,753428.00000000,5954.00000000,246310.00000000,149067.00000000,MWh
2017-09-12,日,1388066.00000000,82256.00000000,83516.00000000,0.00000000,5323.00000000,249441.00000000,148422.00000000,MWh
2017-09-13,日,1410157.00000000,76909.00000000,88680.00000000,845656.00000000,5903.00000000,243971.00000000,149038.00000000,MWh
2017-09-14,日,1380734.00000000,73439.00000000,89136.00000000,828002.00000000,6845.00000000,234511.00000000,148801.00000000,MWh
2017-09-15,日,1345149.00000000,70229.00000000,90184.00000000,804225.00000000,5692.00000000,231052.00000000,143767.00000000,MWh
2017-09-16,日,1280520.00000000,58294.00000000,98559.00000000,739025.00000000,6289.00000000,229003.00000000,149350.00000000,MWh
2017-09-17,日,1286002.00000000,60641.00000000,110484.00000000,744653.00000000,6403.00000000,214534.00000000,149287.00000000,MWh
2017-09-18,日,1317266.00000000,55715.00000000,129770.00000000,769835.00000000,7325.00000000,210597.00000000,144024.00000000,MWh
2017-09-19,日,1328804.00000000,55087.00000000,134961.00000000,769661.00000000,6531.00000000,212709.00000000,149855.00000000,MWh
2017-09-20,日,1350769.00000000,58445.00000000,129350.00000000,800783.00000000,6461.00000000,211141.00000000,144589.00000000,MWh
2017-09-21,日,1373759.00000000,56415.00000000,113885.00000000,837072.00000000,6462.00000000,216640.00000000,143285.00000000,MWh
2017-09-22,日,1378158.00000000,57691.00000000,131214.00000000,825410.00000000,6606.00000000,220042.00000000,137195.00000000,MWh
2017-09-23,日,1356887.00000000,58557.00000000,131172.00000000,802770.00000000,6552.00000000,209284.00000000,148552.00000000,MWh
2017-09-24,日,1235612.00000000,57688.00000000,133985.00000000,686351.00000000,6205.00000000,202589.00000000,148794.00000000,MWh
2017-09-25,日,1328821.00000000,57861.00000000,129919.00000000,783545.00000000,7495.00000000,201973.00000000,148028.00000000,MWh
2017-09-26,日,1357046.00000000,55401.00000000,140897.00000000,799343.00000000,6526.00000000,205467.00000000,149412.00000000,MWh
2017-09-27,日,1358230.00000000,60514.00000000,148651.00000000,792499.00000000,7354.00000000,199752.00000000,149460.00000000,MWh
2017-09-28,日,1388465.00000000,53624.00000000,149235.00000000,819089.00000000,5076.00000000,210421.00000000,151020.00000000,MWh
2017-09-29,日,1340258.00000000,52428.00000000,139933.00000000,794820.00000000,7024.00000000,196663.00000000,149390.00000000,MWh
2017-09-30,日,1274680.00000000,53013.00000000,126414.00000000,765775.00000000,7203.00000000,173994.00000000,148281.00000000,MWh
2017-10-01,日,950674.00000000,54220.00000000,136030.00000000,551217.00000000,7549.00000000,130474.00000000,71184.00000000,MWh
2017-10-02,日,1086828.00000000,53571.00000000,145946.00000000,677096.00000000,6047.00000000,134307.00000000,69861.00000000,MWh
2017-10-03,日,1061263.00000000,52120.00000000,133369.00000000,649537.00000000,5797.00000000,131835.00000000,88605.00000000,MWh
2017-10-04,日,997648.00000000,52685.00000000,110318.00000000,640325.00000000,5252.00000000,121725.00000000,67343.00000000,MWh
2017-10-05,日,1068841.00000000,53209.00000000,95721.00000000,677755.00000000,5894.00000000,143613.00000000,92649.00000000,MWh
2017-10-06,日,1189321.00000000,53020.00000000,102134.00000000,759047.00000000,6882.00000000,163842.00000000,104396.00000000,MWh
2017-10-07,日,1246588.00000000,52905.00000000,117677.00000000,800439.00000000,6568.00000000,160889.00000000,108110.00000000,MWh
2017-10-08,日,1233547.00000000,53201.00000000,123243.00000000,790371.00000000,7717.00000000,154686.00000000,104329.00000000,MWh
2017-10-09,日,1325960.00000000,48587.00000000,130226.00000000,841034.00000000,8518.00000000,182897.00000000,114698.00000000,MWh
2017-10-10,日,1326891.00000000,49886.00000000,124196.00000000,862706.00000000,9000.00000000,177481.00000000,103622.00000000,MWh
2017-10-11,日,1284371.00000000,52977.00000000,128102.00000000,829538.00000000,9381.00000000,162526.00000000,101847.00000000,MWh
2017-10-12,日,1246271.00000000,52776.00000000,102568.00000000,829601.00000000,11445.00000000,154804.00000000,95077.00000000,MWh
2017-10-13,日,1177767.00000000,48517.00000000,91165.00000000,805120.00000000,11775.00000000,147077.00000000,74113.00000000,MWh
2017-10-14,日,1094136.00000000,49884.00000000,78873.00000000,783162.00000000,10671.00000000,89533.00000000,82013.00000000,MWh
2017-10-15,日,1038684.00000000,52748.00000000,67339.00000000,730677.00000000,10991.00000000,93776.00000000,83153.00000000,MWh
2017-10-16,日,973304.00000000,63483.00000000,71261.00000000,640475.00000000,10037.00000000,95581.00000000,92467.00000000,MWh
2017-10-17,日,1007985.00000000,61244.00000000,88129.00000000,655155.00000000,7723.00000000,100690.00000000,95044.00000000,MWh
2017-10-18,日,1027200.00000000,57342.00000000,105947.00000000,655543.00000000,8180.00000000,105471.00000000,94717.00000000,MWh
2017-10-19,日,1011152.00000000,53601.00000000,102421.00000000,652631.00000000,7512.00000000,100171.00000000,94816.00000000,MWh
2017-10-20,日,972017.00000000,50871.00000000,105768.00000000,599328.00000000,8921.00000000,104770.00000000,102359.00000000,MWh
