时间,时间维度,南方电网,广东,广西,云南,海南,贵州,指标单位
2017-04-22,日,1118293.00000000,636173.00000000,62152.00000000,49425.00000000,30055.00000000,328932.00000000,MWh
2017-07-29,日,1214719.00000000,878753.00000000,62388.00000000,36551.00000000,37399.00000000,199628.00000000,MWh
2017-07-31,日,1289910.00000000,945616.00000000,66858.00000000,35801.00000000,46084.00000000,195551.00000000,MWh
2017-08-01,日,1264489.00000000,917031.00000000,67908.00000000,32242.00000000,50271.00000000,197037.00000000,MWh
2017-08-02,日,1198335.00000000,840105.00000000,67375.00000000,32440.00000000,49478.00000000,208937.00000000,MWh
2017-08-03,日,1153031.00000000,790436.00000000,66704.00000000,32221.00000000,46246.00000000,217424.00000000,MWh
2017-08-04,日,1149516.00000000,776839.00000000,67384.00000000,32304.00000000,43152.00000000,229837.00000000,MWh
2017-08-05,日,1182894.00000000,806841.00000000,69170.00000000,32133.00000000,42127.00000000,232623.00000000,MWh
2017-08-06,日,1139993.00000000,778262.00000000,69793.00000000,32164.00000000,41794.00000000,217980.00000000,MWh
2017-08-07,日,1329606.00000000,965615.00000000,72063.00000000,31750.00000000,43376.00000000,216802.00000000,MWh
2017-08-08,日,1337648.00000000,947333.00000000,71875.00000000,31952.00000000,48068.00000000,238420.00000000,MWh
2017-08-09,日,1286907.00000000,916593.00000000,72028.00000000,31998.00000000,47621.00000000,218667.00000000,MWh
2017-08-10,日,1276998.00000000,891471.00000000,73183.00000000,31912.00000000,50893.00000000,229539.00000000,MWh
2017-08-11,日,1224670.00000000,863174.00000000,74424.00000000,32249.00000000,50247.00000000,204576.00000000,MWh
2017-08-12,日,1215733.00000000,851944.00000000,74005.00000000,32367.00000000,49697.00000000,207720.00000000,MWh
2017-08-13,日,1171779.00000000,793863.00000000,77926.00000000,32391.00000000,50863.00000000,216736.00000000,MWh
2017-08-14,日,1285451.00000000,893606.00000000,73237.00000000,32326.00000000,51359.00000000,234923.00000000,MWh
2017-08-15,日,1296031.00000000,883870.00000000,69830.00000000,32137.00000000,53262.00000000,256932.00000000,MWh
2017-08-16,日,1296718.00000000,870970.00000000,77544.00000000,31937.00000000,51810.00000000,264457.00000000,MWh
2017-08-17,日,1335145.00000000,900977.00000000,78138.00000000,32193.00000000,48904.00000000,274933.00000000,MWh
2017-08-18,日,1350223.00000000,922965.00000000,78978.00000000,32178.00000000,46247.00000000,269855.00000000,MWh
2017-08-19,日,1322126.00000000,895328.00000000,75400.00000000,32220.00000000,49940.00000000,269238.00000000,MWh
2017-08-20,日,1298000.00000000,868377.00000000,67421.00000000,32290.00000000,49738.00000000,280174.00000000,MWh
2017-08-21,日,1450869.00000000,1004157.00000000,77406.00000000,32087.00000000,51685.00000000,285534.00000000,MWh
2017-08-22,日,1440341.00000000,976016.00000000,77344.00000000,32122.00000000,53961.00000000,300898.00000000,MWh
2017-08-23,日,1276180.00000000,865165.00000000,68033.00000000,32710.00000000,46113.00000000,264159.00000000,MWh
2017-08-24,日,1255480.00000000,850969.00000000,69915.00000000,31365.00000000,41931.00000000,261300.00000000,MWh
2017-08-25,日,1274643.00000000,849941.00000000,75227.00000000,31421.00000000,44709.00000000,273345.00000000,MWh
2017-08-26,日,1200617.00000000,785649.00000000,74235.00000000,31932.00000000,38409.00000000,270392.00000000,MWh
2017-08-27,日,1071360.00000000,678237.00000000,71416.00000000,32166.00000000,35195.00000000,249838.00000000,MWh
2017-08-28,日,1090766.00000000,693425.00000000,75817.00000000,31965.00000000,35364.00000000,246710.00000000,MWh
2017-08-29,日,1158632.00000000,724965.00000000,73104.00000000,31225.00000000,32538.00000000,288744.00000000,MWh
2017-08-30,日,1250725.00000000,816028.00000000,68610.00000000,32208.00000000,38822.00000000,295057.00000000,MWh
2017-08-31,日,1240057.00000000,797273.00000000,71048.00000000,31805.00000000,42137.00000000,297794.00000000,MWh
2017-09-01,日,1208501.00000000,749939.00000000,72727.00000000,32328.00000000,46060.00000000,300093.00000000,MWh
2017-09-02,日,1284189.00000000,859786.00000000,69155.00000000,32300.00000000,45255.00000000,270354.00000000,MWh
2017-09-03,日,1224106.00000000,817586.00000000,70028.00000000,31784.00000000,48549.00000000,248668.00000000,MWh
2017-09-04,日,1167792.00000000,762833.00000000,70348.00000000,32119.00000000,52499.00000000,242740.00000000,MWh
2017-09-05,日,1180226.00000000,764443.00000000,69808.00000000,31865.00000000,50834.00000000,255879.00000000,MWh
2017-09-06,日,1182802.00000000,823755.00000000,70621.00000000,31429.00000000,45966.00000000,203556.00000000,MWh
2017-09-07,日,1172008.00000000,792628.00000000,69308.00000000,31472.00000000,42609.00000000,228745.00000000,MWh
2017-09-08,日,1129706.00000000,752418.00000000,71538.00000000,31674.00000000,42124.00000000,225272.00000000,MWh
2017-09-09,日,1092678.00000000,752298.00000000,68060.00000000,31128.00000000,43390.00000000,191394.00000000,MWh
2017-09-10,日,1023078.00000000,701814.00000000,67686.00000000,31393.00000000,44733.00000000,177452.00000000,MWh
2017-09-11,日,1183571.00000000,851678.00000000,68025.00000000,31356.00000000,47212.00000000,178401.00000000,MWh
2017-09-12,日,1232265.00000000,878675.00000000,73320.00000000,30809.00000000,49976.00000000,191542.00000000,MWh
2017-09-13,日,1198332.00000000,834991.00000000,76618.00000000,31189.00000000,48368.00000000,198106.00000000,MWh
2017-09-14,日,1160634.00000000,797300.00000000,76310.00000000,31339.00000000,36754.00000000,209780.00000000,MWh
2017-09-15,日,1152358.00000000,800037.00000000,76219.00000000,31779.00000000,34194.00000000,210129.00000000,MWh
2017-09-16,日,1220483.00000000,849324.00000000,75492.00000000,31526.00000000,41801.00000000,213650.00000000,MWh
2017-09-17,日,1196417.00000000,810566.00000000,77563.00000000,31254.00000000,45193.00000000,222797.00000000,MWh
2017-09-18,日,1274674.00000000,884230.00000000,86810.00000000,31334.00000000,47050.00000000,216391.00000000,MWh
2017-09-19,日,1269287.00000000,887746.00000000,85130.00000000,32291.00000000,47638.00000000,216482.00000000,MWh
2017-09-20,日,1262771.00000000,876102.00000000,86892.00000000,32575.00000000,47704.00000000,211604.00000000,MWh
2017-09-21,日,1290836.00000000,898001.00000000,87722.00000000,33128.00000000,47733.00000000,224252.00000000,MWh
2017-09-22,日,1274171.00000000,880822.00000000,95399.00000000,31451.00000000,46581.00000000,211945.00000000,MWh
2017-09-23,日,1263544.00000000,885066.00000000,90506.00000000,31267.00000000,47298.00000000,209407.00000000,MWh
2017-09-24,日,1246732.00000000,866951.00000000,87644.00000000,31709.00000000,43188.00000000,217240.00000000,MWh
2017-09-25,日,1234372.00000000,849214.00000000,88711.00000000,31493.00000000,39669.00000000,225285.00000000,MWh
2017-09-26,日,1319343.00000000,934525.00000000,89232.00000000,31698.00000000,45653.00000000,218235.00000000,MWh
2017-09-27,日,1385694.00000000,986991.00000000,95662.00000000,30477.00000000,46442.00000000,226122.00000000,MWh
2017-09-28,日,1385052.00000000,994555.00000000,94953.00000000,30897.00000000,44467.00000000,220180.00000000,MWh
