德宏,指标单位,时间,韶关,云南电网,云南,大鹏,河池,迪庆,普洱,云浮,曲靖,河源,揭阳,西双版纳,丽江,凯里,汕尾,桂林,保山,红河,罗湖,汕头,百色,瑞丽,大理,昆明,昌江,怒江,屯昌,贵州电网,贵州,来宾,龙华,阳江,坪山,广东电网,广东,三沙,白沙,公司总部,昭通,楚雄,广州,龙岗,佛山,文山,玉林,乐东,五指山,定安,清远,临沧,贺州,贵阳,铜仁,都匀,南方电网,南网,安顺,兴义,六盘水,贵安,毕节,贵港,南宁,东方,防城港,中山,东莞,广西电网,广西,海南电网,海南,琼海,珠海,文昌,盐田,湛江,临高,柳州,陵水,深圳,琼中,万宁,梅州,江门,福田,遵义,肇庆,崇左,北海,潮州,钦州,惠州,三亚,梧州,玉溪,南山,澄迈,海口,保亭,茂名,光明,儋州,深汕特别合作区,宝安
,台,2021-04,,721.0,721.0,,20.0,6.0,,,40.0,,,48.0,,104.0,,17.0,,,,,24.0,,44.0,,,,,896.0,896.0,,,,,8951,8951,,,13453,,,1233.0,,,,,,,,224.0,22.0,,,31.0,,13453,13453,,,,,,37.0,327.0,,,656.0,,837.0,837.0,,,,1174.0,,,,,324.0,,,,,238.0,,,,,,,,,,,22.0,,,,,,,,,,
,台,2021-05,,734.0,734.0,,,8.0,,234.0,,315.0,,52.0,,126.0,160.0,,,,,,,3.0,48.0,,,,,935.0,935.0,,322.0,,,8981,8981,,,13587,,,1235.0,,,,,,,,,,,207.0,,98.0,13587,13587,,,70.0,,,,349.0,,,,,859.0,859.0,,,,1183.0,,,,,,,1733.0,,,,,,,,,,,,,,,,,,,,,,,,445.0
,台,2021-06,,,,,,,,235.0,,,,,,,175.0,,,,,,,,,,,,,952.0,952.0,,,299.0,,9253,9253,,,13965,,,1243.0,,1200.0,,10.0,,,,226.0,,9.0,,,,13965,13965,,,75.0,,,,,,,,,948.0,948.0,,,,1193.0,,,,,386.0,,,,,326.0,,,122.0,,23.0,,,,,,,,,,,,,,,,
,台,2021-07,,756.0,756.0,,22.0,19.0,,237.0,,317.0,,,37.0,136.0,,,,,,,,,,56.0,,,,985.0,985.0,,,304.0,,9374,9374,,,14285,,82.0,1253.0,,1279.0,,24.0,,,,,,,,,,14285,14285,,,,,104.0,,356.0,,,,774.0,1089.0,1089.0,348.0,348.0,,1205.0,24.0,,,,504.0,,,30.0,,,,,139.0,,,,,,484.0,,,,,,,,,,,,
,台,2021-08,210.0,787.0,787.0,,,27.0,,242.0,,,,,45.0,140.0,182.0,21.0,,,,,28.0,,50.0,67.0,,,,1031.0,1031.0,23.0,,306.0,,9464,9464,,,14498,,,1273.0,,1321.0,11.0,,,,,,,11.0,,,104.0,14498,14498,136.0,,,,,38.0,372.0,,14.0,,779.0,1135.0,1135.0,,,,1213.0,,,,,506.0,,,,,,,,148.0,,24.0,,,,,,29.0,,,,,,,,,,
,台,2021-09,219.0,815.0,815.0,,28.0,35.0,,246.0,42.0,326.0,,,57.0,149.0,184.0,,,,45.0,,33.0,,,69.0,,,,1066.0,1066.0,,346.0,315.0,,9583,9583,,,14748,,,,,1364.0,15.0,27.0,,,,,,14.0,212.0,,,14748,14748,,,81.0,,114.0,,385.0,,,,792.0,1170.0,1170.0,,,,,,,268.0,,,,1766.0,,,329.0,463.0,,153.0,,,,,,,,34.0,,,,,,,,,,
,台,2021-10,229.0,842.0,842.0,,32.0,38.0,,,,328.0,,,,155.0,190.0,,,,,,43.0,,55.0,88.0,,,,1086.0,1086.0,25.0,,337.0,,9756,9756,,,15027,,,1292.0,,1445.0,,30.0,,,,,,,226.0,,,15027,15027,,,,,,40.0,406.0,,15.0,676.0,,1229.0,1229.0,,,,,,,277.0,,,,,,,,,,,,25.0,8.0,,30.0,488.0,,,,,,,,,,,,
,台,2021-11,241.0,880.0,880.0,,33.0,,,249.0,,340.0,158.0,54.0,61.0,,199.0,25.0,14.0,,46.0,138.0,47.0,,,93.0,,,,1089.0,1089.0,33.0,351.0,340.0,,10392,10392,,,15826,17.0,,1314.0,177.0,1478.0,,56.0,,,,230.0,26.0,19.0,229.0,,,15826,15826,,,,,,53.0,418.0,,28.0,748.0,844.0,1340.0,1340.0,351.0,351.0,,1224.0,,,295.0,,,,1774.0,,,330.0,514.0,,,724.0,32.0,11.0,303.0,45.0,526.0,,,,,,99.0,,197.0,,,,
9.0,台,2021-12,327.0,2021.0,2021.0,,103.0,41.0,152.0,317.0,104.0,445.0,251.0,214.0,135.0,170.0,252.0,44.0,,114.0,,214.0,110.0,,223.0,252.0,,10.0,24.0,1306.0,1306.0,102.0,,373.0,,13161,13161,,,20787,182.0,106.0,1964.0,,1556.0,,96.0,,,,334.0,59.0,45.0,266.0,59.0,150.0,20787,20787,142.0,134.0,,,119.0,102.0,513.0,,72.0,1011.0,1236.0,2137.0,2137.0,353.0,353.0,,1307.0,25.0,,337.0,,611.0,,1809.0,,,331.0,625.0,,185.0,787.0,81.0,60.0,360.0,90.0,908.0,,108.0,388.0,,,,,226.0,270.0,,,477.0
,台,2022-01,348.0,2052.0,2052.0,,,,,329.0,,451.0,,,,,263.0,57.0,,,,,127.0,,231.0,264.0,,,,1312.0,1312.0,103.0,,377.0,,13325,13325,,,21201,193.0,,2001.0,,,,,,1.0,,,,51.0,267.0,,155.0,21201,21201,,,,,,109.0,547.0,,,1013.0,,2326.0,2326.0,377.0,377.0,,1315.0,,,345.0,,646.0,,,,,369.0,636.0,,,,82.0,80.0,,122.0,914.0,,131.0,,,,119.0,,,,22.0,,
