时间,时间维度,南方电网,广东,广西,云南,广州,深圳,海南,贵州,指标单位
2021-01-01,日,149096,70110,24225,27988,10664,8871,4574,24749,MW
2021-01-02,日,169104,86626,25439,27664,11880,10635,4769,25386,MW
2021-01-03,日,174258,89839,25642,28863,12509,11407,4810,26224,MW
2021-01-04,日,181353,95784,26003,28207,12978,12487,4887,26395,MW
2021-01-05,日,180905,95496,25937,28201,12953,12538,4865,26654,MW
2021-01-06,日,182584,95633,26688,28023,12969,12541,4803,26933,MW
2021-01-07,日,190409,100019,28942,28329,13861,12898,4869,27790,MW
2021-01-08,日,198629,105187,30417,30131,14737,13632,5046,27592,MW
2021-01-09,日,193151,101189,30067,29193,14067,13089,5146,27161,MW
2021-01-10,日,187063,95503,29167,29696,13848,12129,5157,27229,MW
2021-01-11,日,197390,105257,29501,31306,15490,14062,5372,27268,MW
2021-01-12,日,192087,102122,28013,30822,14829,13601,5270,26069,MW
2021-01-13,日,188516,100069,27274,29812,14132,13518,5119,26058,MW
2021-01-14,日,183936,98172,26480,29288,13662,13108,4978,25075,MW
2021-01-15,日,179015,95127,25555,28736,12905,12733,4797,24370,MW
2021-01-16,日,175992,91378,25434,28777,12267,12215,4752,25556,MW
2021-01-17,日,174426,85904,26758,30792,11899,11238,4744,26031,MW
2021-01-18,日,180225,94755,26303,29371,13070,12798,4842,25095,MW
2021-01-19,日,177259,93596,25619,28605,12759,12649,4862,23872,MW
2021-01-20,日,175098,91697,25186,28563,12536,12558,4806,24404,MW
2021-01-21,日,173385,91320,24830,28329,12361,12521,4775,25270,MW
2021-01-22,日,169785,90063,24345,28336,12224,12492,4709,24100,MW
2021-01-23,日,165930,86543,23834,27811,11718,11938,4678,23039,MW
2021-01-24,日,157076,80483,23296,26911,11069,11018,4613,22575,MW
2021-01-25,日,164512,85972,23550,27348,11834,12251,4639,24109,MW
2021-01-26,日,162469,83917,23819,26921,11544,12113,4576,24362,MW
2021-01-27,日,160833,82170,23335,26851,11288,11700,4533,24737,MW
2021-01-28,日,160222,81232,23500,27900,11326,11545,4526,24215,MW
2021-01-29,日,156229,79719,23247,27129,10987,11307,4501,23778,MW
2021-01-30,日,153050,75785,22653,26583,10400,10711,4536,23411,MW
2021-01-31,日,145214,69607,22123,26464,9829,9833,4488,23393,MW
2021-02-01,日,148895,73385,22003,26022,10553,10797,4504,23020,MW
2021-02-02,日,146250,72256,21509,25856,10534,10589,4488,23020,MW
2021-02-03,日,142807,69515,21250,25303,10270,10173,4436,22332,MW
2021-02-04,日,138419,67369,20518,25081,9976,9777,4454,21495,MW
2021-02-05,日,135080,64099,20195,25206,9672,9273,4439,21962,MW
2021-02-06,日,129622,60485,19844,24428,9163,8558,4374,19914,MW
2021-02-07,日,127133,57981,19273,25325,8835,8283,4323,20739,MW
2021-02-08,日,124806,55905,19143,25782,8461,8018,4245,20993,MW
2021-02-09,日,121802,53400,19397,24661,7979,7425,4229,20478,MW
2021-02-10,日,114645,50146,18123,24168,7477,6784,4137,19027,MW
2021-02-11,日,104437,44037,17105,23478,6665,5694,3963,19403,MW
2021-02-12,日,100129,43235,16234,21790,6492,5658,3843,16129,MW
2021-02-13,日,100566,43168,16292,21943,6470,5877,3825,16869,MW
2021-02-14,日,101697,45080,16613,22291,6703,6103,3930,16267,MW
2021-02-15,日,106955,47999,16891,21913,7034,6736,3992,16468,MW
2021-02-16,日,110969,49930,17589,23100,7367,6994,4089,17776,MW
2021-02-17,日,116124,52459,18052,24139,7732,7514,4133,17955,MW
2021-02-18,日,122315,55889,18624,24746,8394,8174,4208,19479,MW
2021-02-19,日,128187,60462,19171,25182,9027,8943,4246,19751,MW
2021-02-20,日,131568,63923,19274,25581,9461,9430,4258,19249,MW
2021-02-21,日,132252,65301,19228,25140,9689,9437,4285,18678,MW
2021-02-22,日,139418,72621,19617,25478,10750,10764,4339,18497,MW
2021-02-23,日,142804,75920,20234,25541,11036,11180,4331,17853,MW
2021-02-24,日,144727,77792,20162,25475,11221,11410,4391,17782,MW
2021-02-25,日,147202,79283,20595,26043,11258,11536,4376,18500,MW
2021-02-26,日,147229,78329,20336,26181,11249,11539,4208,20103,MW
2021-02-27,日,151503,78827,22084,26542,10839,10876,4351,20400,MW
2021-02-28,日,145810,74269,22029,26061,10640,9983,4411,20581,MW
2021-03-01,日,159248,85206,22421,26484,11813,12117,4530,21784,MW
2021-03-02,日,161940,86738,22760,26731,11844,11919,4410,22097,MW
2021-03-03,日,165334,88255,23819,26754,12080,12035,4430,22371,MW
2021-03-04,日,166141,90402,24160,26970,12234,12079,4497,22295,MW
2021-03-05,日,166757,91049,23567,26850,12437,12275,4616,21852,MW
2021-03-06,日,164479,89914,23098,26986,12115,11811,4552,21831,MW
2021-03-07,日,154724,80847,22968,27122,11131,10360,4448,22273,MW
2021-03-08,日,165630,90353,23562,26503,12196,12269,4502,22221,MW
2021-03-09,日,169735,91979,24256,27073,12560,12407,4547,22731,MW
2021-03-10,日,168407,91952,23814,26734,12573,12393,4613,22630,MW
2021-03-11,日,169751,93231,23917,26788,12632,12631,4657,21932,MW
2021-03-12,日,169886,94591,23333,26776,12958,12927,4643,21545,MW
2021-03-13,日,164739,91529,23126,26940,12025,11991,4610,20569,MW
2021-03-14,日,153530,81650,22532,26640,11383,10526,4537,19606,MW
2021-03-15,日,168187,93929,23717,26735,12943,12930,4636,19190,MW
2021-03-16,日,168658,95363,23541,26579,13012,13212,4697,18692,MW
2021-03-17,日,169597,98146,23583,26809,13353,13691,4720,18240,MW
2021-03-18,日,170657,99408,23534,26362,13843,13858,4763,18222,MW
2021-03-19,日,172998,100000,23892,26542,13716,14052,4792,19044,MW
2021-03-20,日,172232,97375,23906,26901,13030,13212,4767,20308,MW
2021-03-21,日,159905,83519,24043,27790,11079,10355,4448,21710,MW
2021-03-22,日,173225,93892,24616,27996,12563,12259,4433,21883,MW
2021-03-23,日,170457,94870,24752,27535,12649,12357,4523,20695,MW
2021-03-24,日,168484,94339,24011,26793,12735,12562,4560,19805,MW
2021-03-25,日,170662,95146,24224,26837,12793,12722,4604,20407,MW
2021-03-26,日,170411,95239,23751,26900,12889,12877,4708,20216,MW
2021-03-27,日,168756,94632,23917,26527,12522,12567,4708,19613,MW
2021-03-28,日,162004,89242,24126,27434,12292,11437,4696,19060,MW
2021-03-29,日,174693,102364,24136,26818,14105,14299,4864,18463,MW
2021-03-30,日,178751,105143,24151,26893,14623,14843,4995,18362,MW
2021-03-31,日,176033,103523,24221,26537,14400,14693,5010,18186,MW
2021-04-01,日,177376,104921,24047,26207,14553,15062,4924,18945,MW
2021-04-02,日,178833,105594,24073,25970,14744,14962,4836,19527,MW
2021-04-03,日,161307,91598,22491,25760,12503,12023,4696,18882,MW
2021-04-04,日,135867,72263,20231,25556,10251,9707,4515,19050,MW
2021-04-05,日,158897,85519,22173,26518,11544,11203,4623,20809,MW
2021-04-06,日,173780,100052,22986,26808,13606,14133,4553,20667,MW
2021-04-07,日,172014,99829,23283,25367,13653,13848,4671,20543,MW
2021-04-08,日,172254,98967,22883,26029,13136,13385,4701,21743,MW
2021-04-09,日,169690,95414,23646,26235,12773,12695,4528,22591,MW
2021-04-10,日,168420,94209,23275,26075,12574,12491,4542,21059,MW
2021-04-11,日,162935,89121,23315,26348,12274,11326,4533,21411,MW
2021-04-12,日,177070,103055,23554,26471,14322,14515,4691,20530,MW
2021-04-13,日,179526,106703,23581,26909,14844,15127,4758,20805,MW
2021-04-14,日,177496,105813,22093,26404,14879,14989,4768,20196,MW
2021-04-15,日,173018,101393,22679,25833,14260,13886,4872,19811,MW
2021-04-16,日,175509,100353,22899,27738,13771,14072,4832,19649,MW
2021-04-17,日,174010,96757,22927,29010,12728,12936,4641,19503,MW
2021-04-18,日,158016,85497,22473,25894,11791,10851,4541,20953,MW
2021-04-19,日,167214,97086,22519,26067,13184,13213,4797,19919,MW
2021-04-20,日,170061,97784,22558,26225,13257,13496,4762,18655,MW
2021-04-21,日,174515,102895,23006,26330,14093,14425,4816,18564,MW
2021-04-22,日,176118,105774,23385,26334,14679,15069,4881,17288,MW
2021-04-23,日,179905,109998,23577,26463,15667,15972,5006,17871,MW
2021-04-24,日,176781,105741,23388,26392,14626,14575,5043,18159,MW
2021-04-25,日,174562,101507,22781,27234,14629,13915,5151,18805,MW
2021-04-26,日,172246,100954,22186,26464,13696,13872,4746,18388,MW
2021-04-27,日,171533,101027,22398,26777,13597,13892,4687,18369,MW
2021-04-28,日,174065,101651,22445,27085,13644,14204,4800,18457,MW
2021-04-29,日,168297,97837,22606,26370,13138,13983,4451,17914,MW
2021-04-30,日,165279,96207,22707,26454,13084,13841,4572,17409,MW
2021-05-01,日,136983,69523,21746,25592,10940,9819,4585,16363,MW
2021-05-02,日,144595,77251,21847,25584,11147,10109,4657,16598,MW
2021-05-03,日,155580,87124,22700,25680,11825,10962,4791,16804,MW
2021-05-04,日,170048,100829,22019,26150,13179,13704,4947,16925,MW
2021-05-05,日,173135,103092,22210,26642,13928,14398,4985,17737,MW
2021-05-06,日,177208,107211,23252,25885,14887,15483,5110,17479,MW
2021-05-07,日,185282,112601,23971,26569,15921,16250,5092,17612,MW
2021-05-08,日,187085,114556,24218,26479,16270,16734,5115,17806,MW
2021-05-09,日,179229,107168,24203,26725,15305,14597,5125,17448,MW
2021-05-10,日,192071,117868,25141,26173,17180,17487,5386,17325,MW
2021-05-11,日,192984,119907,25647,25954,17543,17955,5536,17393,MW
2021-05-12,日,195845,121163,25454,26260,17864,18409,5621,17071,MW
2021-05-13,日,192292,122047,24329,25242,18107,18327,5715,18307,MW
2021-05-14,日,194786,121277,25438,25832,17949,18231,5681,18030,MW
2021-05-15,日,190748,118777,25955,25149,16868,17368,5662,18389,MW
2021-05-16,日,186130,113672,25949,25386,16714,15382,5753,18695,MW
2021-05-17,日,198244,124167,25198,26460,18710,19057,5979,18352,MW
2021-05-18,日,197895,123673,24487,25841,18619,19016,5984,18586,MW
2021-05-19,日,195440,122514,25206,25474,18383,19095,6032,18503,MW
2021-05-20,日,194250,122082,24146,24320,18392,19321,5907,18889,MW
2021-05-21,日,197468,123952,25452,24200,18771,19422,5994,18665,MW
2021-05-22,日,196063,124543,25936,23781,18502,18579,5966,18647,MW
2021-05-23,日,189956,120123,25642,23797,17997,16653,5909,18524,MW
2021-05-24,日,192296,122120,23683,23326,18342,19345,6120,18586,MW
2021-05-25,日,185193,117033,24358,22709,17855,18371,5618,18278,MW
2021-05-26,日,188814,117086,25531,22698,17449,18641,5643,18611,MW
2021-05-27,日,191300,121516,24584,22140,18164,19321,5528,18647,MW
2021-05-28,日,194859,124399,25265,22108,18752,19611,5682,18982,MW
2021-05-29,日,192160,121635,26148,22498,17768,18467,5714,18673,MW
2021-05-30,日,183726,115271,24543,22438,16499,16217,5973,18906,MW
2021-05-31,日,189948,118210,24741,22658,17681,19203,6195,18536,MW
2021-06-01,日,182291,111449,23955,22598,16430,17745,6413,18634,MW
2021-06-02,日,180680,110468,24027,22638,15577,17461,6474,19111,MW
2021-06-03,日,191625,119749,25303,22954,17002,18876,6409,18286,MW
2021-06-04,日,181746,113766,22251,22803,15369,18050,5928,18683,MW
2021-06-05,日,175128,105430,23565,23394,13565,15496,5012,18743,MW
2021-06-06,日,174001,103540,24009,23310,14108,14240,5120,19160,MW
2021-06-07,日,188048,117261,25360,23241,16661,17637,5021,19052,MW
2021-06-08,日,193117,119245,26302,23272,17040,18061,5083,19305,MW
2021-06-09,日,193335,119786,26701,23014,17516,17796,4942,19365,MW
2021-06-10,日,193632,121124,26240,22593,17526,18391,5088,18788,MW
2021-06-11,日,192908,121709,25988,22161,17340,18627,4842,19089,MW
2021-06-12,日,185014,113639,25695,23135,15837,15880,4625,19430,MW
2021-06-13,日,173452,101327,24833,24104,14521,13899,4611,18816,MW
2021-06-14,日,154564,84427,24474,23588,12989,12659,4665,18472,MW
2021-06-15,日,195890,120725,26440,25011,17069,18674,5195,19630,MW
2021-06-16,日,200867,124496,27499,25752,17733,19021,5524,20033,MW
2021-06-17,日,206157,126707,28228,25829,18074,19539,5542,19947,MW
