德宏,指标单位,时间,韶关,云南电网,云南,大鹏,河池,迪庆,普洱,云浮,曲靖,河源,揭阳,西双版纳,丽江,凯里,汕尾,桂林,保山,红河,罗湖,汕头,百色,瑞丽,大理,昆明,昌江,怒江,屯昌,贵州电网,贵州,来宾,龙华,阳江,坪山,广东电网,广东,三沙,白沙,公司总部,昭通,楚雄,广州,龙岗,佛山,文山,玉林,乐东,五指山,定安,清远,临沧,贺州,贵阳,铜仁,都匀,南方电网,南网,安顺,兴义,六盘水,贵安,毕节,贵港,南宁,东方,防城港,中山,东莞,广西电网,广西,海南电网,海南,琼海,珠海,文昌,盐田,湛江,临高,柳州,陵水,深圳,琼中,万宁,梅州,江门,福田,遵义,肇庆,崇左,北海,潮州,钦州,惠州,三亚,梧州,玉溪,南山,澄迈,海口,保亭,茂名,光明,儋州,深汕特别合作区,宝安
261.0,元/千千瓦时,2021-04,5.32,142.17,142.17,,84.6,154.27,167.62,516.4,213.71,414.46,584.51,169.71,152.32,282.82,572.95,207.85,-139.39,150.13,,,-86.29,172.9,132.51,184.78,,148.62,,157.86,157.86,-179.42,,493.41,,168.95,168.95,,,196.1,151.78,165.61,625.37,,632.16,74.71,103.82,,,,-12.92,209.86,164.12,739.84,,417.27,196.100,196.1,597.6,,156.0,425.62,82.82,199.99,119.0,,,662.31,670.14,100.75,100.75,117.08,117.08,,176.24,,,452.5,,245.01,,132.18,,,476.8,575.96,,132.72,531.7,150.61,178.24,576.35,151.02,609.83,,211.88,155.14,,,,,473.11,,,,
104.22,元/千千瓦时,2021-05,8.7,149.47,149.47,,42.62,172.06,180.14,532.41,74.63,403.51,610.15,183.13,143.21,268.69,579.01,184.89,-225.88,140.6,,,64.91,156.19,133.1,171.7,,281.32,,155.07,155.07,76.64,,508.96,,172.2,172.2,,,198.34,154.25,156.1,621.24,,631.43,64.71,129.49,,,,46.72,137.63,127.18,-15.0,,29.51,198.340,198.34,168.65,,136.13,417.43,331.46,-314.74,217.42,,,667.96,662.3,168.6,168.6,176.75,176.75,,171.53,,,490.31,,273.2,,107.3,,,474.87,576.7,,100.93,526.65,139.57,164.46,589.04,203.72,609.19,,188.85,158.08,,,,,480.84,,,,
194.31,元/千千瓦时,2021-06,10.65,144.28,144.28,,47.13,144.57,227.89,524.78,181.27,393.31,590.35,,155.07,397.67,557.23,167.34,-315.34,245.54,,,103.44,247.17,167.17,228.13,,16259.94,,177.64,177.64,91.45,,499.62,,178.3,178.3,,,208.14,188.18,202.18,624.84,,629.41,107.02,129.51,,,,32.59,209.2,121.53,-131.79,,369.85,208.140,208.14,74.31,,204.4,424.01,165.75,160.8,186.05,,,665.24,663.33,139.32,139.32,185.13,185.13,,174.34,,,506.45,,257.13,,136.82,,,415.95,585.11,,93.31,518.13,172.19,196.16,576.48,151.74,604.71,,209.71,172.96,,,,,479.44,,,,
113.64,元/千千瓦时,2021-07,37.5,104.46,104.46,,70.68,209.35,220.79,539.73,184.18,440.89,617.31,271.4,210.48,215.43,589.82,170.0,-520.43,203.45,,,164.26,249.34,178.88,236.08,,107.64,,178.73,178.73,120.94,,503.73,,165.92,165.92,,,204.12,,226.25,630.6,,638.35,99.89,85.63,,,,42.77,208.27,147.29,232.13,,194.63,204.120,204.12,245.86,,142.36,411.13,215.39,225.31,186.61,,,667.79,663.06,143.17,143.17,270.2,270.2,,175.63,,,507.24,,253.3,,129.33,,,489.89,591.08,,97.44,551.33,150.34,168.9,597.34,152.06,615.81,,153.43,231.72,,,,,506.5,,,,
122.51,元/千千瓦时,2021-08,29.13,127.43,127.43,,34.7,177.77,244.91,527.1,178.27,416.82,603.16,249.38,123.31,360.42,591.79,170.44,-355.25,189.05,,,186.49,206.18,173.64,194.39,,228.72,,188.13,188.13,563.93,,490.26,,175.37,175.37,,,227.05,192.64,251.52,630.32,,638.72,72.96,144.36,,,,17.16,208.63,76.67,287.98,,239.65,227.050,227.05,76.67,,222.45,390.84,263.73,212.5,177.16,,,665.8,664.04,128.2,128.2,159.41,159.41,,173.07,,,499.57,,249.73,,123.17,,,439.9,592.79,,199.48,542.19,145.2,354.4,577.02,184.52,607.41,,193.3,148.58,,,,,487.15,,,,
149.15,元/千千瓦时,2021-09,24.71,,,,51.28,282.17,246.2,543.19,199.51,456.76,618.12,249.77,251.11,116.91,565.07,139.6,-1801.97,216.26,,,177.71,259.19,210.6,237.71,,246.35,,188.05,188.05,185.83,,468.41,,176.96,176.96,,,184.05,212.52,221.1,631.17,,639.81,162.66,-199.66,,,,28.67,253.01,130.95,392.51,,148.51,184.050,184.05,286.89,,217.15,416.32,231.25,196.59,775.57,,,665.86,663.29,132.96,132.96,194.44,194.44,,154.75,,,490.06,,251.33,,106.93,,,490.07,593.44,,133.43,567.94,192.52,203.85,582.83,183.41,611.5,,185.79,206.56,,,,,-16.41,,,,
,元/千千瓦时,2021-10,-15.93,1.41,1.41,,51.85,164.81,195.35,513.25,149.86,425.16,579.28,201.04,129.23,313.95,545.47,105.79,-659.9,160.63,,,123.87,173.41,165.66,204.49,,334.37,,195.54,195.54,339.32,,461.03,,153.67,153.67,,,139.77,174.63,166.74,631.45,,644.15,74.73,292.03,,,,-15.69,253.87,285.65,-174.85,,174.58,139.770,139.77,252.79,,851.12,481.17,98.88,159.96,201.81,,,677.7,678.13,118.66,118.66,216.36,216.36,,179.7,,,437.59,,319.06,,100.88,,,456.51,581.97,,144.45,544.26,211.53,177.1,570.03,228.38,622.0,,150.16,208.86,,,,,8.32,,,,
,,2021-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2021-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227.41,元/千千瓦时,2022-01,405.1,136.45,136.45,,462.03,363.25,394.11,595.19,407.63,480.72,639.79,408.13,347.68,518.5,597.07,519.43,376.25,375.3,,,526.21,433.22,399.79,432.7,629.71,266.65,637.67,127.24,127.24,637.21,,546.5,,174.59,174.59,,635.26,188.38,376.57,435.26,671.61,,700.69,,492.13,577.43,633.14,650.94,502.44,335.01,503.34,535.14,,537.07,188.380,188.38,509.59,,526.43,398.42,490.53,596.07,594.81,,,725.32,735.67,189.53,189.53,217.39,217.39,641.05,640.86,642.11,,498.71,617.67,591.9,574.03,151.95,647.27,632.72,553.67,656.32,,515.74,620.24,542.74,635.56,628.82,596.4,668.25,626.19,518.37,401.64,,673.64,643.68,706.31,525.65,,639.11,,
